,Attribute,Importance,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Index_Category,Industry
47,slowk,0.5635660409984831,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
50,stochf_d,0.5635660409984831,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
107,trend_ema_25_40,0.5243800445206871,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
32,bop,0.40610132964535894,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
30,aroonup,0.39758993472660953,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
116,trend_ema_35_50,0.3561213416377577,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
52,fastd,0.30919857533702394,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
78,trend_ema_5_25,0.27164188326538746,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
83,trend_ema_5_50,0.24967239964375648,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
61,Trange,0.2427370853477116,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
69,trend_adx,0.21959466510050407,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
106,trend_ema_25_35,0.21572393674416818,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
63,HT_DCphase,0.21330153303151,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
119,trend_ema_45_50,0.1754270722283916,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
84,trend_ema_10_15,0.17148770413911074,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
39,mfi,0.16347543313983856,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
82,trend_ema_5_45,0.14845325103116086,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
80,trend_ema_5_35,0.14262648182982257,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
59,atr,0.13907322476209888,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
87,trend_ema_10_30,0.13396448238056968,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
95,trend_ema_15_35,0.10550915325859629,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
29,aroondown,0.10076868293327022,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
118,trend_ema_40_50,-0.10392117845015662,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
76,trend_ema_5_15,-0.11175675941587335,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
77,trend_ema_5_20,-0.11527067530779289,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
93,trend_ema_15_25,-0.1163139678550506,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
101,trend_ema_20_35,-0.11666356539626375,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
