"","CPT.Open","CPT.High","CPT.Low","CPT.Close","CPT.Volume","CPT.Adjusted"
"2022-02-03",161.770004,166.350006,161.399994,165.210007,1155400,163.157684
"2022-02-04",163,168.229996,162,166.240005,992900,164.174881
"2022-02-07",166.089996,167.869995,162,162.199997,1083200,160.185059
"2022-02-08",162.139999,163.380005,160.679993,162.210007,1046500,160.194931
"2022-02-09",164.539993,167.960007,163.949997,167.839996,773100,165.75499
"2022-02-10",165.279999,168.580002,163.520004,164.160004,2085900,162.120712
"2022-02-11",165.380005,167.410004,164.559998,165.940002,1224300,163.878601
"2022-02-14",166.220001,167.320007,161.419998,162.029999,1122600,160.017166
"2022-02-15",162.820007,164.139999,162.229996,162.630005,693300,160.609711
"2022-02-16",162.669998,164.410004,161.259995,163.770004,658700,161.73555
"2022-02-17",163.509995,163.75,161.360001,161.830002,538700,159.819656
"2022-02-18",161.470001,163.259995,160.580002,161.899994,551000,159.888779
"2022-02-22",160.889999,164.419998,159.710007,163.419998,772500,161.389893
"2022-02-23",163.919998,165.419998,161.009995,162.119995,1190300,160.106049
"2022-02-24",159.210007,163.440002,158.699997,162.940002,561300,160.915878
"2022-02-25",163.169998,168.100006,162.669998,168.089996,720500,166.001892
"2022-02-28",165.630005,167.479996,163.5,165.110001,951000,163.058914
"2022-03-01",164.929993,166.789993,162.740005,163.800003,973500,161.765198
"2022-03-02",164.600006,167.449997,162.759995,167.110001,877600,165.034073
