"","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume","PPG.Adjusted"
"2021-11-16",163.399994,166.970001,162.929993,164.839996,1500700,163.445862
"2021-11-17",164.289993,165.089996,163.410004,164.300003,1000600,162.910446
"2021-11-18",164.449997,164.869995,162.029999,162.350006,916500,160.976929
"2021-11-19",162.429993,162.889999,160.389999,160.839996,793800,159.479706
"2021-11-22",161.440002,163.020004,161.220001,161.289993,585700,159.925888
"2021-11-23",161.350006,162.350006,159.789993,160.429993,907100,159.073151
"2021-11-24",159.720001,160.25,158.039993,158.759995,846300,157.417282
"2021-11-26",155.119995,156.389999,153.110001,155.600006,695000,154.284027
"2021-11-29",156.899994,158.449997,156.220001,157.360001,1277900,156.029129
"2021-11-30",155.839996,157.850006,153.830002,154.169998,2322700,152.866104
"2021-12-01",156.350006,159.050003,153.399994,153.479996,1096600,152.181946
"2021-12-02",154.339996,159.839996,154.229996,159.029999,1173000,157.685013
"2021-12-03",158.830002,161.990005,158.449997,160.389999,1507500,159.033493
"2021-12-06",162.639999,166.330002,162.279999,164.429993,1256100,163.039337
"2021-12-07",166.360001,167.869995,165.690002,166.279999,1160900,164.873688
"2021-12-08",166.449997,167.229996,163.559998,164.820007,926500,163.426056
"2021-12-09",164.119995,165.080002,163.179993,164.050003,822300,162.662567
"2021-12-10",165.509995,165.729996,162.869995,163.369995,1095400,161.988297
"2021-12-13",163.309998,164.570007,162.139999,162.809998,946100,161.433029
"2021-12-14",162.75,163.619995,162,162.460007,837600,161.085999
"2021-12-15",163.029999,165.940002,161.940002,165.860001,1000500,164.457245
"2021-12-16",167.389999,170.429993,166.619995,169.320007,1591900,167.887985
"2021-12-17",168.919998,169.309998,164.449997,164.589996,2366700,163.197983
"2021-12-20",162.259995,162.259995,158.25,160.679993,865900,159.321045
"2021-12-21",161.889999,164.339996,161.339996,163.929993,1085600,162.543564
"2021-12-22",163.399994,166.789993,163.399994,165.740005,1051600,164.338257
"2021-12-23",166.309998,168.320007,166.309998,167.059998,709100,165.647095
"2021-12-27",168.039993,170,167.539993,169.740005,621600,168.304428
"2021-12-28",169.990005,171.869995,169.949997,171.190002,609700,169.742172
"2021-12-29",170.899994,172.279999,170.649994,171.210007,644900,169.762009
"2021-12-30",171.380005,172.779999,170.960007,171.089996,635300,169.643005
