"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"2021-07-12",136.899994,137.470001,136.429993,137.139999,6807300,133.100189
"2021-07-13",136.389999,137.570007,136.389999,136.970001,5603800,132.935211
"2021-07-14",137.009995,138.229996,136.369995,137.979996,5903600,133.915451
"2021-07-15",138.009995,139.259995,137.699997,139.160004,7357100,135.060699
"2021-07-16",139.300003,140.779999,139.110001,140.509995,9346300,136.370911
"2021-07-19",140.320007,141.869995,138.809998,140.440002,9544100,136.303009
"2021-07-20",140.440002,141.979996,139.639999,139.690002,8136300,135.575104
"2021-07-21",139.949997,140.199997,138.990005,139.199997,6954700,135.099503
"2021-07-22",137.289993,138.330002,136.710007,137.800003,6013800,134.581894
"2021-07-23",137.479996,139.979996,137.080002,139.789993,7906000,136.525406
"2021-07-26",139.619995,140.820007,139.220001,140.279999,5925800,137.003983
"2021-07-27",140.149994,141.619995,140,140.850006,7075400,137.560669
"2021-07-28",140.669998,140.669998,138.710007,138.759995,8520000,135.51947
"2021-07-29",139.759995,140.179993,138.729996,139.479996,5430500,136.222656
"2021-07-30",142,144.539993,141.550003,142.229996,14394300,138.908432
"2021-08-02",141.770004,142.429993,140.800003,141.880005,7009500,138.56662
"2021-08-03",141.860001,144.210007,141.520004,143.949997,8455700,140.588272
"2021-08-04",143.039993,144.089996,142.350006,142.429993,6628000,139.10376
"2021-08-05",143.350006,143.550003,141.470001,142.5,5363300,139.172134
"2021-08-06",143.029999,143.119995,141.220001,141.410004,6030100,138.107605
"2021-08-09",141.949997,142.589996,141.699997,142.179993,4743800,138.859604
"2021-08-10",141.910004,142.509995,141.660004,142.270004,5253500,138.94751
"2021-08-11",142.740005,143.240005,142.470001,142.619995,4205000,139.289337
"2021-08-12",143.149994,143.149994,142.350006,142.949997,4956100,139.611633
"2021-08-13",142.949997,143.990005,142.690002,143.639999,4888800,140.285507
"2021-08-16",143.669998,144.690002,143.380005,144.639999,6040800,141.262161
"2021-08-17",144.399994,145.600006,143.889999,144.880005,7577000,141.496567
"2021-08-18",144.699997,144.880005,143.179993,143.300003,7162000,139.953461
"2021-08-19",143.160004,145.279999,143.160004,144.990005,5787200,141.603989
"2021-08-20",145.25,145.979996,144.779999,145.089996,5273800,141.701645
"2021-08-23",144.289993,145.339996,144.229996,144.350006,4522200,140.978943
"2021-08-24",144.009995,144.149994,142.979996,143.179993,4560400,139.836243
"2021-08-25",143.070007,143.130005,142.25,142.669998,3861500,139.338165
"2021-08-26",142.559998,142.710007,141.470001,142.419998,4749400,139.093994
"2021-08-27",142.479996,142.770004,141.639999,142.309998,4741200,138.986572
"2021-08-30",142.600006,142.990005,142.050003,142.929993,3845800,139.592087
"2021-08-31",143.039993,143.529999,142.050003,142.389999,9642400,139.064697
"2021-09-01",142.330002,144.190002,142.229996,143.839996,6214200,140.480835
"2021-09-02",143.970001,144.729996,143.580002,143.949997,5392500,140.588272
"2021-09-03",143.759995,144.369995,143.520004,144.050003,5466400,140.685944
"2021-09-07",144.320007,144.5,143.289993,143.509995,6520600,140.158539
"2021-09-08",143.080002,144.940002,143.009995,144.600006,6897800,141.223114
"2021-09-09",144.570007,144.880005,143.649994,143.990005,6354700,140.627335
"2021-09-10",144.059998,144.460007,143.320007,144.130005,5750000,140.764053
"2021-09-13",144.850006,147.229996,144.850006,145.679993,9952500,142.277847
"2021-09-14",146.130005,146.360001,144.949997,145.429993,5831800,142.033707
