"","NTRS.Open","NTRS.High","NTRS.Low","NTRS.Close","NTRS.Volume","NTRS.Adjusted"
"2021-06-07",121,121.010002,118.599998,118.93,769700,115.315407
"2021-06-08",118.330002,120.330002,117.57,119.970001,841200,116.323799
"2021-06-09",118.800003,119.150002,118.099998,118.620003,576300,115.014832
"2021-06-10",119.389999,119.519997,117,117.120003,845400,114.234543
"2021-06-11",117.68,118.529999,117.230003,117.589996,656400,114.692955
"2021-06-14",117.330002,117.760002,115.839996,116.470001,825900,113.600555
"2021-06-15",116.470001,118.610001,116.080002,118.18,631000,115.268417
"2021-06-16",117.720001,122.199997,114.650002,118.989998,2131100,116.058464
"2021-06-17",118.459999,119.360001,111.809998,112.529999,1560900,109.757622
"2021-06-18",111.019997,111.199997,109,109.279999,1913800,106.587692
"2021-06-21",110.650002,113.25,110.029999,113.160004,700200,110.372108
"2021-06-22",112.959999,112.959999,111.209999,112.050003,834500,109.289452
"2021-06-23",112.559998,112.809998,111.900002,112.25,547900,109.484528
"2021-06-24",112.389999,114.669998,112.209999,114.32,675500,111.503517
"2021-06-25",114.769997,117.059998,114.290001,116.269997,1261400,113.405479
"2021-06-28",115.919998,115.989998,113.910004,114.599998,852800,111.776627
"2021-06-29",115.300003,116.410004,114.339996,114.93,538500,112.098503
"2021-06-30",114.769997,115.800003,114.290001,115.620003,593900,112.771492
"2021-07-01",116.059998,116.68,115.57,116.32,417900,113.454247
"2021-07-02",116.5,116.910004,115.440002,116.730003,465300,113.854149
"2021-07-06",116.519997,116.730003,113.589996,114.370003,858300,111.552292
"2021-07-07",113.910004,114.389999,112.260002,114.040001,636700,111.230423
"2021-07-08",112.290001,112.529999,110.559998,111.580002,841700,108.831032
"2021-07-09",113.300003,115.940002,113.25,115.550003,790600,112.703224
"2021-07-12",115.029999,116.849998,114.199997,116.300003,490300,113.434746
"2021-07-13",116.019997,116.239998,114.5,114.800003,431400,111.971703
"2021-07-14",114.989998,115.800003,112.580002,113.32,871200,110.52816
"2021-07-15",112.559998,114.910004,111.959999,113.870003,894200,111.064613
"2021-07-16",114.099998,114.209999,112.559998,113.150002,656600,110.36235
"2021-07-19",110.949997,111.029999,107.239998,107.959999,1037300,105.300217
"2021-07-20",108.269997,112.879997,107.669998,111.800003,990900,109.045616
"2021-07-21",113.239998,114.68,111.919998,113.599998,832300,110.80127
"2021-07-22",112.489998,113.529999,110.230003,110.830002,637200,108.099518
"2021-07-23",111.779999,112.199997,110.370003,111.489998,604200,108.74324
"2021-07-26",111.309998,112.720001,111.309998,112.5,457200,109.728363
"2021-07-27",111.510002,113.489998,110.330002,112.220001,815300,109.455254
"2021-07-28",112.949997,112.980003,111.160004,111.839996,625200,109.084625
"2021-07-29",112.620003,114.5,111.739998,113.610001,505800,110.811012
"2021-07-30",113.089996,113.559998,112.43,112.849998,729700,110.069733
"2021-08-02",113.779999,115.589996,111.879997,111.940002,560600,109.182167
"2021-08-03",112.470001,112.809998,109.949997,112.669998,939200,109.894173
"2021-08-04",112,112.089996,111.07,111.190002,534600,108.450638
"2021-08-05",111.480003,112.300003,111.410004,112.230003,571900,109.465019
"2021-08-06",113.300003,115.82,113.260002,115.370003,609200,112.527664
"2021-08-09",114.800003,115.730003,113.919998,114.959999,677200,112.127754
"2021-08-10",115,116.089996,114.260002,115.669998,968300,112.820259
"2021-08-11",116.18,117.529999,115.139999,117.290001,1005100,114.400352
"2021-08-12",117.910004,117.93,116.75,117.5,643400,114.605179
"2021-08-13",117.870003,117.870003,116.139999,116.370003,412100,113.503021
"2021-08-16",115.540001,116.540001,114.57,116.309998,422300,113.444496
"2021-08-17",115.370003,116.129997,114,115.059998,466600,112.225288
"2021-08-18",114.349998,116.529999,114.040001,114.410004,645700,111.591309
"2021-08-19",113.18,114.779999,112.639999,113.629997,602500,110.830528
"2021-08-20",113.800003,114.709999,113.230003,114.599998,462600,111.776627
"2021-08-23",114.940002,116.860001,114.370003,116.279999,480000,113.415237
"2021-08-24",116.550003,117.57,116.510002,117,458600,114.117493
"2021-08-25",117.379997,119.980003,116.970001,119.410004,476100,116.468132
"2021-08-26",119.489998,120,118.760002,118.779999,460000,115.853645
"2021-08-27",118.839996,121.099998,118.839996,121.029999,783300,118.048218
"2021-08-30",121.389999,121.739998,118.040001,118.059998,507100,115.151375
"2021-08-31",118.050003,118.779999,117.610001,118.519997,729000,115.600052
"2021-09-01",118.279999,118.68,116.150002,116.919998,724800,114.039467
