"","DAL.Open","DAL.High","DAL.Low","DAL.Close","DAL.Volume","DAL.Adjusted"
"2021-10-08",43.790001,43.799999,43.09,43.380001,7340600,43.380001
"2021-10-11",42.990002,43.939999,42.720001,43.189999,9085700,43.189999
"2021-10-12",43.040001,43.810001,42.77,43.540001,10515200,43.540001
"2021-10-13",42.740002,42.740002,40.889999,41.029999,28236900,41.029999
"2021-10-14",41.18,41.490002,40.880001,41.200001,16285400,41.200001
"2021-10-15",41.889999,42.27,40.950001,40.990002,13860300,40.990002
"2021-10-18",40.669998,41.41,40.52,41.009998,10140200,41.009998
"2021-10-19",41.029999,41.07,40.34,40.450001,11314400,40.450001
"2021-10-20",40.150002,41.07,39.91,40.299999,15162600,40.299999
"2021-10-21",40.5,40.75,40.02,40.400002,10694400,40.400002
"2021-10-22",40.009998,40.389999,39.650002,39.740002,9461900,39.740002
"2021-10-25",39.799999,39.91,39.369999,39.509998,9090500,39.509998
"2021-10-26",39.91,40.290001,39.459999,39.709999,8951200,39.709999
"2021-10-27",39.84,39.93,39.02,39.07,8341800,39.07
"2021-10-28",39.139999,39.369999,38.830002,39.150002,7416000,39.150002
"2021-10-29",39.060001,39.5,38.810001,39.130001,9343800,39.130001
"2021-11-01",39.150002,40.450001,38.91,40.419998,11401300,40.419998
"2021-11-02",40.240002,40.5,39.830002,40.389999,7611200,40.389999
"2021-11-03",40.290001,41.349998,40.029999,41.240002,10010600,41.240002
"2021-11-04",41.459999,41.490002,40.580002,40.990002,9990300,40.990002
"2021-11-05",43.540001,44.419998,43.259998,44.290001,23651200,44.290001
"2021-11-08",45,45.52,44.5,44.650002,15006700,44.650002
"2021-11-09",44.43,44.57,43.720001,44.529999,9359100,44.529999
"2021-11-10",43.799999,44.470001,43.529999,43.709999,8698700,43.709999
"2021-11-11",43.779999,44.240002,43.450001,43.450001,6370700,43.450001
"2021-11-12",43.5,43.529999,41.869999,42.220001,10038900,42.220001
"2021-11-15",42.639999,42.939999,42.139999,42.380001,6938400,42.380001
"2021-11-16",42.099998,42.189999,40.900002,41.040001,11055500,41.040001
"2021-11-17",40.98,41.25,40.299999,40.709999,9025300,40.709999
"2021-11-18",40.75,40.77,39.439999,40.119999,11615800,40.119999
"2021-11-19",39.77,39.93,38.889999,39.689999,15033400,39.689999
"2021-11-22",39.880001,40.189999,39.220001,39.77,11991400,39.77
"2021-11-23",40.34,40.580002,39.25,39.529999,11074300,39.529999
"2021-11-24",39.18,40.07,38.919998,39.689999,7580500,39.689999
"2021-11-26",36.75,36.950001,34.599998,36.380001,38052100,36.380001
"2021-11-29",37.02,37.349998,35.970001,36.240002,21269600,36.240002
"2021-11-30",35.73,36.290001,35.220001,36.200001,20442900,36.200001
"2021-12-01",36.869999,37.34,33.400002,33.529999,34616800,33.529999
"2021-12-02",34.41,36.669998,33.759998,36.639999,36044800,36.639999
"2021-12-03",36.48,37.68,35.349998,35.98,25510200,35.98
"2021-12-06",37.25,39.330002,37.009998,38.139999,23060500,38.139999
"2021-12-07",38.599998,39.130001,37.77,38.040001,14593500,38.040001
"2021-12-08",38.5,39.889999,38.029999,38.880001,16355500,38.880001
"2021-12-09",38.220001,38.849998,38,38.5,10427800,38.5
"2021-12-10",38.419998,38.459999,37.59,38.18,12028500,38.18
"2021-12-13",37.360001,37.619999,36.419998,36.869999,12244800,36.869999
"2021-12-14",36.549999,37.529999,36.419998,36.529999,12638700,36.529999
"2021-12-15",36.529999,36.799999,35.540001,36.610001,13179900,36.610001
"2021-12-16",37.59,37.689999,35.66,35.799999,19944400,35.799999
"2021-12-17",36.040001,37.240002,35.59,36.560001,18115500,36.560001
"2021-12-20",35.549999,37.25,35.389999,36.369999,17475600,36.369999
"2021-12-21",36.830002,38.82,36.759998,38.52,17209900,38.52
"2021-12-22",38.490002,39.470001,38.169998,39.130001,11719500,39.130001
"2021-12-23",39.720001,39.889999,38.990002,39.299999,8478100,39.299999
"2021-12-27",38.259998,39.18,37.860001,39,10897600,39
"2021-12-28",38.779999,39.830002,38.52,39.630001,9974200,39.630001
"2021-12-29",39.330002,39.490002,38.990002,39.16,7311800,39.16
"2021-12-30",39.060001,39.740002,39.02,39.040001,8055600,39.040001
"2021-12-31",39.049999,39.459999,38.919998,39.080002,7166700,39.080002
"2022-01-03",39.790001,41.029999,39.639999,40.290001,12529800,40.290001
"2022-01-04",40.970001,41.279999,40.330002,40.59,12076300,40.59
"2022-01-05",40.98,41.279999,40.150002,40.279999,11214700,40.279999
"2022-01-06",40.82,41.110001,39.740002,40.110001,9304100,40.110001
"2022-01-07",40.720001,41.970001,40.439999,41.509998,13941600,41.509998
"2022-01-10",41.59,41.799999,40.189999,40.630001,13086400,40.630001
"2022-01-11",40.580002,41.529999,40.439999,41.23,11415300,41.23
"2022-01-12",41.25,41.59,40.560001,40.610001,12522300,40.610001
"2022-01-13",41.080002,42.540001,40.450001,41.470001,23251900,41.470001
"2022-01-14",40.790001,40.860001,39.549999,40.310001,17141100,40.310001
