"","EA.Open","EA.High","EA.Low","EA.Close","EA.Volume","EA.Adjusted"
"2021-06-15",148.919998,148.929993,144.309998,144.800003,1795600,144.043839
"2021-06-16",143.960007,144.259995,140.449997,142.600006,2922500,141.855316
"2021-06-17",142.139999,143.550003,140.669998,141.929993,2199700,141.188797
"2021-06-18",142,142.639999,139.919998,141.119995,3235600,140.383026
"2021-06-21",139.380005,142.089996,138.789993,140.960007,2628500,140.223892
"2021-06-22",141.169998,141.660004,140.070007,140.860001,1531700,140.124405
"2021-06-23",140.919998,141.669998,138.229996,138.619995,1730100,137.896088
"2021-06-24",138.559998,139.5,137.600006,138.649994,1642900,137.925934
"2021-06-25",139.190002,139.720001,138.050003,138.589996,2266800,137.866241
"2021-06-28",139.690002,144.470001,139.490005,142.979996,2626800,142.233337
"2021-06-29",143.179993,144.529999,142.229996,144.100006,1575400,143.347488
"2021-06-30",144.320007,144.639999,143.149994,143.830002,1799900,143.078903
"2021-07-01",143.460007,143.820007,141.429993,142.139999,2621600,141.397705
"2021-07-02",143.289993,143.910004,142.130005,143.410004,1224500,142.661087
"2021-07-06",143.539993,143.789993,141.960007,143,1884300,142.25322
"2021-07-07",144.089996,144.25,142.539993,142.949997,1956900,142.203476
"2021-07-08",141.320007,142.380005,140.039993,140.449997,1863700,139.716522
"2021-07-09",139.550003,141.479996,139.490005,140.990005,1738700,140.253723
"2021-07-12",142.550003,142.550003,140.559998,141.389999,1946400,140.651627
"2021-07-13",143.440002,145.919998,142.460007,143.25,2695800,142.501923
"2021-07-14",143.309998,145,142.529999,143.119995,1933100,142.372589
"2021-07-15",143.350006,144.5,141.570007,142.660004,2423200,141.915009
"2021-07-16",142.630005,144.009995,141.229996,143.100006,3419700,142.352692
"2021-07-19",143.050003,145.169998,140.360001,141.240005,2199100,140.502426
"2021-07-20",141.350006,141.990005,139.880005,141.070007,1870000,140.333298
"2021-07-21",143.889999,143.889999,140.199997,140.720001,2071100,139.985123
"2021-07-22",140.070007,142.460007,140.070007,142.289993,1913200,141.546906
"2021-07-23",142.649994,145.360001,141.770004,144.990005,2269500,144.232834
"2021-07-26",145.119995,146.009995,143.800003,145.25,1307000,144.49147
"2021-07-27",145.059998,145.220001,140.320007,141.929993,2126600,141.188797
"2021-07-28",142.350006,145.169998,142.240005,143.559998,1353700,142.810318
"2021-07-29",143.949997,144.630005,142.880005,143.380005,1643100,142.631271
"2021-07-30",142.839996,145.399994,142.449997,143.960007,2825200,143.208221
"2021-08-02",145,145.639999,143.809998,144.110001,2054200,143.357422
