"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume","DVN.Adjusted"
"2021-03-24",22.32,23.120001,22.299999,22.34,11052300,20.602095
"2021-03-25",21.68,22.440001,21.190001,22.35,9282900,20.611319
"2021-03-26",22.969999,23.18,22.110001,22.74,11916000,20.970978
"2021-03-29",22.559999,22.85,21.549999,21.85,10882100,20.150213
"2021-03-30",21.51,22.110001,21.18,22,8036200,20.288546
"2021-03-31",22,22.030001,21.450001,21.85,9276100,20.150213
"2021-04-01",22.18,23.549999,22.08,23.5,14127500,21.671856
"2021-04-05",23.41,23.440001,22.35,22.459999,11309100,20.712759
"2021-04-06",22.76,23.52,22.57,22.780001,12527800,21.007866
"2021-04-07",22.82,22.950001,22.41,22.52,7821400,20.768095
"2021-04-08",22.219999,22.389999,21.77,22.34,7749200,20.602095
"2021-04-09",22.309999,22.66,21.9,22.040001,6826300,20.325434
"2021-04-12",22.35,22.6,21.77,21.879999,7475500,20.177879
"2021-04-13",21.84,21.969999,21.459999,21.690001,7356600,20.002661
"2021-04-14",21.940001,23.15,21.91,22.49,11993200,20.740427
"2021-04-15",22.620001,22.620001,22.02,22.370001,6988400,20.629765
"2021-04-16",22.51,22.559999,21.68,21.879999,6568300,20.177879
"2021-04-19",21.940001,22.49,21.629999,22.030001,8624900,20.316212
"2021-04-20",21.84,21.9,20.440001,20.969999,13799100,19.338673
"2021-04-21",20.139999,21.379999,20.139999,21.17,7001200,19.523113
"2021-04-22",21.26,21.34,20.790001,21,6503700,19.366339
"2021-04-23",21.17,21.559999,20.879999,21.440001,5023200,19.772112
"2021-04-26",21.379999,22.040001,21.299999,21.870001,7863400,20.168661
"2021-04-27",21.950001,22.290001,21.6,22.139999,7321500,20.417654
"2021-04-28",22.639999,24.200001,22.469999,24.030001,15830700,22.160624
"2021-04-29",24.4,24.85,23.700001,24.07,11528000,22.197514
"2021-04-30",23.610001,24.209999,23.33,23.379999,8597700,21.56119
"2021-05-03",23.690001,23.809999,23.16,23.620001,10247500,21.782522
"2021-05-04",23.74,24.09,23.02,23.450001,10921300,21.625746
"2021-05-05",24.040001,25.65,23.67,25.23,22502600,23.267273
"2021-05-06",25.139999,25.299999,24.43,25.27,11220900,23.304159
"2021-05-07",24.860001,26.58,24.709999,26.219999,13226800,24.180256
"2021-05-10",26.450001,27.32,25.99,26.01,13095300,23.986595
"2021-05-11",25.219999,25.889999,24.719999,25.74,10516800,23.7376
"2021-05-12",25.85,27.02,25.290001,25.58,14191000,23.590046
"2021-05-13",25.07,25.690001,24.27,24.75,10783500,22.824614
"2021-05-14",25.24,26.4,25.24,26.379999,10102400,24.327808
"2021-05-17",26.1,27.35,26.059999,27.190001,12044400,25.074797
"2021-05-18",27.360001,27.440001,26.209999,26.24,13291300,24.1987
"2021-05-19",25.450001,25.620001,24.58,25.280001,13867300,23.313383
"2021-05-20",25.17,25.4,24.559999,25.26,7717500,23.294941
"2021-05-21",25.48,25.99,25.32,25.35,8636100,23.377937
"2021-05-24",25.870001,26.08,25.25,25.950001,9454700,23.931263
"2021-05-25",25.93,26.389999,25.690001,25.799999,13301400,23.792931
"2021-05-26",25.84,26.49,25.639999,26.41,8220100,24.355478
"2021-05-27",26.59,26.93,26.25,26.65,14805100,24.576805
"2021-05-28",26.83,26.91,26.280001,26.559999,6134600,24.493809
"2021-06-01",28.84,30.34,28.58,30.200001,37271800,27.850639
"2021-06-02",30.34,31.389999,29.719999,30.799999,16381900,28.403963
"2021-06-03",30.43,31.299999,30.23,31.17,10345000,28.74518
"2021-06-04",31.469999,31.809999,30.700001,31.66,9923300,29.19706
"2021-06-07",31.51,31.99,30.66,30.92,9893700,28.514631
"2021-06-08",30.49,31.120001,30.110001,30.85,9744900,28.450073
"2021-06-09",30.93,31.18,29.790001,29.93,9713100,27.601645
"2021-06-10",30.559999,30.629999,29.049999,29.389999,11263700,27.103651
"2021-06-11",29.27,29.559999,29.110001,29.290001,6377100,27.327574
