"","HII.Open","HII.High","HII.Low","HII.Close","HII.Volume","HII.Adjusted"
"2021-02-12",170.729996,176.800003,170.419998,176.130005,429100,170.019638
"2021-02-16",177.630005,179,174.800003,175.160004,616700,169.083298
"2021-02-17",174.899994,179.270004,173.399994,178.419998,431600,172.230179
"2021-02-18",177.339996,178.679993,176.539993,178.429993,371600,172.239822
"2021-02-19",179.110001,182.229996,178.809998,182.130005,418400,175.811493
"2021-02-22",183.139999,192.5,182.199997,190.639999,665200,184.026245
"2021-02-23",191.369995,191.809998,183.050003,186.419998,587500,179.952667
"2021-02-24",187.039993,190.229996,187.039993,188.100006,341800,181.574371
"2021-02-25",187.070007,188.410004,182.100006,183.229996,288500,177.951797
"2021-02-26",181.139999,182.020004,175.779999,175.910004,579400,170.842682
"2021-03-01",178.080002,180.690002,177.830002,178.410004,473100,173.27066
"2021-03-02",178.300003,180.389999,177.330002,179.630005,283300,174.455536
"2021-03-03",180.350006,183.580002,179,182.229996,398500,176.980606
"2021-03-04",183.139999,184.610001,177.570007,179.369995,465400,174.203003
"2021-03-05",180.960007,186.860001,179.110001,185.610001,354400,180.263275
"2021-03-08",187.889999,194.100006,187.419998,191.100006,364000,185.595123
"2021-03-09",189.740005,190.270004,184.070007,185.089996,442500,179.758224
"2021-03-10",184.529999,189.399994,183.399994,187.860001,310400,182.448441
"2021-03-11",187.220001,190.580002,186.75,189.910004,391400,184.439392
"2021-03-12",193.289993,196.139999,192.550003,195.089996,335100,189.470169
"2021-03-15",195.699997,198.850006,195.139999,198.279999,438400,192.568283
"2021-03-16",197.529999,197.929993,193.800003,195.130005,421700,189.509018
"2021-03-17",195.619995,199.229996,193.880005,197.940002,287100,192.238083
"2021-03-18",198.330002,200.279999,196.919998,198.470001,333800,192.752808
"2021-03-19",198.059998,198.059998,194.160004,197.259995,594900,191.577667
"2021-03-22",196.539993,197.229996,193.059998,196.070007,298100,190.421951
"2021-03-23",193.389999,195.220001,190.110001,191.479996,462800,185.964172
"2021-03-24",193.210007,199.089996,193.190002,194.119995,285700,188.528122
"2021-03-25",194.690002,200.419998,192.570007,200.139999,330600,194.374725
"2021-03-26",200.639999,203.639999,199.320007,203.160004,242500,197.307709
"2021-03-29",203.399994,208.479996,203.339996,207.360001,433900,201.386719
"2021-03-30",207.110001,207.740005,203.929993,205.669998,267300,199.745392
"2021-03-31",205.580002,208.070007,205.089996,205.850006,383500,199.920212
"2021-04-01",206,206.389999,202.529999,204.229996,247300,198.346878
"2021-04-05",206.179993,208.160004,205.600006,207.600006,356400,201.619812
"2021-04-06",206.339996,209.410004,206.039993,207.369995,308800,201.396439
