"","PNW.Open","PNW.High","PNW.Low","PNW.Close","PNW.Volume","PNW.Adjusted"
"2021-12-15",67.480003,67.860001,67.220001,67.599998,977800,65.26535
"2021-12-16",67.599998,68.660004,67.559998,68.300003,935500,65.941177
"2021-12-17",68.269997,68.5,67.440002,67.800003,2835500,65.45845
"2021-12-20",67.160004,67.839996,66.389999,67.690002,638900,65.352242
"2021-12-21",67.989998,68.639999,66.779999,67.68,911000,65.342583
"2021-12-22",67.68,68.699997,67.68,68.550003,824500,66.182549
"2021-12-23",68.620003,69.349998,68.559998,68.910004,1058800,66.530113
"2021-12-27",68.889999,69.169998,68.470001,68.889999,861400,66.510796
"2021-12-28",68.940002,69.839996,68.75,69.720001,551400,67.312134
"2021-12-29",69.760002,70.080002,69.580002,69.870003,569700,67.456955
"2021-12-30",69.889999,70.720001,69.860001,70.5,596800,68.065193
"2021-12-31",70.720001,71.300003,70.32,70.589996,600500,68.152084
"2022-01-03",70.660004,70.980003,69.099998,69.790001,615300,67.379715
"2022-01-04",69.790001,70.5,69.620003,69.650002,820700,67.244553
"2022-01-05",68.260002,70.400002,67.5,69.849998,960500,67.437637
"2022-01-06",70.290001,70.699997,69.760002,70.120003,668700,67.698318
"2022-01-07",70.129997,71.470001,69.75,70.800003,749700,68.354836
"2022-01-10",71.139999,71.360001,70.190002,70.650002,1061600,68.210014
