"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"2021-04-06",229.339996,230.910004,226.130005,227.050003,2658900,226.140411
"2021-04-07",226.119995,227.910004,224.770004,226.070007,1614300,225.164337
"2021-04-08",227.929993,231.25,227.720001,229.940002,2019500,229.018845
"2021-04-09",230.139999,232.369995,229.029999,232.360001,1502000,231.429153
"2021-04-12",231.559998,235.229996,231.089996,234.839996,2576900,233.8992
"2021-04-13",238.419998,247.899994,237.199997,242.839996,6157000,241.867157
"2021-04-14",241.669998,242,236.899994,237.300003,2611000,236.349365
"2021-04-15",238.119995,243.360001,237.009995,242.589996,2300000,241.618164
"2021-04-16",243.380005,243.880005,241.520004,243.059998,1840600,242.086273
"2021-04-19",241.839996,242.720001,239.949997,241.990005,2020000,241.020584
"2021-04-20",240.169998,243.169998,240.169998,241.850006,1323200,240.881149
"2021-04-21",242.550003,245.320007,240.960007,244.399994,1845000,243.420914
"2021-04-22",248.050003,256.100006,248.050003,252.919998,3993600,251.906784
"2021-04-23",252.970001,259.980011,252.720001,259.779999,3563100,258.739319
"2021-04-26",259.549988,260.369995,257.730011,258.100006,2077400,257.06604
"2021-04-27",257.799988,259.380005,255.300003,258.019989,1910000,256.986359
"2021-04-28",255.800003,258.940002,255.309998,258.390015,1430700,257.354889
"2021-04-29",259.76001,259.839996,255.610001,256.579987,1711200,255.552109
"2021-04-30",255.330002,257.380005,252.789993,253.940002,2028200,252.922699
"2021-05-03",256.730011,256.899994,254,254.669998,1493700,253.649765
"2021-05-04",253.990005,256.25,251.889999,256.029999,2000400,255.004318
"2021-05-05",257.130005,257.700012,253.509995,254.5,1589700,253.480453
"2021-05-06",253.660004,257.190002,252.529999,256.98999,1757200,255.96048
"2021-05-07",258.769989,261.429993,258.070007,258.480011,2630500,257.444519
"2021-05-10",258.609985,260.660004,257.329987,259.029999,2008900,257.99231
"2021-05-11",256.809998,258.549988,255.259995,257.910004,1533100,256.876831
"2021-05-12",255.119995,256.399994,249.860001,250.279999,1859600,249.277359
"2021-05-13",251.809998,254.160004,250.490005,252.669998,1637600,251.657791
"2021-05-14",253.910004,256.790009,253.059998,253.580002,2326800,252.564148
"2021-05-17",253.130005,254.679993,250.25,250.910004,1253700,249.904831
"2021-05-18",251.039993,252.710007,249.529999,249.929993,1499000,248.928757
"2021-05-19",247.809998,249.460007,245.949997,249.330002,1890500,248.331161
"2021-05-20",250.279999,255.279999,249.809998,254.919998,2411700,253.898758
"2021-05-21",255.539993,257.390015,252.550003,252.570007,1557000,251.558197
"2021-05-24",254.179993,255.070007,252.279999,253.910004,2218000,252.892822
"2021-05-25",254.050003,255.389999,252.860001,255.139999,3526400,254.117889
"2021-05-26",256.559998,256.559998,250.389999,251.770004,3644200,250.761398
"2021-05-27",251.899994,255.660004,251.289993,255.229996,4211500,254.20752
"2021-05-28",257,260.51001,256.01001,256.140015,2068100,255.113922
"2021-06-01",254,254,243.339996,245.210007,6416400,244.227676
"2021-06-02",244.949997,245.740005,241.710007,242.009995,3333000,241.040497
"2021-06-03",241.149994,242.740005,238.320007,241.009995,3252000,240.044479
"2021-06-04",243.509995,244.529999,241.369995,242.270004,1992000,241.299454
"2021-06-07",242.210007,243.169998,239.869995,240.240005,2275400,239.277588
"2021-06-08",241.639999,241.830002,239.050003,240.199997,2326300,239.237732
"2021-06-09",240.919998,241.5,239.880005,240.699997,1905000,239.735733
"2021-06-10",241.190002,246.75,241.190002,246.259995,2554100,245.273468
"2021-06-11",246.789993,247.720001,245.960007,247.020004,2972100,246.030411
"2021-06-14",247.929993,247.929993,243.809998,247.410004,1879300,246.418869
"2021-06-15",247.179993,247.889999,244.660004,245.100006,2153600,244.118118
"2021-06-16",245.570007,246.380005,243,244.740005,1919300,243.759552
"2021-06-17",243.470001,258.980011,243.470001,257.079987,5001000,256.05011
"2021-06-18",257.059998,259.929993,255.809998,256.970001,4287500,255.940582
"2021-06-21",258.869995,262.730011,255.660004,262.589996,2778900,261.538055
"2021-06-22",263.170013,267.720001,262.359985,267.040009,3730100,265.970245
"2021-06-23",266.609985,270.619995,265.700012,268.649994,3556500,267.573792
"2021-06-24",269.649994,270.630005,265.130005,267.350006,3130200,266.487335
"2021-06-25",267.410004,270.130005,265.609985,266.559998,3999100,265.699799
"2021-06-28",266.549988,272.339996,266.549988,271.690002,2219900,270.813293
"2021-06-29",273.079987,273.079987,268.130005,270.869995,3005500,269.995941
"2021-06-30",270.48999,270.609985,266.959991,268.359985,1869300,267.494019
"2021-07-01",268,272.290009,267.109985,272.209991,1779400,271.331635
"2021-07-02",273.359985,274.100006,272.130005,274.029999,1439000,273.145752
"2021-07-06",274.600006,278.869995,274.209991,278.720001,2533300,277.820587
"2021-07-07",279.730011,280.5,275.359985,278.549988,1839700,277.651123
"2021-07-08",275,277.829987,274.570007,276.980011,1931500,276.086243
"2021-07-09",277.100006,278.25,275.869995,277.470001,1663500,276.574615
"2021-07-12",278.630005,279.940002,277.269989,278.01001,1779500,277.112885
"2021-07-13",278.649994,279.959991,276.440002,276.75,1523400,275.856964
"2021-07-14",277.410004,277.859985,275.890015,276.119995,1446600,275.229004
"2021-07-15",275.309998,281.589996,275.029999,280.950012,2266800,280.043427
"2021-07-16",282.420013,286.160004,281.160004,284.790009,2565500,283.871063
"2021-07-19",282.649994,285.179993,281.390015,283.75,2518000,282.834351
"2021-07-20",283.670013,287,281.779999,283.600006,2423400,282.684875
"2021-07-21",283.029999,283.540009,273.059998,279.799988,2747900,278.897095
"2021-07-22",283.649994,290.23999,282.130005,288.959991,2448200,288.027527
"2021-07-23",290.089996,292.369995,288.190002,291.269989,2076200,290.330078
"2021-07-26",291,293.130005,287.279999,290.179993,2018100,289.243622
"2021-07-27",291,292.25,289.070007,290.600006,1731900,289.662262
"2021-07-28",289.279999,293.940002,289.279999,292.880005,2148400,291.934937
"2021-07-29",293.369995,298.690002,293.01001,297.630005,1780000,296.669586
"2021-07-30",297.160004,299.730011,296.040009,297.48999,2230000,296.529999
"2021-08-02",299.170013,300,295.01001,297.040009,1195200,296.081482
"2021-08-03",297.799988,302.690002,297.209991,302.329987,1953400,301.354401
"2021-08-04",302.51001,307.100006,302.51001,305.619995,1585300,304.633789
"2021-08-05",306.059998,308.390015,304.649994,307.140015,1406800,306.148895
"2021-08-06",307.410004,307.940002,303.73999,307.279999,1661400,306.288452
"2021-08-09",307.619995,309.140015,305.799988,307.970001,1540400,306.976227
"2021-08-10",308.519989,312.700012,307.869995,308.880005,1553800,307.88327
"2021-08-11",309.290009,312.679993,307.799988,310.570007,2123700,309.567841
"2021-08-12",309.850006,314.589996,309.380005,313.769989,1935100,312.757507
"2021-08-13",315.839996,315.839996,312.730011,315.26001,1373400,314.242706
"2021-08-16",315,319.109985,314.100006,318.799988,1621000,317.771271
"2021-08-17",319.26001,321.309998,318.029999,320.950012,1758300,319.914337
"2021-08-18",321.149994,323.420013,314.720001,314.970001,3323500,313.953613
"2021-08-19",313.049988,320.76001,312.540009,319.790009,3226400,318.758087
"2021-08-20",321.320007,323.200012,319.450012,321.540009,3295700,320.502441
"2021-08-23",321.679993,322.660004,318.48999,318.619995,2740700,317.591858
"2021-08-24",318.920013,322.290009,318.170013,320.649994,1756200,319.615295
"2021-08-25",319.769989,321.579987,318.570007,319.480011,1342800,318.449066
"2021-08-26",320,320.980011,316.549988,318.339996,1286200,317.312744
"2021-08-27",319.059998,321.790009,317.579987,319.100006,1316300,318.070343
"2021-08-30",320.880005,327.440002,320.529999,327.01001,1711300,325.954803
"2021-08-31",328.269989,329.470001,322.109985,324.160004,2410200,323.113953
"2021-09-01",323.589996,328.119995,321.040009,327.600006,2187500,326.542877
"2021-09-02",329.5,332.98999,328.359985,331.429993,2273500,330.360535
"2021-09-03",330.269989,333.290009,328.609985,332.429993,1333800,331.357269
"2021-09-07",330.649994,331.899994,327.209991,330,1930500,328.93512
"2021-09-08",329.290009,331.980011,327.649994,330.51001,1811800,329.443481
"2021-09-09",330.5,332.25,327.609985,328.380005,1483000,327.320374
"2021-09-10",330.779999,333.959991,329.869995,329.98999,2443800,328.92511
"2021-09-13",331,331.51001,316.350006,321.450012,2032300,320.41272
"2021-09-14",323.869995,326.940002,322.140015,324.089996,1888400,323.04422
"2021-09-15",322.799988,328.48999,317.359985,325.26001,2353300,324.210449
"2021-09-16",325.859985,326.709991,321.609985,324,1794100,322.954498
"2021-09-17",324.839996,329.179993,321.820007,324.529999,3459600,323.482758
"2021-09-20",320.01001,325.690002,320.01001,324.109985,3170800,323.064117
"2021-09-21",325,327.429993,323.950012,324.700012,1874900,323.652222
"2021-09-22",325.899994,326.220001,323.179993,324.130005,1796800,323.084076
"2021-09-23",325.149994,327.079987,323.220001,325.029999,2262700,323.981171
"2021-09-24",324.940002,326.119995,322.230011,324.5,1411700,323.452881
"2021-09-27",321.549988,322.540009,313.559998,316,1811700,314.980286
"2021-09-28",308.920013,311.549988,300.970001,303.950012,3721600,302.969208
"2021-09-29",305.720001,309.209991,305.220001,306.609985,2054000,305.831879
"2021-09-30",308.670013,311.179993,304.179993,304.440002,2831500,303.667389
"2021-10-01",306.980011,306.980011,290.059998,302.320007,2668600,301.552795
"2021-10-04",301.73999,303.600006,297.130005,298.570007,2302300,297.812317
"2021-10-05",301.75,303.709991,299.410004,299.519989,1763200,298.759888
"2021-10-06",298.820007,300.619995,295.369995,300.600006,1640700,299.837158
"2021-10-07",302.790009,306.619995,302.579987,302.609985,1668300,301.842041
"2021-10-08",302.929993,304.029999,299.070007,299.769989,1078000,299.009247
"2021-10-11",299.299988,302.480011,297.549988,298.73999,1121500,297.981842
"2021-10-12",300.559998,300.559998,293.540009,296.850006,2548300,296.09668
"2021-10-13",298.769989,299.140015,294.730011,295.859985,2762000,295.109161
"2021-10-14",298.559998,303.700012,298.559998,300.429993,2820100,299.667572
"2021-10-15",301.130005,302.660004,300.329987,301.380005,2957900,300.615173
"2021-10-18",301.109985,305.51001,299.399994,304.179993,1767500,303.408081
"2021-10-19",306.309998,310.399994,305.73999,308.480011,1828000,307.697174
"2021-10-20",314.429993,315.630005,311,314.820007,2587100,314.021088
"2021-10-21",314.5,314.5,302,310.73999,2872100,309.951416
"2021-10-22",311.119995,314.149994,309.470001,313.380005,2174000,312.584717
"2021-10-25",312.480011,313.720001,305.269989,306.100006,2306400,305.323212
"2021-10-26",307.570007,309.720001,305.640015,306.929993,1354400,306.151062
"2021-10-27",308.190002,310.279999,304.440002,305.23999,1878800,304.465363
"2021-10-28",305.75,307.980011,303.309998,304.570007,2407600,303.797089
"2021-10-29",303.420013,312,302.679993,311.769989,2761700,310.97879
