"","OGN.Open","OGN.High","OGN.Low","OGN.Close","OGN.Volume","OGN.Adjusted"
"2022-02-02",33.080002,33.479,32.66,33.330002,1693700,32.803589
"2022-02-03",32.919998,33.560001,32.669998,32.919998,1663700,32.400063
"2022-02-04",32.689999,33.470001,32.689999,33.119999,1627400,32.596901
"2022-02-07",33.299999,33.75,33.029999,33.52,1090100,32.990585
"2022-02-08",33.419998,33.950001,33.055,33.75,1635500,33.216953
"2022-02-09",33.919998,34.669998,33.799999,34.59,1557700,34.043686
"2022-02-10",34.27,35.080002,34.27,34.450001,1329400,33.905899
"2022-02-11",34.400002,35.34,34.400002,34.720001,1474500,34.171635
"2022-02-14",34.700001,34.830002,34.220001,34.380001,1782300,33.837002
"2022-02-15",34.799999,35.308998,34.799999,35.220001,1931800,34.663738
"2022-02-16",35.299999,36.490002,35.220001,36.34,3114100,35.766048
"2022-02-17",35.389999,36.939999,34.889999,36.369999,4587400,35.795574
"2022-02-18",36.459999,37.18,35.82,36.09,3145100,35.519997
"2022-02-22",36.099998,36.610001,35.84,35.98,2219900,35.411732
"2022-02-23",35.900002,36.279999,35.445,35.5,2244400,34.939316
"2022-02-24",34.75,36.130001,34.459999,36.029999,2440000,35.460941
"2022-02-25",35.685001,37.759998,35.509998,37.57,3494900,37.266228
"2022-02-28",36.540001,37.790001,36.400002,37.330002,2846700,37.028172
"2022-03-01",37.27,37.860001,37,37.459999,3675000,37.157116
"2022-03-02",37.52,39.474998,37.445,39.360001,3434400,39.041756
"2022-03-03",39.130001,39.209999,38.32,39.02,1353300,38.704506
"2022-03-04",38.389999,38.869999,37.599998,38.82,2890000,38.506123
"2022-03-07",38.580002,39.205002,37.810001,38.419998,2688800,38.109352
"2022-03-08",38.32,38.599998,36.630001,36.650002,2529600,36.353668
"2022-03-09",36.869999,37.439999,36.400002,36.459999,1789900,36.165203
"2022-03-10",36.27,36.419998,35.669998,35.98,1954000,35.689083
"2022-03-11",36.209999,36.619999,35.790001,35.830002,1488400,35.540298
"2022-03-14",35.34,35.619999,31.57,32.360001,7855500,32.098354
"2022-03-15",32.290001,32.66,31.690001,32.290001,3654900,32.028919
"2022-03-16",32.759998,32.950001,31.85,32.900002,2962300,32.633987
"2022-03-17",33.049999,34.380001,32.529999,34.34,2682600,34.062344
"2022-03-18",34.220001,35.189999,34.139999,35.080002,9038400,34.796364
"2022-03-21",35.509998,35.990002,34.650002,34.77,1670100,34.488869
"2022-03-22",35,35.650002,34.560001,35.349998,1312000,35.064175
"2022-03-23",35.43,35.685001,35,35.34,1583600,35.05426
"2022-03-24",35.279999,35.450001,34.759998,35.299999,1306800,35.01458
"2022-03-25",35.450001,35.724998,34.790001,34.990002,1060000,34.707092
"2022-03-28",34.919998,35.200001,34.68,35.169998,1445200,34.885632
"2022-03-29",35.360001,35.75,35.07,35.32,1038100,35.03442
"2022-03-30",35.380001,36.389999,35.27,35.810001,1645300,35.520458
"2022-03-31",35.529999,36.099998,34.919998,34.93,1637800,34.647575
"2022-04-01",35.220001,35.615002,34.869999,35.150002,1610700,34.865795
"2022-04-04",34.849998,35.080002,34.460999,34.720001,1471600,34.439274
"2022-04-05",34.77,35.849998,34.77,35.400002,2060300,35.113773
"2022-04-06",35.560001,36.450001,35.110001,36.200001,1893900,35.907307
"2022-04-07",36.110001,36.619999,35.990002,36.200001,2386300,35.907307
"2022-04-08",36.169998,36.349998,35.779999,35.869999,3120700,35.579971
"2022-04-11",35.990002,36.18,35.07,35.18,1480100,34.895554
"2022-04-12",35.18,35.68,34.91,34.990002,1184400,34.707092
"2022-04-13",35.119999,35.299999,34.639999,34.98,935400,34.69717
"2022-04-14",35.009998,35.32,34.465,34.900002,1516100,34.617817
"2022-04-18",34.77,34.830002,33.220001,33.380001,1170900,33.110107
"2022-04-19",33.509998,34.084,33.400002,33.950001,1073000,33.675499
"2022-04-20",33.75,33.779999,33.299999,33.349998,852300,33.080349
"2022-04-21",33.459999,33.630001,32.68,32.77,1310600,32.505039
"2022-04-22",32.66,32.66,32.060001,32.259998,1242900,31.999161
"2022-04-25",32,32.689999,31.485001,32.509998,1189300,32.247139
"2022-04-26",32.240002,32.57,31.620001,31.66,1008900,31.404013
"2022-04-27",31.99,32.68,31.719999,32.419998,1204400,32.157867
"2022-04-28",32.700001,33.200001,32.209999,33,1508100,32.733177
"2022-04-29",32.880001,33.325001,32.25,32.330002,2811400,32.0686
"2022-05-02",32.5,33.110001,31.635,32.080002,2473800,31.82062
"2022-05-03",32.040001,32.580002,31.91,32.439999,1965300,32.177704
"2022-05-04",32.52,33.290001,31.940001,33.189999,1409200,32.921642
"2022-05-05",33.189999,35.209999,33.150002,34.869999,3414900,34.588058
"2022-05-06",34.330002,35.02,33.119999,34.77,2448900,34.488869
"2022-05-09",34.240002,35.240002,34.099998,34.720001,2429900,34.439274
"2022-05-10",34.209999,34.950001,33.939999,34.759998,1895700,34.478947
"2022-05-11",34.650002,35.279999,33.23,33.349998,2046700,33.080349
"2022-05-12",33.389999,34.650002,33.389999,34.630001,1322700,34.350002
"2022-05-13",34.59,35.23,34.195,34.939999,1145800,34.939999
"2022-05-16",34.740002,35.619999,34.610001,35.43,1071900,35.43
"2022-05-17",35.759998,36.869999,35.48,36.73,1441400,36.73
"2022-05-18",36.439999,37.360001,35.825001,35.959999,1651600,35.959999
"2022-05-19",35.5,36.66,35.279999,36.57,1430600,36.57
"2022-05-20",36.889999,37.700001,36.450001,37.639999,1926800,37.639999
"2022-05-23",37.779999,37.956001,36.93,37.529999,1141600,37.529999
"2022-05-24",37.459999,37.639999,36.914001,37.52,1165300,37.52
"2022-05-25",37.450001,38.349998,37.380001,38.099998,1213100,38.099998
"2022-05-26",38.349998,39.09,37.950001,38.560001,1160600,38.560001
"2022-05-27",38.5,38.950001,38.285,38.900002,1182200,38.900002
"2022-05-31",38.400002,38.610001,37.59,37.959999,2201600,37.959999
"2022-06-01",38.080002,38.310001,37,37.75,1172800,37.75
"2022-06-02",37.91,37.91,36.525002,37.330002,1409100,37.330002
"2022-06-03",37.23,37.360001,36.860001,37.18,777300,37.18
"2022-06-06",37.349998,37.709999,37.299999,37.470001,905600,37.470001
"2022-06-07",37.470001,37.860001,37.310001,37.810001,1106300,37.810001
"2022-06-08",37.779999,38.09,37.439999,37.610001,816500,37.610001
"2022-06-09",37.610001,37.610001,36.380001,36.389999,868300,36.389999
"2022-06-10",35.950001,36.014999,35.235001,35.459999,1161500,35.459999
"2022-06-13",34.880001,34.880001,33.66,34.200001,1280100,34.200001
"2022-06-14",34.169998,34.169998,32.849998,33.130001,1926500,33.130001
"2022-06-15",33.169998,33.91,32.759998,33.59,1694700,33.59
"2022-06-16",32.830002,33.060001,32.470001,32.810001,1660300,32.810001
"2022-06-17",32.91,33.459999,32.419998,33.169998,4224400,33.169998
"2022-06-21",33.59,33.650002,32.779999,32.880001,1883700,32.880001
"2022-06-22",32.639999,33.869999,32.639999,33.59,1381800,33.59
"2022-06-23",33.790001,35.139999,33.66,34.919998,1481700,34.919998
"2022-06-24",35.400002,36.080002,35.099998,35.860001,1812100,35.860001
"2022-06-27",35.740002,35.98,35.345001,35.43,858900,35.43
"2022-06-28",35.48,35.595001,34.66,34.790001,865800,34.790001
"2022-06-29",35.049999,35.049999,34.424999,34.57,816300,34.57
