"","BALL.Open","BALL.High","BALL.Low","BALL.Close","BALL.Volume","BALL.Adjusted"
"2021-09-09",95.800003,96.360001,94.860001,95.459999,2677400,94.791138
"2021-09-10",95.360001,95.709999,94.610001,94.830002,2302600,94.16555
"2021-09-13",95.220001,95.440002,93.870003,94.059998,2354300,93.400948
"2021-09-14",94.029999,94.300003,92.260002,92.650002,2535500,92.000832
"2021-09-15",92.589996,94.07,92.449997,93.209999,1994400,92.5569
"2021-09-16",92.980003,93.220001,92.389999,92.75,1505200,92.100128
"2021-09-17",92.720001,92.809998,91.379997,92.360001,3007600,91.712868
"2021-09-20",92.080002,92.830002,91.870003,92.75,2024600,92.100128
"2021-09-21",92.519997,93.209999,92.25,92.529999,1702600,91.881668
"2021-09-22",92.25,93.339996,91.540001,92.949997,1683900,92.298721
"2021-09-23",93.089996,93.709999,93,93.25,1353300,92.596626
"2021-09-24",92.919998,93.019997,92.080002,92.300003,1616800,91.653282
"2021-09-27",91.940002,92.190002,90.629997,90.82,2065100,90.183647
"2021-09-28",90.25,90.709999,89.410004,89.709999,2383100,89.081429
"2021-09-29",89.43,89.989998,89.279999,89.739998,1542000,89.111214
"2021-09-30",89.900002,90.82,89.800003,89.970001,2086600,89.3396
"2021-10-01",90.050003,90.830002,88.480003,89.849998,2088300,89.220444
"2021-10-04",89.690002,90.650002,89.300003,89.82,1371700,89.190659
"2021-10-05",89.940002,92,89.629997,91.489998,1614100,90.848953
"2021-10-06",91.580002,92.75,91.160004,92.449997,1827900,91.802231
"2021-10-07",92.93,93.260002,91.720001,91.910004,1759000,91.266014
"2021-10-08",91.959999,92.510002,91.120003,91.400002,1062900,90.75959
"2021-10-11",91.230003,91.900002,90.940002,90.940002,1076400,90.302811
"2021-10-12",91.029999,91.379997,90.190002,90.459999,1844900,89.826164
"2021-10-13",91.050003,91.5,90.190002,90.779999,1540900,90.143921
"2021-10-14",89.220001,92.209999,89.139999,92.019997,1569500,91.375244
"2021-10-15",92.300003,92.510002,91.059998,91.300003,1460700,90.660294
"2021-10-18",90.610001,90.949997,90.040001,90.110001,1347900,89.47863
"2021-10-19",90.029999,90.720001,89.68,90.639999,1024400,90.004913
"2021-10-20",91.290001,92.650002,91.18,92.580002,1482200,91.93132
"2021-10-21",92.529999,93.290001,92.18,93.040001,1192700,92.388092
