"","ZBH.Open","ZBH.High","ZBH.Low","ZBH.Close","ZBH.Volume","ZBH.Adjusted"
"2021-11-18",127.553398,127.873787,125.126213,125.135925,1351669,124.378967
"2021-11-19",125.126213,126,123.427185,125.05825,1971832,124.301773
"2021-11-22",125.242722,128.320389,124.825241,126.427185,1396062,125.662415
"2021-11-23",123.825241,127.048546,123.825241,126.679611,1584964,125.913315
"2021-11-24",126.097084,127.844658,126.067963,126.475731,1222816,125.71067
"2021-11-26",123.43689,124.94175,121.194176,121.961166,1404817,121.223412
"2021-11-29",123.077667,123.174759,119.834953,119.902916,1471664,119.17762
"2021-11-30",118.94175,119.815536,116.067963,116.116508,2515466,115.414116
"2021-12-01",117.679611,121.592232,116.281555,116.300972,2070094,115.597458
"2021-12-02",116.873787,119.786407,116.79612,119.349518,1447047,118.627571
"2021-12-03",119.834953,120.300972,116.543686,117.689323,1794569,116.977409
"2021-12-06",119.70874,123.233009,119.116508,121.834953,2323165,121.097969
"2021-12-07",123.970871,126.533981,123.737862,124.689323,1861210,123.935074
"2021-12-08",124.737862,126.456314,124.378639,125.20388,1327361,124.446518
"2021-12-09",123.281555,124.640778,121.533981,121.786407,2521749,121.049713
"2021-12-10",123.14563,123.14563,119.194176,120.864075,1696204,120.132957
"2021-12-13",120.864075,123.281555,120.864075,121.805824,1621735,121.069008
"2021-12-14",121.300972,122.689323,119.504852,119.689323,1330451,118.965317
"2021-12-15",119.097084,119.815536,114.825241,117.165047,3248929,116.456299
"2021-12-16",117.825241,119.85437,116.019417,116.961166,3340702,116.253662
"2021-12-17",116.504852,119.640778,115.194176,117.330093,4066646,116.620361
"2021-12-20",115.679611,116.456314,113.20388,115.427185,2584167,114.728958
"2021-12-21",116.650482,119.902916,116.019417,118.893204,1907560,118.174004
"2021-12-22",118.514565,121.097084,117.893204,121.097084,1020936,120.364563
"2021-12-23",121.990288,123.368935,121.252426,123.29126,1438704,122.545464
"2021-12-27",123.29126,124.155342,121.669907,124.087379,1221065,123.570313
