"","USB.Open","USB.High","USB.Low","USB.Close","USB.Volume","USB.Adjusted"
"2021-10-26",62.59,62.73,62.07,62.439999,3825600,60.82893
"2021-10-27",62.09,62.139999,60.169998,60.279999,7255000,58.724659
"2021-10-28",60.59,60.970001,60.240002,60.93,3979100,59.357891
"2021-10-29",61.029999,61.200001,60.200001,60.369999,4008400,58.812336
"2021-11-01",60.93,61.080002,60.310001,60.779999,2797500,59.211761
"2021-11-02",60.830002,61.110001,60.290001,60.860001,3588300,59.2897
"2021-11-03",60.580002,62.259998,60.5,61.830002,4187500,60.234669
"2021-11-04",61.470001,61.529999,59.759998,60.279999,4260300,58.724659
"2021-11-05",60.919998,61.23,60.43,60.689999,3907500,59.124081
"2021-11-08",60.919998,61.130001,60.259998,60.689999,3563800,59.124081
"2021-11-09",60.110001,60.439999,59.59,60.07,4042900,58.520081
"2021-11-10",60.27,60.889999,60.139999,60.490002,3580100,58.929245
"2021-11-11",60.490002,61.110001,60.419998,60.779999,2893700,59.211761
"2021-11-12",60.720001,60.810001,59.959999,60.5,3686000,58.938984
"2021-11-15",60.759998,60.82,60.349998,60.459999,3190100,58.900021
"2021-11-16",60.59,60.98,59.880001,60.52,3910500,58.958469
"2021-11-17",60.380001,60.470001,59.299999,59.32,4177300,57.789433
"2021-11-18",59.400002,59.400002,58.380001,58.650002,3947000,57.136723
"2021-11-19",58.200001,58.23,57.18,57.59,4302300,56.104069
"2021-11-22",58.459999,59.790001,58.310001,58.98,5534300,57.458206
"2021-11-23",59.48,60.259998,59.330002,60.07,4686500,58.520081
"2021-11-24",59.950001,60.599998,59.52,59.84,2862800,58.296017
"2021-11-26",57.84,57.860001,56.549999,57.5,4654300,56.016392
"2021-11-29",57.400002,58.189999,56.799999,57.400002,4965300,55.918972
"2021-11-30",56.740002,56.77,55.27,55.34,10030800,53.912125
"2021-12-01",56.580002,57.07,54.82,54.849998,6293100,53.434761
"2021-12-02",55.580002,57.080002,55.049999,56.599998,5410900,55.13961
"2021-12-03",56.619999,56.82,55.220001,55.59,6285700,54.15567
"2021-12-06",56.740002,57.549999,56.369999,56.880001,6425500,55.412388
"2021-12-07",57.27,57.98,57,57.689999,8751700,56.201485
"2021-12-08",57.68,57.93,56.98,57.040001,4190900,55.56826
"2021-12-09",56.830002,57.68,56.41,57.209999,5617000,55.733875
"2021-12-10",57.880001,57.959999,57.169998,57.77,4034800,56.279427
"2021-12-13",57.639999,57.75,56.650002,56.82,4763100,55.353939
"2021-12-14",56.93,57.880001,56.810001,57.310001,4585600,55.831295
"2021-12-15",57.470001,57.650002,56.419998,56.740002,6417600,55.276001
"2021-12-16",57.52,58.169998,57.049999,57.43,7989200,55.9482
"2021-12-17",57.07,57.18,55.5,55.73,14924000,54.292061
"2021-12-20",54.950001,55.099998,53.84,54.869999,6655900,53.45425
"2021-12-21",55.5,56.209999,55.5,55.84,4620100,54.399223
"2021-12-22",55.73,56.099998,55.439999,56.07,4896000,54.623287
"2021-12-23",56.529999,56.919998,56.150002,56.310001,4679500,54.857094
"2021-12-27",56.330002,56.77,55.950001,56.740002,3709200,55.276001
"2021-12-28",56.43,57.09,56.23,56.75,3129000,55.285744
"2021-12-29",56.84,57,56.529999,56.599998,4269200,55.13961
"2021-12-30",56.189999,56.650002,56.110001,56.150002,4346700,55.149437
"2021-12-31",56.049999,56.380001,55.919998,56.169998,3282500,55.169075
"2022-01-03",56.080002,57.400002,56.080002,57.27,5430900,56.249477
"2022-01-04",58.110001,59.080002,57.91,58.77,7552600,57.722748
"2022-01-05",59.189999,59.290001,58.400002,58.459999,6527200,57.41827
"2022-01-06",59.529999,60.07,58.939999,60.049999,5783200,58.979939
"2022-01-07",59.900002,61.169998,59.68,61,7040100,59.91301
"2022-01-10",62,62,60.759998,61.360001,7635500,60.266594
"2022-01-11",61.66,62.189999,60.990002,62.119999,6316800,61.013054
"2022-01-12",62.34,62.59,61.98,62.490002,5649600,61.376461
"2022-01-13",62.77,63.57,62.599998,63.189999,6612600,62.063984
"2022-01-14",62.279999,63.279999,61.830002,63.25,7236700,62.122917
"2022-01-18",63.299999,63.549999,61.959999,62.189999,7624500,61.081806
"2022-01-19",58.220001,59.529999,57.290001,57.369999,13764600,56.347694
"2022-01-20",56.580002,58.330002,55.5,56.939999,13476700,55.925354
"2022-01-21",56.650002,56.77,55.07,55.099998,13354000,54.118145
"2022-01-24",54.32,57.07,53.68,56.810001,15290400,55.797672
"2022-01-25",56.5,57.799999,55.59,57.41,8466200,56.386982
"2022-01-26",58,58.52,56.68,57.560001,7507100,56.534313
"2022-01-27",58.299999,58.740002,56.98,57.439999,7130000,56.416447
"2022-01-28",57.349998,58.119999,56.5,58.080002,6843800,57.045044
"2022-01-31",57.509998,58.299999,56.720001,58.189999,9476100,57.153084
"2022-02-01",58.139999,59.32,57.73,59.27,6341700,58.213837
"2022-02-02",58.959999,59.950001,58.740002,59.77,7702200,58.704929
"2022-02-03",59.93,60.09,58.98,59.150002,4809300,58.095978
"2022-02-04",59.259998,60.240002,58.98,59.700001,5307300,58.636177
"2022-02-07",59.709999,59.950001,59.110001,59.580002,5853100,58.518314
"2022-02-08",60.200001,60.5,59,59.580002,11056100,58.518314
"2022-02-09",59.689999,59.98,59.43,59.75,5928600,58.685287
"2022-02-10",59.669998,60.240002,59.009998,59.209999,6952800,58.154903
"2022-02-11",58.849998,59.919998,58.200001,58.549999,7330400,57.506668
"2022-02-14",58.5,58.860001,57.259998,57.869999,7279600,56.838783
"2022-02-15",58.450001,58.959999,58.18,58.610001,4244700,57.565598
"2022-02-16",58.040001,59.09,58.040001,58.599998,3994100,57.555775
"2022-02-17",58.060001,58.220001,57.009998,57.130001,4721800,56.111969
"2022-02-18",56.939999,57.75,56.900002,57.099998,6264900,56.082504
"2022-02-22",57.299999,58.23,56.84,57.799999,7458300,56.770031
