"","SJM.Open","SJM.High","SJM.Low","SJM.Close","SJM.Volume","SJM.Adjusted"
"2021-07-02",130.580002,130.990005,129.399994,129.690002,456200,125.925941
"2021-07-06",129.25,129.729996,127.290001,128.580002,549000,124.848152
"2021-07-07",128.5,129.789993,128.389999,129.039993,577400,125.2948
"2021-07-08",128.729996,130.460007,128.389999,129.529999,641900,125.770584
"2021-07-09",130.559998,131.399994,129.940002,130.850006,584500,127.052292
"2021-07-12",130.130005,130.830002,129.550003,130.399994,629200,126.615334
"2021-07-13",130.389999,131.089996,129.220001,129.740005,556500,125.974495
"2021-07-14",129.270004,130.910004,129.270004,130.289993,624100,126.508522
"2021-07-15",130.389999,132.360001,130.059998,132.020004,695600,128.188309
"2021-07-16",132.360001,133.380005,132.020004,133.100006,596400,129.236984
"2021-07-19",133.100006,135.470001,132.210007,133.990005,980900,130.101135
"2021-07-20",134.830002,136.350006,132.410004,132.509995,1012000,128.664078
"2021-07-21",132.470001,132.809998,129.440002,129.539993,1115700,125.780281
"2021-07-22",129.449997,129.449997,127.190002,129.229996,1562400,125.479279
"2021-07-23",129.580002,130.830002,129.160004,130.5,508500,126.712433
"2021-07-26",130.5,131.289993,130,130.690002,523300,126.896919
"2021-07-27",130.660004,133.210007,130.380005,132,562000,128.168884
"2021-07-28",131.639999,131.699997,129.600006,130.759995,785000,126.964874
"2021-07-29",131.429993,132.320007,131.009995,131.389999,751500,127.576599
"2021-07-30",130.869995,132.009995,130.75,131.110001,1238400,127.304726
"2021-08-02",131.119995,131.600006,130.130005,131.289993,535800,127.4795
"2021-08-03",131.669998,133.960007,131.419998,132.809998,889400,128.955383
"2021-08-04",132.779999,133.199997,128.729996,128.830002,700800,125.090897
"2021-08-05",129.330002,129.449997,128.149994,128.419998,423700,124.692795
"2021-08-06",128.740005,129.210007,127.839996,127.900002,689400,124.187889
"2021-08-09",128.149994,129.070007,127.809998,129.009995,568700,125.265678
"2021-08-10",128.860001,130.179993,128.449997,130,448400,126.226944
"2021-08-11",130.410004,131.970001,130.020004,131.289993,494000,127.4795
"2021-08-12",130.710007,131.169998,130.080002,130.919998,662200,128.086075
"2021-08-13",131.169998,133.339996,131.050003,132.679993,513800,129.807968
"2021-08-16",132.889999,133.990005,132.380005,133.600006,672200,130.708069
"2021-08-17",133.990005,136.119995,132.779999,135.610001,703300,132.674561
"2021-08-18",135.25,135.25,131.580002,131.690002,575600,128.839417
"2021-08-19",131.509995,133.5,131.460007,132.380005,611300,129.514481
"2021-08-20",132.190002,133.380005,131.160004,131.279999,754200,128.438293
"2021-08-23",130.990005,131.630005,129.949997,130.100006,614700,127.283844
"2021-08-24",130,130.460007,126.610001,127.209999,977400,124.45639
"2021-08-25",126.82,127.889999,126.230003,127.279999,1313800,124.524872
"2021-08-26",123,126.730003,121.620003,123.919998,1991900,121.237602
"2021-08-27",122.75,124.120003,121.93,123.57,1187300,120.89518
"2021-08-30",123.220001,124.57,122.089996,122.279999,935800,119.633102
"2021-08-31",122.269997,123.910004,121.82,123.669998,1147400,120.993011
"2021-09-01",124,124,121.099998,122.349998,1249100,119.701584
"2021-09-02",122.349998,123.43,121.459999,121.989998,769700,119.349388
"2021-09-03",121.919998,121.919998,120.330002,120.610001,737000,117.999252
"2021-09-07",120.400002,120.699997,118.550003,119.639999,1225600,117.050255
"2021-09-08",119.82,122.18,119.410004,121.860001,977200,119.222191
"2021-09-09",121.57,121.620003,120.43,120.779999,623900,118.165573
"2021-09-10",120.57,121.669998,120.129997,121.059998,688600,118.439514
"2021-09-13",121.580002,123.800003,121.489998,122.720001,1158500,120.063583
"2021-09-14",122.970001,123.339996,121.510002,122.459999,839300,119.809204
"2021-09-15",122.489998,122.769997,121.510002,121.809998,866800,119.173279
"2021-09-16",122.110001,123.220001,121.25,122.690002,796100,120.034233
"2021-09-17",121.989998,123.790001,121.760002,123,1779300,120.337524
"2021-09-20",122.25,123.620003,121.510002,122.269997,967200,119.623322
"2021-09-21",122.440002,122.459999,120.199997,120.480003,720200,117.87207
"2021-09-22",121.239998,121.779999,119.970001,120.57,720200,117.960114
"2021-09-23",120.949997,121.230003,119.720001,119.769997,749000,117.177429
"2021-09-24",119.769997,120.379997,119.089996,119.110001,557500,116.531723
"2021-09-27",119.260002,121.160004,119.089996,119.93,497900,117.333969
"2021-09-28",120.220001,121.059998,119.25,120.120003,1369600,117.519867
