"","PLD.Open","PLD.High","PLD.Low","PLD.Close","PLD.Volume","PLD.Adjusted"
"2021-10-21",144.259995,145.949997,143.830002,144.940002,2939800,142.602783
"2021-10-22",144.910004,145.880005,143.690002,144,2163100,141.677948
"2021-10-25",144.220001,145.220001,143.210007,145.100006,1793600,142.760223
"2021-10-26",145.089996,146.880005,144.860001,146.229996,1776800,143.871994
"2021-10-27",146.850006,146.889999,143.429993,143.860001,2049800,141.540207
"2021-10-28",144.529999,146.740005,144.220001,146.669998,1895700,144.304886
"2021-10-29",145.979996,146.610001,144.619995,144.960007,3743200,142.622467
"2021-11-01",145.300003,145.639999,142,144.729996,1915800,142.396179
"2021-11-02",145.160004,147.220001,144.360001,147.029999,1720100,144.659088
"2021-11-03",147.419998,148.119995,145.910004,147.649994,1739300,145.269089
"2021-11-04",147.639999,148.940002,146.979996,147.869995,1598800,145.48555
"2021-11-05",148.940002,149.089996,146.429993,146.690002,2048400,144.32457
"2021-11-08",147.240005,148.289993,145.860001,148.070007,1166900,145.682327
"2021-11-09",148.589996,148.990005,147.809998,148.449997,1761600,146.056183
"2021-11-10",147.860001,149.630005,147.860001,148.770004,1453400,146.371033
"2021-11-11",148.75,148.949997,147.520004,148.910004,1291500,146.508789
"2021-11-12",149.119995,149.919998,147.550003,148.809998,1690000,146.410385
"2021-11-15",148.850006,150.25,148.119995,150.199997,1502100,147.777969
"2021-11-16",150.309998,150.929993,148.839996,149.470001,1318200,147.059753
"2021-11-17",148.759995,150.759995,146.050003,150.380005,2039700,147.955078
"2021-11-18",150.5,151.720001,149.509995,150.580002,1464400,148.15184
"2021-11-19",151.369995,151.369995,148.919998,150.220001,1979900,147.797653
"2021-11-22",150.440002,152.610001,149.449997,150.899994,1588500,148.46669
"2021-11-23",150.869995,153.240005,149.649994,152.580002,1908200,150.119598
"2021-11-24",152.690002,154.869995,151.729996,154.509995,1256100,152.018463
"2021-11-26",153.179993,153.330002,149.770004,149.880005,1767300,147.463135
"2021-11-29",151.240005,154.029999,150.449997,153.279999,3045500,150.808319
"2021-11-30",152.089996,153.479996,150.690002,150.75,5225900,148.319107
"2021-12-01",152.220001,156.699997,150.119995,151.699997,3043300,149.253784
"2021-12-02",151.660004,155.720001,151.660004,154.419998,2729700,151.929916
"2021-12-03",154.75,157.509995,152.25,154.660004,2885200,152.166061
"2021-12-06",155.119995,157.190002,154.759995,156.550003,3254600,154.025589
"2021-12-07",157.630005,159.479996,156.470001,159.300003,2800200,156.731232
"2021-12-08",159.229996,161.110001,158.419998,159.440002,2202800,156.868988
"2021-12-09",159.070007,159.440002,156.869995,157.559998,2165700,155.019287
"2021-12-10",158,159.75,157.119995,159.080002,2024800,156.514801
