"","AME.Open","AME.High","AME.Low","AME.Close","AME.Volume","AME.Adjusted"
"2021-03-04",122.269997,123.110001,118.410004,120.389999,862200,119.240784
"2021-03-05",121.480003,122.760002,118.860001,122.25,982600,121.083023
"2021-03-08",123.309998,125.779999,122.050003,123.480003,1490600,122.301285
"2021-03-09",124.239998,124.459999,120.620003,120.629997,1435600,119.478493
"2021-03-10",121.129997,124.019997,120.239998,123.720001,1565100,122.539001
"2021-03-11",123.690002,124.690002,121.690002,121.910004,1245300,120.746284
"2021-03-12",122.040001,122.099998,120.410004,121.57,1075700,120.607384
"2021-03-15",121.290001,122.849998,119.75,122.779999,1096700,121.807808
"2021-03-16",123.550003,124.110001,120.739998,120.839996,610000,119.883163
"2021-03-17",120.760002,123.169998,120.199997,121.709999,868300,120.746277
"2021-03-18",121.440002,124,121.25,121.669998,827200,120.706596
"2021-03-19",121.129997,122.410004,120.110001,120.760002,1226600,119.803802
"2021-03-22",120.919998,123.269997,120.25,122.889999,1456700,121.916931
"2021-03-23",122.339996,124.720001,121.129997,121.669998,1205100,120.706596
"2021-03-24",122.209999,124.519997,122.019997,122.809998,932900,121.837563
"2021-03-25",123.110001,123.239998,120.639999,123.050003,1254800,122.075668
"2021-03-26",124,127.519997,122.839996,127.32,1045800,126.311867
"2021-03-29",126.510002,128.839996,126.059998,128.210007,1354800,127.194817
"2021-03-30",127.959999,129.130005,127.139999,127.440002,1011900,126.430908
"2021-03-31",127.790001,128.949997,126.279999,127.730003,1247900,126.718605
"2021-04-01",128.330002,128.990005,127,128.660004,701000,127.641243
"2021-04-05",129.779999,130.789993,128.830002,130.710007,738000,129.675034
"2021-04-06",130.610001,131.789993,129.369995,129.789993,947300,128.762299
"2021-04-07",129.660004,130.110001,128.649994,129.550003,555300,128.5242
"2021-04-08",129.029999,131.089996,128.429993,130.320007,1945900,129.288116
"2021-04-09",130.919998,131.479996,130.089996,131.289993,865000,130.250412
"2021-04-12",131.330002,133.100006,131.330002,132.990005,784100,131.936951
"2021-04-13",132.380005,132.589996,130.979996,131.860001,1022200,130.815918
"2021-04-14",132.389999,132.600006,131.009995,131.110001,707000,130.071838
"2021-04-15",131.479996,133.949997,131.479996,133.149994,1006000,132.095673
"2021-04-16",134.330002,134.800003,132.289993,132.850006,1456900,131.79808
"2021-04-19",133,133.279999,130.910004,132.119995,727500,131.073853
"2021-04-20",131.5,132.220001,130.130005,130.889999,723400,129.853592
"2021-04-21",131.050003,133.169998,130.669998,133.089996,624900,132.036163
"2021-04-22",133.639999,134.240005,132.929993,133.529999,946300,132.472687
"2021-04-23",133.789993,135.610001,133.509995,135.009995,540900,133.940979
