"","CDAY.Open","CDAY.High","CDAY.Low","CDAY.Close","CDAY.Volume","CDAY.Adjusted"
"2021-06-07",86.040001,86.389999,85.099998,86.110001,870200,86.110001
"2021-06-08",87.190002,87.769997,86.029999,86.080002,588000,86.080002
"2021-06-09",86.709999,87.540001,85.974998,86.209999,560000,86.209999
"2021-06-10",86.260002,87.800003,85.864998,87.709999,755200,87.709999
"2021-06-11",87.839996,88.879997,87.370003,88.809998,546700,88.809998
"2021-06-14",89.089996,89.919998,88.470001,89.129997,887100,89.129997
"2021-06-15",84.589996,86.419998,83.949997,84.540001,1303600,84.540001
"2021-06-16",84.949997,86.949997,84.050003,85.709999,1046200,85.709999
"2021-06-17",85.019997,89.099998,85.019997,89.050003,992900,89.050003
"2021-06-18",89.220001,91.730003,88.809998,91.300003,1206900,91.300003
"2021-06-21",91.300003,92.849998,90.059998,92.410004,680400,92.410004
"2021-06-22",93,94.209999,92.32,94,772700,94
"2021-06-23",93.82,96.345001,93.690002,96.040001,1111500,96.040001
"2021-06-24",97.18,98.199997,96.470001,97,1035700,97
"2021-06-25",97.410004,98.32,95.900002,98.050003,2819300,98.050003
"2021-06-28",98.919998,99.830002,98.459999,99.099998,622200,99.099998
"2021-06-29",99.43,101,98.779999,99.970001,753400,99.970001
"2021-06-30",97.949997,99.75,95.800003,95.919998,992000,95.919998
"2021-07-01",95.519997,96.730003,94.949997,96.110001,775700,96.110001
"2021-07-02",96.849998,97.910004,96.290001,97.879997,320900,97.879997
"2021-07-06",98.18,100.040001,97.860001,99.230003,449500,99.230003
"2021-07-07",100.540001,100.540001,98.489998,98.830002,402800,98.830002
"2021-07-08",96.75,98.75,95.554001,98.110001,479100,98.110001
"2021-07-09",98.5,99.339996,97.355003,99.220001,404200,99.220001
"2021-07-12",99.480003,99.849998,95.730003,96.160004,801600,96.160004
"2021-07-13",95.790001,97.139999,95.258003,95.839996,497900,95.839996
"2021-07-14",96.980003,97.400002,95.269997,96.010002,814600,96.010002
"2021-07-15",96.209999,96.309998,94.324997,95.400002,450700,95.400002
"2021-07-16",96.169998,97.110001,95.110001,95.309998,318300,95.309998
"2021-07-19",93.639999,95.809998,93.529999,95.650002,408900,95.650002
"2021-07-20",96.489998,98.379997,95.339996,97.599998,860700,97.599998
"2021-07-21",97.209999,97.720001,96.25,97.410004,709200,97.410004
"2021-07-22",97.970001,98.800003,97,98.800003,815300,98.800003
"2021-07-23",99.160004,100.75,99.014999,100.349998,270900,100.349998
"2021-07-26",100.230003,100.230003,97.709999,99.589996,290100,99.589996
"2021-07-27",99.489998,99.565002,96.760002,98.419998,485600,98.419998
"2021-07-28",99.089996,99.675003,97.860001,98.589996,386300,98.589996
"2021-07-29",98.449997,99.620003,98.010002,98.120003,362600,98.120003
"2021-07-30",97.050003,99.620003,97.050003,98.400002,492200,98.400002
"2021-08-02",98.940002,99.675003,98.080002,98.519997,821300,98.519997
"2021-08-03",98.300003,98.75,96.529999,97.57,712300,97.57
"2021-08-04",98,100.379997,97.565002,100,1290500,100
"2021-08-05",97.540001,99.379997,93.32,98.739998,1554500,98.739998
"2021-08-06",98.93,102.629997,97.900002,102.5,957300,102.5
"2021-08-09",103.110001,107.709999,102.529999,106.400002,1358900,106.400002
"2021-08-10",106.830002,108.739998,104.68,105.730003,1825900,105.730003
"2021-08-11",104.68,105.584999,103.129997,105.400002,2712200,105.400002
"2021-08-12",105.699997,107.639999,104.620003,107.230003,580400,107.230003
"2021-08-13",107.5,107.787003,105.629997,106.379997,412100,106.379997
"2021-08-16",103.779999,107.019997,103.779999,106.419998,693100,106.419998
"2021-08-17",106.150002,106.150002,104.410004,105.610001,481200,105.610001
"2021-08-18",105.300003,106.208,105.150002,105.43,623500,105.43
"2021-08-19",104.830002,105.970001,104.209999,105.220001,478200,105.220001
"2021-08-20",105.18,106.709999,105.18,106.199997,434600,106.199997
"2021-08-23",106.599998,108.82,106.410004,108.279999,632900,108.279999
"2021-08-24",108.230003,109.860001,108.230003,109.290001,606300,109.290001
"2021-08-25",109.57,109.945,108.510002,109.75,448400,109.75
"2021-08-26",110,110.830002,109.160004,109.309998,572200,109.309998
"2021-08-27",110.07,111.459999,109.790001,110.75,645500,110.75
"2021-08-30",111.199997,112.099998,109.82,111.449997,491000,111.449997
"2021-08-31",111.639999,112.93,111.190002,112.349998,867500,112.349998
"2021-09-01",112.639999,113.75,112.32,113.220001,583200,113.220001
"2021-09-02",113.489998,114.190002,113.330002,114.07,484600,114.07
"2021-09-03",113.639999,116.279999,113.510002,115.959999,595400,115.959999
"2021-09-07",116.099998,116.699997,114.160004,116.110001,1901900,116.110001
"2021-09-08",115.589996,115.919998,112.82,113.209999,1191300,113.209999
"2021-09-09",112.699997,114.940002,112.059998,112.349998,840600,112.349998
"2021-09-10",113.519997,113.834999,109.809998,109.849998,605100,109.849998
"2021-09-13",110.059998,110.720001,108.699997,109.75,1290400,109.75
"2021-09-14",109.870003,110.489998,105.889999,106.959999,1979100,106.959999
"2021-09-15",106.660004,108,105.849998,107.610001,1337300,107.610001
"2021-09-16",107.470001,110.105003,107.080002,109.169998,1508000,109.169998
"2021-09-17",109.370003,110.029999,107.510002,109.160004,27197300,109.160004
"2021-09-20",107.43,107.800003,104.889999,106.150002,1452600,106.150002
"2021-09-21",106.919998,108.099998,105.730003,105.900002,1518900,105.900002
"2021-09-22",106.040001,108.970001,106.040001,108.589996,1348300,108.589996
"2021-09-23",109.459999,113.065002,109.25,112.940002,1215700,112.940002
"2021-09-24",112.07,114.970001,111.940002,114.919998,1344800,114.919998
"2021-09-27",114.050003,116.120003,111.959999,115.910004,1144900,115.910004
"2021-09-28",114.699997,114.989998,112.555,113,1443500,113
"2021-09-29",114,114.879997,112.080002,112.980003,1023700,112.980003
"2021-09-30",113.269997,114.220001,112.349998,112.620003,784300,112.620003
"2021-10-01",112.959999,115.139999,111.480003,114.57,774600,114.57
"2021-10-04",113.610001,114.089996,110.190002,112.010002,1113400,112.010002
"2021-10-05",112.43,114.18,111.830002,113.309998,662900,113.309998
"2021-10-06",112.309998,116.220001,112.129997,116.110001,812100,116.110001
"2021-10-07",117.32,120.040001,117,118.529999,926600,118.529999
"2021-10-08",118.900002,120.25,117.639999,118.900002,693700,118.900002
"2021-10-11",118.599998,118.93,116.919998,116.980003,674200,116.980003
"2021-10-12",117.559998,120.879997,117,119.93,889900,119.93
"2021-10-13",120.75,123.550003,120.510002,122.839996,1477900,122.839996
"2021-10-14",124.110001,125.550003,122.260002,122.660004,961000,122.660004
"2021-10-15",123.260002,123.260002,122.059998,122.419998,782700,122.419998
"2021-10-18",122.830002,123.489998,121.849998,123.43,693100,123.43
"2021-10-19",124,125.870003,123.650002,124.709999,698000,124.709999
"2021-10-20",125.290001,126.599998,123.849998,124.110001,436000,124.110001
