"","COF.Open","COF.High","COF.Low","COF.Close","COF.Volume","COF.Adjusted"
"2021-06-14",160.399994,160.800003,157.169998,158.710007,3372800,155.521835
"2021-06-15",159.380005,162.699997,158.720001,162.110001,2789400,158.853531
"2021-06-16",161.440002,163.309998,159.789993,162.199997,3140800,158.941711
"2021-06-17",163.470001,163.589996,151.429993,153.550003,4308500,150.465485
"2021-06-18",149.600006,150.440002,147.520004,150.020004,8383600,147.006393
"2021-06-21",151.550003,154.990005,151.220001,154.889999,2875000,151.778564
"2021-06-22",154.300003,155.910004,152.850006,154.889999,2363900,151.778564
"2021-06-23",155.610001,157.610001,155.039993,156.369995,2032200,153.228836
"2021-06-24",157.589996,158.169998,155.399994,157.570007,2077500,154.404739
"2021-06-25",160.539993,162,159.789993,159.990005,4238200,156.776123
"2021-06-28",159.410004,160.009995,155.289993,156,2693100,152.866272
"2021-06-29",157.369995,158.320007,153.820007,154.149994,2151000,151.053436
"2021-06-30",153.690002,155.220001,153.619995,154.690002,2631800,151.582581
"2021-07-01",155.529999,158.059998,155.130005,157.149994,3354200,153.993149
"2021-07-02",157.699997,158.949997,157.149994,157.399994,2247700,154.238144
"2021-07-06",156.759995,157.380005,154.139999,155.5,3566700,152.376312
"2021-07-07",153.610001,156.710007,153.139999,155.039993,3042300,151.925568
"2021-07-08",151.899994,154.880005,149.449997,152.460007,3313700,149.397385
"2021-07-09",155.380005,160.919998,155.350006,160.550003,3638900,157.324875
"2021-07-12",159.179993,165.440002,158.080002,164.850006,3250200,161.538498
"2021-07-13",164.850006,165.300003,162.639999,162.839996,2536700,159.568878
"2021-07-14",163.070007,165,157.630005,158.839996,4190900,155.6492
"2021-07-15",156.660004,160.639999,156.289993,160.350006,3069700,157.128906
"2021-07-16",161.649994,161.649994,157.080002,157.520004,1955100,154.355759
"2021-07-19",153.449997,154.809998,150.889999,153.610001,3757400,150.524292
"2021-07-20",152.960007,159.240005,152.440002,157.979996,3306200,154.806488
"2021-07-21",159.610001,164.399994,159.399994,163.210007,2508500,159.931427
"2021-07-22",162.199997,163.080002,158.699997,161.429993,2966600,158.18718
"2021-07-23",157,164.25,156.589996,160.080002,3516300,156.864319
"2021-07-26",160.050003,163,160,162.339996,2055900,159.078918
"2021-07-27",159.949997,163.660004,159.139999,162.539993,2168000,159.274887
"2021-07-28",163.039993,163.539993,159.880005,161.389999,2314800,158.147995
"2021-07-29",163.5,165.350006,162.910004,163.910004,2587900,160.617371
"2021-07-30",163.160004,165.089996,160.639999,161.699997,2661400,158.451752
"2021-08-02",163.139999,165.910004,158.919998,160.100006,3934600,156.883911
"2021-08-03",161.050003,162.059998,155.460007,161.429993,2868200,158.18718
"2021-08-04",160.279999,164.169998,159.100006,161.190002,2722800,157.952011
"2021-08-05",162.220001,163.949997,162.220001,163.190002,2749500,159.911835
"2021-08-06",164.850006,167.509995,164.259995,165.949997,3394500,163.82103
"2021-08-09",164.839996,167.149994,163.130005,166.210007,2239500,164.077698
"2021-08-10",166.210007,171.289993,166.100006,170.669998,3442500,168.480484
"2021-08-11",171,174.940002,169.839996,174.550003,3880500,172.310699
"2021-08-12",174.5,177.169998,173.410004,176.929993,3274300,174.660156
"2021-08-13",177.179993,177.949997,175.789993,177.729996,2368300,175.44989
"2021-08-16",176,177.720001,175.179993,177.320007,2115000,175.045166
"2021-08-17",175.270004,176.529999,171.429993,173.279999,2791000,171.056992
"2021-08-18",172.330002,175.619995,171.270004,172.020004,1759900,169.813171
"2021-08-19",169.119995,171.589996,166.949997,168.100006,2478500,165.943451
"2021-08-20",168.179993,169.119995,165.460007,168.220001,2595700,166.061905
"2021-08-23",169.419998,171.199997,168.979996,169.350006,2019400,167.177414
"2021-08-24",169.889999,171.710007,169.449997,170.050003,1668400,167.868423
"2021-08-25",170.589996,174.559998,170.229996,173.929993,2184300,171.698639
"2021-08-26",174.399994,174.699997,171.309998,171.630005,1867100,169.428162
"2021-08-27",172.309998,175.979996,171.649994,175.800003,1747700,173.544678
"2021-08-30",172.139999,173.570007,165.110001,165.190002,4300600,163.070801
"2021-08-31",165.029999,167.169998,163.259995,165.970001,3791800,163.840775
"2021-09-01",165.960007,166.580002,161.229996,161.679993,3342900,159.605804
"2021-09-02",162.5,163.380005,159.520004,160.059998,3118100,158.006592
"2021-09-03",159.990005,160.369995,156.399994,157.259995,3361200,155.242493
"2021-09-07",156.949997,159.679993,156.460007,156.929993,3437100,154.916748
"2021-09-08",156.490005,156.490005,152.130005,154.600006,3342600,152.616653
"2021-09-09",154.839996,159.179993,154.479996,155.779999,2904600,153.781494
"2021-09-10",156.910004,157.820007,155.399994,155.559998,2855400,153.564331
"2021-09-13",157.070007,159.429993,156.910004,158.929993,3349600,156.891083
"2021-09-14",159.589996,160.169998,153.949997,154.389999,4075000,152.409332
"2021-09-15",155.220001,159.100006,154.809998,158.910004,3210800,156.871353
"2021-09-16",159.600006,161.240005,159.119995,160.169998,2627300,158.115173
"2021-09-17",159.100006,161.149994,158.449997,159.570007,4829600,157.522873
"2021-09-20",154.089996,157.009995,153.330002,156.369995,3430000,154.363937
"2021-09-21",158,158.860001,156.320007,156.5,2845900,154.492264
"2021-09-22",158.679993,161.020004,158.369995,159.619995,3001400,157.572235
"2021-09-23",161.649994,167.149994,161,166.020004,2977000,163.890137
"2021-09-24",165.130005,168.050003,164.960007,166.169998,2695100,164.038208
"2021-09-27",167.690002,170.270004,167.309998,169.759995,2611000,167.582138
"2021-09-28",169.440002,171.5,167.100006,167.380005,2935900,165.232697
"2021-09-29",168.619995,168.619995,165.919998,166.550003,2004500,164.41333
