"","AIZ.Open","AIZ.High","AIZ.Low","AIZ.Close","AIZ.Volume","AIZ.Adjusted"
"2021-05-13",155.160004,159.940002,155.139999,159.300003,225200,156.112091
"2021-05-14",160.470001,161.610001,159.889999,161.229996,405200,158.003479
"2021-05-17",160.75,162.839996,160.610001,161.660004,165400,158.424866
"2021-05-18",160.160004,161.25,158.470001,158.729996,291300,155.553482
"2021-05-19",157.820007,157.820007,155.059998,157.080002,261500,153.936508
"2021-05-20",157.149994,157.789993,156.199997,156.949997,310200,153.809128
"2021-05-21",158.850006,162.479996,158.429993,158.910004,605000,155.729904
"2021-05-24",159.779999,159.919998,158.839996,159.139999,304800,155.955276
"2021-05-25",158.860001,159.830002,157.059998,157.339996,309500,154.191315
"2021-05-26",158.039993,158.330002,156.589996,157.639999,530400,154.485321
"2021-05-27",158.800003,161.380005,157.860001,161.300003,564200,158.072083
"2021-05-28",161.190002,161.75,158.759995,161.149994,287900,158.573914
"2021-06-01",162.160004,163.330002,161.389999,161.649994,307300,159.065933
"2021-06-02",161.539993,162.070007,159.960007,160.039993,348400,157.481674
"2021-06-03",159.910004,162.830002,159.169998,162.279999,368700,159.685837
"2021-06-04",162,163.589996,161.669998,163.100006,254400,160.492752
"2021-06-07",163.539993,163.539993,161.910004,162.550003,353900,159.951553
"2021-06-08",161.860001,163.809998,160.970001,163.449997,318000,160.837143
"2021-06-09",163.449997,163.449997,162.559998,162.759995,238000,160.158173
"2021-06-10",163.5,163.839996,162,162.080002,307300,159.489044
"2021-06-11",162.270004,163.300003,162.229996,162.850006,263700,160.24675
"2021-06-14",162.410004,163.279999,160.449997,160.830002,292100,158.259033
"2021-06-15",161.210007,162.089996,160.089996,160.899994,642900,158.327911
"2021-06-16",160.699997,161.429993,159.160004,159.869995,472600,157.314377
"2021-06-17",160.429993,160.429993,154,154.600006,552400,152.128632
"2021-06-18",151.919998,153,149.990005,150.869995,1214200,148.458252
"2021-06-21",152.309998,154.940002,152.020004,154.729996,392900,152.256546
"2021-06-22",154.630005,155.75,153.360001,154.830002,284900,152.354965
"2021-06-23",154.75,155.990005,154.369995,154.990005,263200,152.512405
"2021-06-24",155.460007,156.179993,154.509995,155.479996,375500,152.994553
"2021-06-25",155.729996,159.059998,155.160004,158.529999,412900,155.995789
"2021-06-28",158.399994,158.399994,155.800003,156.559998,219800,154.057297
"2021-06-29",157.770004,158.130005,155.419998,155.820007,269000,153.329132
"2021-06-30",155.729996,156.679993,154.960007,156.179993,253600,153.68335
"2021-07-01",156.679993,157.589996,155.649994,156.850006,384000,154.342682
"2021-07-02",156.820007,156.960007,155.940002,156.5,301500,153.998245
"2021-07-06",156.100006,157.5,154.610001,156.809998,389900,154.303299
"2021-07-07",155.539993,157.309998,155.399994,156.970001,414400,154.460739
"2021-07-08",155.520004,157.020004,153.679993,154.350006,428100,151.882629
"2021-07-09",156.270004,157.449997,155.759995,156.990005,314900,154.480423
"2021-07-12",155.710007,157.869995,155.710007,157.130005,358100,154.618195
"2021-07-13",157.210007,157.520004,155.059998,155.199997,207700,152.71904
"2021-07-14",154.649994,156.279999,154.360001,155.050003,198300,152.571411
"2021-07-15",153.759995,156.149994,153.759995,156.050003,344300,153.55545
"2021-07-16",156.580002,156.910004,155.550003,155.759995,223200,153.270065
"2021-07-19",153.710007,153.899994,149.889999,151.470001,274500,149.04866
"2021-07-20",151.619995,155.899994,151.179993,154.130005,360200,151.666122
