"","FDS.Open","FDS.High","FDS.Low","FDS.Close","FDS.Volume","FDS.Adjusted"
"2021-09-07",385.779999,386.200012,380.559998,382.410004,109300,380.034332
"2021-09-08",383.220001,390.959991,382.470001,384.839996,211300,382.449219
"2021-09-09",384.940002,386.290009,383.140015,383.570007,99000,381.187164
"2021-09-10",386.049988,387.399994,382.290009,384.01001,90700,381.62442
"2021-09-13",386.179993,387.649994,379.209991,382.579987,134400,380.203308
"2021-09-14",382.579987,388.579987,382.079987,383.75,144600,381.366028
"2021-09-15",385,385.070007,381,383.769989,139100,381.385864
"2021-09-16",384.709991,385.880005,381.850006,382.179993,170900,379.805756
"2021-09-17",382.859985,383.790009,374.869995,378.25,513800,375.900208
"2021-09-20",372.140015,377.130005,369.380005,374.51001,150400,372.183411
"2021-09-21",375.059998,377.089996,370.209991,371.109985,131800,368.804504
"2021-09-22",371.790009,375.769989,367.130005,374.429993,122100,372.103912
"2021-09-23",377,377.100006,372.959991,373.5,140700,371.179718
"2021-09-24",373.5,375.970001,371.410004,372.779999,271200,370.464172
"2021-09-27",370.290009,373.350006,368.209991,369.119995,296300,366.826904
"2021-09-28",381.5,387.109985,376.01001,383.290009,404800,380.908875
"2021-09-29",387.040009,399,386,394.51001,276000,392.059204
"2021-09-30",398.779999,400.559998,394.779999,394.779999,216000,392.327484
"2021-10-01",397.589996,397.589996,388.619995,394.130005,199400,391.681549
"2021-10-04",393.440002,398.600006,389.040009,396.609985,222400,394.146118
"2021-10-05",400,404.600006,395.480011,396.73999,207400,394.275299
"2021-10-06",394.630005,396.839996,391.619995,394.820007,254800,392.367249
"2021-10-07",397.429993,401.730011,395.079987,401.660004,277700,399.164795
"2021-10-08",402,402.76001,396.779999,401.130005,186800,398.638062
"2021-10-11",399.149994,409.709991,399.149994,405.149994,131200,402.633087
"2021-10-12",405.98999,413.779999,404.209991,410.859985,221400,408.307587
"2021-10-13",413.820007,415.75,407.910004,409.730011,135900,407.184662
"2021-10-14",411.059998,416.570007,411.059998,414.660004,145300,412.083984
"2021-10-15",415.079987,418.609985,414.149994,414.890015,158100,412.312592
"2021-10-18",414.880005,417.019989,412.529999,415.799988,165900,413.216888
"2021-10-19",415.75,422.540009,415.75,422.350006,133600,419.726227
"2021-10-20",422.880005,424.790009,416.26001,421.320007,150000,418.702637
"2021-10-21",422.660004,430.230011,421.100006,426.98999,200600,424.337372
"2021-10-22",427,430.970001,424.380005,430.970001,190000,428.292694
"2021-10-25",431.179993,438,427.799988,432.769989,169700,430.081482
"2021-10-26",435,440.529999,432.899994,435.359985,254800,432.655365
"2021-10-27",434.470001,438.75,431.630005,431.859985,198600,429.177124
"2021-10-28",433.480011,439.019989,433.149994,438.790009,155300,436.064087
"2021-10-29",438.859985,445,435.859985,443.890015,301200,441.132416
"2021-11-01",442.910004,444.48999,428.339996,434.820007,185100,432.118744
"2021-11-02",435.579987,441.390015,434.109985,435.980011,249900,433.271576
"2021-11-03",436.559998,441.730011,432.700012,440.230011,248700,437.495148
"2021-11-04",440,444.769989,438.170013,443.549988,204900,440.794495
"2021-11-05",445.100006,448.420013,444.149994,446.899994,197000,444.123718
"2021-11-08",448.100006,449.390015,438.929993,447.970001,238200,445.187042
"2021-11-09",448.820007,449.540009,443.179993,445.779999,201400,443.010651
"2021-11-10",445.549988,452.950012,444.290009,448.579987,226800,445.793274
"2021-11-11",448.579987,458.079987,448.459991,456.799988,237000,453.962189
"2021-11-12",456.029999,459.320007,453.600006,456.670013,123000,453.833038
"2021-11-15",457.160004,463.619995,453.459991,462.970001,189200,460.093872
"2021-11-16",462.51001,464.540009,459.679993,460.899994,171000,458.036713
"2021-11-17",460.380005,462.549988,455.290009,461.179993,167100,458.315002
"2021-11-18",463.48999,467.299988,461.040009,461.660004,137300,458.792023
"2021-11-19",461.859985,463.959991,457.339996,461.200012,196800,458.3349
"2021-11-22",459.149994,463.839996,454.959991,455.779999,178500,452.948578
"2021-11-23",456.549988,465.23999,452.679993,465.01001,214600,462.121216
"2021-11-24",461.630005,470.369995,460.779999,469.070007,137000,466.156006
"2021-11-26",464.649994,468.769989,456,458.48999,119900,455.641693
"2021-11-29",461.279999,471.720001,461.26001,469.429993,157600,467.349579
"2021-11-30",467.959991,473.600006,463.929993,468.570007,497900,466.493408
"2021-12-01",474.519989,475,462.170013,462.820007,256200,460.76889
"2021-12-02",464.899994,471.220001,462.529999,470.440002,235400,468.355133
"2021-12-03",474.170013,474.589996,457.640015,466.380005,211500,464.313141
"2021-12-06",469.119995,469.119995,452.299988,459.769989,420600,457.732391
"2021-12-07",465.059998,472.369995,463.029999,466.829987,248700,464.761108
"2021-12-08",467.220001,474.970001,464.170013,474.480011,285600,472.377197
"2021-12-09",473.5,476.059998,461.529999,462.670013,219400,460.619568
"2021-12-10",465.459991,466.880005,459.209991,466.070007,231600,464.004517
"2021-12-13",467.75,469.049988,462.119995,466.540009,233000,464.472412
"2021-12-14",465.519989,467.559998,457.75,461.890015,231300,459.843048
"2021-12-15",463.410004,470.089996,461.299988,469.339996,235500,467.259979
"2021-12-16",468.619995,474.98999,468.619995,471.399994,271600,469.310852
"2021-12-17",470.119995,476.769989,465.549988,473.119995,6373100,471.023224
"2021-12-20",471.339996,476.290009,461.549988,470.970001,620900,468.882782
"2021-12-21",464.059998,474.920013,450.029999,474.829987,572500,472.725677
"2021-12-22",474.799988,478.890015,456.390015,477.429993,339600,475.314148
"2021-12-23",477.429993,485.480011,477.429993,479.51001,215600,477.384918
"2021-12-27",484.529999,488.410004,482.25,485.619995,187700,483.467834
"2021-12-28",486.459991,490.809998,485.290009,487.730011,197600,485.568512
"2021-12-29",488.98999,495.399994,488.390015,488.850006,163900,486.683563
"2021-12-30",491.269989,492.25,484.470001,484.73999,227200,482.591736
"2021-12-31",484.73999,488.970001,483.51001,486.01001,156600,483.85614
"2022-01-03",483.869995,486.48999,470.519989,476.019989,290700,473.91037
