"","EIX.Open","EIX.High","EIX.Low","EIX.Close","EIX.Volume","EIX.Adjusted"
"2021-11-16",64.599998,64.599998,63.73,63.77,1608000,61.792511
"2021-11-17",63.52,64.559998,63.189999,64.459999,1964300,62.461113
"2021-11-18",64.489998,64.699997,63.860001,64.599998,2190400,62.596771
"2021-11-19",64.660004,65.410004,64.160004,64.900002,1923300,62.887466
"2021-11-22",64.660004,65.540001,64.589996,64.889999,1858600,62.877777
"2021-11-23",64.989998,65.720001,64.910004,65.519997,2179300,63.488239
"2021-11-24",65.75,66.209999,65.269997,66.150002,1746900,64.098709
"2021-11-26",65.309998,65.650002,64.610001,64.940002,965400,62.926231
"2021-11-29",65.330002,66.239998,64.940002,66.07,2051000,64.021187
"2021-11-30",65.669998,65.769997,64.959999,65.279999,4362100,63.255684
"2021-12-01",65.870003,66.419998,65.25,65.620003,2952400,63.585148
"2021-12-02",65.68,66.440002,65.360001,65.489998,2975200,63.459175
"2021-12-03",66,66.669998,65.440002,66.610001,2423100,64.544441
"2021-12-06",67.559998,68.360001,67.43,68.18,2467800,66.065758
"2021-12-07",68.040001,68.370003,67.18,67.260002,2382300,65.174294
"2021-12-08",67.279999,67.559998,66.830002,66.870003,1958100,64.796379
"2021-12-09",66.650002,67.190002,66.120003,66.510002,2022600,64.44754
"2021-12-10",67.029999,67.550003,66.650002,67.059998,1484500,64.980484
"2021-12-13",66.779999,67.220001,66.400002,66.879997,1911500,64.806068
"2021-12-14",66.959999,67.379997,66.209999,66.349998,1737500,64.292511
"2021-12-15",66.529999,67.349998,66.410004,67.300003,2030600,65.213051
"2021-12-16",67.330002,68.300003,67.239998,67.959999,1672200,65.852577
"2021-12-17",67.690002,68.07,66.529999,66.699997,4836300,64.631645
"2021-12-20",66.309998,67.169998,65.639999,67.139999,3001200,65.058014
"2021-12-21",67.519997,68.07,66.860001,67.239998,1731900,65.1549
"2021-12-22",67.209999,67.779999,67.120003,67.620003,1223900,65.523125
"2021-12-23",67.419998,68.019997,67.419998,67.669998,879400,65.571571
"2021-12-27",67.669998,67.879997,67.129997,67.620003,596100,65.523125
"2021-12-28",67.519997,68.269997,67.510002,68.199997,693800,66.085136
"2021-12-29",68.239998,68.580002,67.93,68.440002,1050700,66.317696
"2021-12-30",67.529999,67.739998,66.589996,67.629997,1764100,66.209999
"2021-12-31",67.760002,68.620003,67.610001,68.25,1048300,66.816986
"2022-01-03",68.339996,68.339996,66.550003,67.510002,1579400,66.092529
"2022-01-04",67.519997,68.010002,66.599998,66.669998,2403900,65.270157
"2022-01-05",66.470001,66.550003,65.099998,65.199997,3346000,63.83102
"2022-01-06",65.129997,65.639999,64.449997,64.620003,2482700,63.263203
