"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume","VLO.Adjusted"
"2021-06-17",81.139999,81.75,77.650002,78.580002,3981300,75.011345
"2021-06-18",77.470001,78.279999,75.900002,76.019997,7077700,72.567612
"2021-06-21",76.75,80.07,76.589996,79.980003,3682300,76.347763
"2021-06-22",79.480003,81.540001,78.669998,80.980003,4484200,77.302361
"2021-06-23",82.019997,83,80.720001,80.849998,4793200,77.178261
"2021-06-24",81.559998,82.050003,80.709999,81.730003,4225300,78.018295
"2021-06-25",81.889999,82.589996,80.730003,82.089996,9568400,78.361938
"2021-06-28",81.790001,81.889999,77.410004,77.720001,6461800,74.190399
"2021-06-29",78.220001,78.519997,76.849998,76.919998,5199300,73.426727
"2021-06-30",77.150002,78.470001,76.919998,78.080002,4259800,74.534058
"2021-07-01",79.5,79.779999,77.559998,77.809998,4679200,74.276321
"2021-07-02",78.150002,78.449997,76.910004,78.07,2980400,74.524506
"2021-07-06",77.769997,77.919998,74.620003,74.699997,5822200,71.307549
"2021-07-07",74.260002,75.089996,71.82,72.309998,8220500,69.026085
"2021-07-08",70.900002,71.760002,69.57,70.260002,5815300,67.069191
"2021-07-09",71.300003,72.440002,70.300003,72.300003,3532400,69.016548
"2021-07-12",71.089996,72.769997,70.620003,71.68,2728300,68.424706
"2021-07-13",71,71.519997,70.07,70.470001,3394300,67.269653
"2021-07-14",70.410004,71.239998,67.360001,67.669998,5213700,64.596825
"2021-07-15",66.910004,68.349998,66.300003,66.800003,4787800,63.766331
"2021-07-16",66.940002,67.190002,64.370003,64.879997,4696600,61.933521
"2021-07-19",61.849998,62.779999,60.759998,61.919998,7318700,59.107944
"2021-07-20",62.029999,63.540001,60.990002,62.57,5525400,59.728428
"2021-07-21",63.540001,65.669998,63.490002,64.910004,5129700,61.962162
"2021-07-22",64.510002,64.620003,62.93,63.48,3307900,60.597099
"2021-07-23",63.52,64.110001,63.150002,63.709999,3964700,60.816654
"2021-07-26",63.900002,65.989998,63.880001,65.540001,3799900,62.563549
"2021-07-27",64.709999,65.639999,63.93,65.580002,4769100,62.601734
"2021-07-28",66.110001,67.989998,65.529999,67.300003,4606200,64.243614
"2021-07-29",68.800003,69.5,67.330002,67.639999,4526800,64.568184
"2021-07-30",66.870003,68.239998,66.330002,66.970001,3587900,63.928604
"2021-08-02",67.300003,69.199997,66.300003,66.400002,4398400,63.384495
"2021-08-03",66.389999,69.050003,66.080002,69.010002,4367200,65.875961
"2021-08-04",66.540001,66.910004,64.139999,64.18,6121200,62.147865
"2021-08-05",64.82,66.629997,64.779999,65.709999,3312000,63.629425
"2021-08-06",66.589996,67.059998,65.650002,66.5,2851000,64.394409
"2021-08-09",65.309998,66.339996,65.050003,66,2736300,63.910244
