"","ZTS.Open","ZTS.High","ZTS.Low","ZTS.Close","ZTS.Volume","ZTS.Adjusted"
"2021-08-19",203.009995,208.050003,202.679993,206.440002,1126200,205.126892
"2021-08-20",206.619995,208.259995,206.610001,207.050003,1194000,205.733002
"2021-08-23",207.710007,208.559998,205.990005,206.470001,1081600,205.156693
"2021-08-24",206.089996,206.960007,204.490005,204.990005,978700,203.686111
"2021-08-25",204.389999,205.080002,202.979996,204.429993,780700,203.129639
"2021-08-26",204.800003,205.490005,203.360001,204.020004,957600,202.72226
"2021-08-27",204.679993,206.190002,203.229996,203.820007,855300,202.523544
"2021-08-30",203.820007,206.990005,203.800003,205.889999,667800,204.580383
"2021-08-31",205.809998,206.080002,203.080002,204.559998,1480600,203.258835
"2021-09-01",204.559998,206.470001,203.479996,206.440002,1030700,205.126892
"2021-09-02",207.429993,209.259995,206.720001,209.220001,1116500,207.889206
"2021-09-03",208.220001,210.100006,207.149994,209.690002,1003500,208.356216
"2021-09-07",209.479996,209.869995,205.460007,207.809998,977200,206.488174
"2021-09-08",207,209.410004,206.5,209.330002,832600,207.998505
"2021-09-09",209.5,210,205.860001,206.020004,1109600,204.709549
"2021-09-10",206.710007,207.850006,206.339996,207,1151400,205.683319
"2021-09-13",208.550003,208.990005,202.210007,205,1407900,203.696045
"2021-09-14",205,206.5,203.369995,203.550003,1790600,202.255249
"2021-09-15",203.699997,205.179993,202.369995,203.960007,1354100,202.662643
"2021-09-16",204.029999,204.190002,201.399994,202.770004,1644700,201.480225
"2021-09-17",200.529999,202.529999,197.880005,198.490005,4160100,197.227448
"2021-09-20",196.669998,199.880005,195.789993,198.619995,1523300,197.356628
"2021-09-21",199.580002,201.800003,199.139999,201.009995,1614900,199.731415
"2021-09-22",202.479996,203.580002,200.339996,201.350006,1673200,200.06926
"2021-09-23",202.169998,205.979996,202.169998,204.710007,1197600,203.407898
"2021-09-24",204.440002,205.580002,203.759995,204.729996,1112000,203.42775
"2021-09-27",204.009995,204.009995,196.520004,197.800003,1964000,196.541855
"2021-09-28",196.009995,196.25,191.330002,192.770004,1957300,191.543839
"2021-09-29",194.710007,196.639999,192.589996,194.990005,1430400,193.74971
"2021-09-30",195.940002,198.119995,194.050003,194.139999,1785600,192.905106
"2021-10-01",194.139999,197.699997,192.429993,196.190002,2095500,194.942078
"2021-10-04",195.179993,195.990005,190.929993,193.690002,1942300,192.457977
"2021-10-05",195.220001,197.5,193.660004,196.460007,2490200,195.210358
"2021-10-06",195.669998,196.070007,193.449997,195.779999,1564600,194.534683
"2021-10-07",196.949997,201.440002,196.949997,199.009995,1093400,197.744125
"2021-10-08",200,200.660004,196.470001,197.880005,1085600,196.621323
"2021-10-11",197.559998,199.100006,196.029999,197.649994,901900,196.392792
"2021-10-12",198.889999,199.369995,195.770004,197.149994,1398000,195.895981
