"","APH.Open","APH.High","APH.Low","APH.Close","APH.Volume","APH.Adjusted"
"2021-12-13",84.25,84.339996,82.849998,83.599998,2219300,82.913803
"2021-12-14",83.269997,83.400002,81.849998,82.470001,1482400,81.793076
"2021-12-15",82.709999,84.43,82.169998,84.370003,2076800,83.677483
"2021-12-16",84.690002,84.860001,83.199997,83.550003,2513100,82.864204
"2021-12-17",83.220001,84.080002,82.160004,82.480003,3534400,81.802994
"2021-12-20",81.160004,81.639999,80.07,81.139999,1444800,80.669601
"2021-12-21",81.959999,83.099998,81.690002,83.059998,1279700,82.578461
"2021-12-22",82.959999,84.07,82.739998,83.989998,1703000,83.503075
"2021-12-23",84.330002,85.650002,84.269997,85.059998,1365300,84.566872
"2021-12-27",85.290001,86.940002,85.290001,86.93,969900,86.426033
"2021-12-28",87,87.379997,86.559998,87.120003,1130700,86.614937
"2021-12-29",86.919998,88.330002,86.82,87.940002,1188700,87.430183
"2021-12-30",88.080002,88.449997,86.889999,87.019997,834400,86.515511
"2021-12-31",86.970001,87.860001,86.940002,87.459999,1213900,86.952957
"2022-01-03",87.800003,88,86.389999,86.5,1926300,85.998528
"2022-01-04",86.919998,87.529999,86.559998,86.769997,2171500,86.26696
"2022-01-05",86.769997,87.199997,85.080002,85.120003,1761400,84.626526
"2022-01-06",85.019997,85.660004,84.809998,85.190002,2016500,84.696121
"2022-01-07",83.360001,84.110001,81.889999,82.120003,3267900,81.643921
"2022-01-10",81.199997,81.949997,80.43,81.919998,2385700,81.445076
"2022-01-11",81.919998,82.629997,80.940002,82.610001,1708200,82.131081
"2022-01-12",83,83.580002,82.160004,82.879997,1863600,82.399513
"2022-01-13",82.800003,83.190002,81.610001,81.860001,1658300,81.385429
"2022-01-14",81.129997,82.440002,80.760002,81.610001,2469200,81.136871
"2022-01-18",80.739998,80.739998,79.379997,79.849998,1801600,79.387077
"2022-01-19",80.18,80.839996,78.43,78.510002,2321500,78.054848
"2022-01-20",78.769997,79.839996,77.790001,77.910004,2270700,77.458328
"2022-01-21",78.029999,78.910004,76.910004,77.029999,3348600,76.583427
"2022-01-24",75.940002,77.660004,74.230003,77.349998,3707800,76.901573
"2022-01-25",76.080002,76.709999,74.57,76.010002,4285400,75.569344
"2022-01-26",78.720001,80.059998,75.5,76.339996,5336900,75.89743
"2022-01-27",77.529999,78.349998,74.57,75.029999,5389200,74.595024
"2022-01-28",75.110001,77.129997,74.150002,77.110001,3038000,76.662964
"2022-01-31",77,79.709999,76.620003,79.589996,3302000,79.128586
"2022-02-01",79.449997,79.800003,78.279999,79.120003,2427100,78.661316
"2022-02-02",79.32,80.550003,79.150002,80.449997,2857100,79.983597
"2022-02-03",79.5,80.110001,78.959999,79.07,2326800,78.611603
"2022-02-04",78.760002,79.599998,77.660004,78.760002,1902100,78.303406
"2022-02-07",79.07,79.610001,77.760002,77.970001,2159100,77.517982
"2022-02-08",77.900002,78.790001,77.059998,78.650002,2717000,78.194038
"2022-02-09",79.730003,80.5,79.440002,79.989998,2608400,79.526268
"2022-02-10",78.769997,79.870003,77.019997,77.599998,2932200,77.150124
"2022-02-11",77.809998,77.93,74.75,75.18,3241700,74.744156
"2022-02-14",75.080002,76.190002,74.610001,75.309998,2568700,74.87339
"2022-02-15",76.790001,77.220001,76.269997,76.800003,2545500,76.354767
"2022-02-16",76.300003,77.269997,75.68,76.949997,3174000,76.503891
"2022-02-17",76.330002,76.529999,75.410004,75.480003,2461200,75.042412
"2022-02-18",75.43,76.599998,75.349998,76.230003,5478600,75.788071
"2022-02-22",75.779999,76.349998,74.529999,74.940002,2859000,74.505547
"2022-02-23",75.400002,75.75,73.360001,73.669998,3473200,73.242905
"2022-02-24",71.620003,75.25,71.099998,75.110001,3308800,74.674553
"2022-02-25",75.209999,76.940002,74.849998,76.849998,2050000,76.404472
"2022-02-28",75.699997,76.389999,75.050003,76.010002,2952100,75.569344
"2022-03-01",75.970001,75.970001,73.510002,74.120003,2460300,73.690308
"2022-03-02",74.739998,76.529999,74.480003,76.169998,2508600,75.728409
"2022-03-03",76.620003,77.080002,75.389999,76.360001,2334100,75.917313
"2022-03-04",75.43,76.660004,74.959999,76.230003,2052500,75.788071
"2022-03-07",76.120003,76.230003,72.75,72.82,3681400,72.397835
"2022-03-08",72.760002,74.559998,71.709999,72.540001,4315000,72.119461
"2022-03-09",74.559998,75.330002,73.400002,74.910004,2864100,74.475716
"2022-03-10",73.690002,74.900002,73.120003,74.269997,2057500,73.839424
