"","PKG.Open","PKG.High","PKG.Low","PKG.Close","PKG.Volume","PKG.Adjusted"
"2021-04-20",141.169998,141.889999,139.889999,140.809998,391600,135.76416
"2021-04-21",140.830002,142.389999,140.740005,142.25,289700,137.152557
"2021-04-22",142.649994,142.860001,140.550003,140.690002,575700,135.648468
"2021-04-23",141.289993,142.690002,140.690002,142.330002,281500,137.229706
"2021-04-26",143.020004,143.600006,141.880005,143.149994,465400,138.020294
"2021-04-27",142,147.169998,141.199997,144.770004,594000,139.582275
"2021-04-28",145.960007,147.029999,144.940002,145.369995,599000,140.160751
"2021-04-29",146.509995,150.070007,146.509995,150.009995,619000,144.634506
"2021-04-30",149.520004,150.220001,147.25,147.649994,550600,142.35907
"2021-05-03",148.639999,150.320007,147.889999,149.470001,342200,144.113831
"2021-05-04",149.600006,151.979996,149.600006,151.880005,545100,146.437485
"2021-05-05",151.880005,153.130005,150.580002,152.169998,528000,146.717102
"2021-05-06",153.080002,153.380005,151.210007,153.240005,338400,147.748764
"2021-05-07",152.220001,153.559998,151.720001,153.160004,224300,147.671631
"2021-05-10",154.199997,156.539993,154.059998,154.559998,370300,149.021454
"2021-05-11",154.630005,156.029999,153.270004,154.850006,469100,149.301071
"2021-05-12",155.160004,155.399994,151.339996,151.559998,359700,146.128967
"2021-05-13",150.809998,155.889999,150.380005,155.050003,254500,149.493896
"2021-05-14",155.190002,155.720001,153.720001,154.25,299100,148.722565
"2021-05-17",154.600006,156.440002,153.889999,155.130005,338200,149.57103
"2021-05-18",153.809998,154.270004,152.029999,152.210007,400400,146.755661
"2021-05-19",151.509995,151.509995,149.380005,150.770004,290800,145.367279
"2021-05-20",150.289993,151.089996,149.259995,149.389999,370700,144.036713
"2021-05-21",149.919998,151.229996,149.610001,150.160004,399900,144.779129
"2021-05-24",151.179993,151.910004,150.550003,151.5,352100,146.071091
"2021-05-25",151.580002,152.160004,148.860001,149.190002,369500,143.843872
"2021-05-26",148.899994,149.539993,147.550003,148.729996,462100,143.400345
"2021-05-27",149.830002,150.410004,148.369995,149.389999,1184900,144.036713
"2021-05-28",149.479996,150.25,148.070007,148.649994,382300,143.323212
"2021-06-01",150,150.619995,148.889999,149.789993,431300,144.422379
"2021-06-02",149.240005,149.330002,145.610001,146.440002,1256900,141.192429
"2021-06-03",146.089996,146.520004,145.330002,146.080002,916100,140.845337
"2021-06-04",147,147.410004,145.949997,146.759995,583800,141.500946
"2021-06-07",147.300003,147.300003,144.089996,144.320007,680300,139.148407
"2021-06-08",144.270004,145,143.470001,144.270004,903000,139.100204
"2021-06-09",143.839996,144.649994,142.919998,142.990005,706900,137.866043
"2021-06-10",144.25,144.25,142.570007,142.619995,484400,137.509293
"2021-06-11",143.279999,144.070007,142.479996,143.850006,1260100,138.695251
"2021-06-14",142.970001,143.259995,138.440002,138.860001,857600,134.821289
"2021-06-15",139.809998,140.619995,138.539993,139.940002,877100,135.869873
"2021-06-16",139.619995,139.669998,138.259995,138.619995,981200,134.588257
"2021-06-17",138.919998,138.979996,133.360001,133.809998,830500,129.918152
"2021-06-18",132.160004,133.240005,131.660004,132.75,1104200,128.888992
"2021-06-21",134.179993,136.240005,134.179993,135.330002,445100,131.393967
"2021-06-22",135.259995,136.029999,134.550003,135.320007,340800,131.384262
"2021-06-23",135.449997,135.570007,134.070007,134.600006,344500,130.685196
"2021-06-24",135,135.380005,133.610001,133.800003,541600,129.908447
"2021-06-25",133.960007,136.210007,133.960007,135.259995,590600,131.325989
"2021-06-28",135.210007,135.679993,133.940002,135.589996,434100,131.646393
"2021-06-29",136.029999,137.179993,134.639999,135.070007,474800,131.141525
"2021-06-30",134.529999,135.820007,134.229996,135.419998,474800,131.481323
"2021-07-01",136.050003,137.160004,135.070007,136.539993,414400,132.568741
"2021-07-02",136.75,136.940002,135.229996,136.649994,518200,132.675568
