"","BRO.Open","BRO.High","BRO.Low","BRO.Close","BRO.Volume","BRO.Adjusted"
"2021-11-05",61.93,62.27,61.610001,61.970001,1438300,61.76815
"2021-11-08",62.360001,62.830002,61.779999,62.709999,1344500,62.505737
"2021-11-09",62.580002,63.330002,62.509998,63.009998,1391200,62.80476
"2021-11-10",62.990002,63.48,62.869999,63.189999,1002600,62.984173
"2021-11-11",63.099998,63.900002,62.849998,63.689999,1003800,63.482544
"2021-11-12",64.160004,64.720001,63.889999,64.519997,1236300,64.309837
"2021-11-15",64.610001,65.029999,64.029999,64.300003,1020400,64.090561
"2021-11-16",64.419998,65.559998,64.419998,64.93,1240800,64.718506
"2021-11-17",64.870003,65.199997,64.199997,64.720001,939500,64.509193
"2021-11-18",64.839996,65.32,64.099998,64.139999,888500,63.93108
"2021-11-19",64.25,65,63.650002,64.540001,3440000,64.329773
"2021-11-22",64.910004,65.970001,64.580002,65.279999,1674500,65.067368
"2021-11-23",65.269997,65.860001,64.970001,65.809998,1016100,65.595642
"2021-11-24",65.519997,66.43,65.480003,66.339996,949300,66.123909
"2021-11-26",65.330002,65.68,64.360001,64.760002,810400,64.549065
"2021-11-29",65.470001,65.730003,64.779999,65.410004,797600,65.196945
"2021-11-30",65.010002,65.790001,64.220001,64.410004,2310700,64.200203
"2021-12-01",65.239998,66.07,63.68,63.689999,1804200,63.482544
"2021-12-02",64.050003,66.32,63.799999,65.870003,1379000,65.655449
"2021-12-03",66.080002,66.199997,64.57,65.209999,1446700,64.997597
"2021-12-06",65.790001,66.389999,65.480003,65.889999,1101800,65.675385
"2021-12-07",66.419998,67.18,66.300003,67.050003,1715600,66.831604
"2021-12-08",67.300003,67.910004,66.669998,67.68,1561100,67.459549
"2021-12-09",67.32,67.610001,66.980003,67.059998,680000,66.841568
"2021-12-10",67.709999,67.769997,66.43,67.209999,1136100,66.991081
"2021-12-13",67.120003,67.449997,66.07,66.949997,880300,66.731926
"2021-12-14",66.860001,67.239998,65.860001,66.959999,1155900,66.741898
"2021-12-15",67.269997,68.169998,66.610001,68.059998,1586600,67.838303
"2021-12-16",68.040001,68.529999,66.809998,67.239998,1158200,67.020981
"2021-12-17",67.059998,67.150002,65.620003,65.870003,3166100,65.655449
"2021-12-20",65.199997,66.080002,64.410004,65.949997,1669500,65.735184
"2021-12-21",66.440002,67.120003,66.040001,66.489998,1090800,66.273422
"2021-12-22",66.5,67.620003,66.480003,67.57,749300,67.349907
"2021-12-23",68.019997,68.379997,67.629997,68.029999,661500,67.808403
"2021-12-27",68.410004,69.480003,68.230003,69.459999,514400,69.233749
"2021-12-28",69.57,70.07,69.080002,69.339996,590600,69.114143
"2021-12-29",69.5,70.120003,69.5,69.830002,523400,69.602547
"2021-12-30",70,70.18,69.650002,69.809998,701200,69.582603
"2021-12-31",69.709999,70.75,69.480003,70.279999,938300,70.051079
"2022-01-03",70.400002,70.599998,68.32,68.790001,1543500,68.565941
"2022-01-04",68.910004,69.43,68.25,69.120003,1600700,68.894859
"2022-01-05",69.279999,69.370003,67.440002,67.449997,1669300,67.230293
"2022-01-06",67.580002,68.860001,67.150002,68.540001,1207200,68.31675
"2022-01-07",68.449997,68.769997,67.580002,68.599998,2321400,68.376549
"2022-01-10",68.209999,68.519997,66.910004,68.080002,1263900,67.858246
"2022-01-11",68.260002,68.459999,67.050003,68.349998,1247000,68.127365
"2022-01-12",68.589996,69.690002,68.230003,69.43,1430200,69.20385
"2022-01-13",69.540001,69.540001,68.339996,68.580002,1103000,68.356621
