"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume","HD.Adjusted"
"2021-10-06",328.160004,330.649994,325.399994,330.359985,2226800,324.973419
"2021-10-07",333.5,339.220001,332.859985,337.480011,2789500,331.977356
"2021-10-08",333,335.410004,330.880005,334.339996,2912200,328.88855
"2021-10-11",335.600006,340.859985,334.600006,336.970001,2589100,331.475677
"2021-10-12",339.140015,341.049988,337.399994,337.799988,2960300,332.292145
"2021-10-13",337.320007,340.23999,336.549988,338.279999,2477400,332.764313
"2021-10-14",340.529999,344.369995,340.100006,344.049988,2824300,338.440186
"2021-10-15",346.540009,350.950012,345.75,350.410004,3473500,344.696533
"2021-10-18",349,355.950012,349,355.01001,3487500,349.221527
"2021-10-19",356.940002,358.089996,354.420013,357.98999,2375600,352.152924
"2021-10-20",357.73999,359.570007,356.209991,358.230011,2574800,352.389008
"2021-10-21",358.200012,364.850006,358.119995,364.619995,2885400,358.674835
"2021-10-22",365,367.029999,362.149994,365.98999,2734700,360.022461
"2021-10-25",367.200012,371.660004,365.98999,371.26001,2923400,365.206573
"2021-10-26",373.390015,374.049988,369.079987,369.200012,2989500,363.180176
"2021-10-27",369.869995,375.149994,369.309998,372.320007,2840300,366.249268
"2021-10-28",373,373.940002,370.890015,371.570007,2553500,365.511505
"2021-10-29",370.329987,375.149994,370.029999,371.73999,3820200,365.678741
"2021-11-01",373,373.570007,364.700012,366.480011,3380500,360.504486
"2021-11-02",366.200012,368.890015,364.940002,367.290009,2367100,361.30127
"2021-11-03",366.630005,369.359985,365.25,368.970001,2378800,362.953888
"2021-11-04",370.779999,373.230011,369.410004,372.179993,3210000,366.111572
"2021-11-05",373.809998,374.410004,367.570007,368.399994,3090200,362.393188
"2021-11-08",370.220001,372.910004,367.850006,368.589996,2357200,362.580078
"2021-11-09",369.670013,373.880005,368.709991,370.649994,2183300,364.606476
"2021-11-10",368.25,371.209991,367.720001,368.579987,2161400,362.570221
"2021-11-11",371,372,365.829987,367.630005,2387300,361.635742
"2021-11-12",369.119995,373.5,366.700012,372.630005,2793300,366.55423
"2021-11-15",374.390015,374.869995,369.290009,371.079987,3650600,365.02948
"2021-11-16",382,394.380005,379,392.329987,8648200,385.932983
"2021-11-17",392.829987,399.429993,390.809998,394.850006,4647000,388.411926
"2021-11-18",398,406.540009,396.089996,405.850006,4503700,399.232574
"2021-11-19",407.630005,410.100006,404.109985,408.690002,3542000,402.026276
"2021-11-22",409.799988,416.559998,408.700012,408.790009,4006400,402.124634
"2021-11-23",405.670013,409.679993,403.01001,408.369995,3557000,401.711456
"2021-11-24",403.660004,412.75,402.880005,412.109985,2676300,405.390442
"2021-11-26",407.26001,414.140015,402.25,402.700012,3007800,396.133911
"2021-11-29",406.899994,410.809998,406.040009,406.820007,3725500,400.186737
"2021-11-30",403.589996,408.429993,400.25,400.609985,7773500,394.077972
"2021-12-01",402.079987,410.25,400.220001,400.420013,3516200,395.520142
"2021-12-02",401.809998,410.700012,401,407.769989,3705000,402.780212
"2021-12-03",409.850006,415.929993,404.450012,407.809998,5237500,402.819702
"2021-12-06",413.519989,420.609985,411.220001,415.700012,4624500,410.61319
"2021-12-07",417,418.559998,413.019989,416.179993,4204500,411.08728
"2021-12-08",416.179993,419.850006,408.279999,411.25,4079400,406.217621
"2021-12-09",410.799988,415.25,408.290009,411.339996,3822900,406.306519
"2021-12-10",412.190002,415.609985,410.26001,415.399994,2625200,410.316833
"2021-12-13",415.399994,416.5,404.51001,405.23999,3766400,400.281158
"2021-12-14",403.450012,405.679993,398.079987,402.200012,4662800,397.278381
"2021-12-15",400.619995,407.929993,399.390015,407.809998,4421400,402.819702
"2021-12-16",408.399994,408.869995,398.119995,399.529999,4632800,394.641022
"2021-12-17",396.970001,397.980011,387.420013,387.980011,11097500,383.232391
"2021-12-20",384.290009,390.170013,380.899994,389.399994,4294800,384.63501
"2021-12-21",391.630005,393.76001,383.23999,390.470001,3038200,385.691895
"2021-12-22",391,395.769989,388.859985,395.640015,3267800,390.798645
"2021-12-23",398.290009,399.839996,394.619995,397.070007,2743900,392.211151
"2021-12-27",399.040009,404.450012,398.209991,404.089996,2228300,399.145233
"2021-12-28",404.98999,407.019989,403,406.220001,2521400,401.249146
"2021-12-29",406.380005,412.369995,406.309998,410.839996,2209300,405.812622
"2021-12-30",411.850006,413.440002,408.399994,409.940002,1804400,404.923645
"2021-12-31",409.98999,416.529999,409.890015,415.01001,2386100,409.931641
