"","OTIS.Open","OTIS.High","OTIS.Low","OTIS.Close","OTIS.Volume","OTIS.Adjusted"
"2021-10-04",82.110001,83.125,81.580002,81.910004,2474600,81.104683
"2021-10-05",82.279999,83.745003,81.849998,83.360001,2080900,82.540421
"2021-10-06",82.790001,83.5,81.209999,82.870003,1916800,82.055252
"2021-10-07",83.940002,85.110001,83.779999,84.379997,2487900,83.550392
"2021-10-08",83.910004,84.385002,82.650002,83.449997,1942600,82.629532
"2021-10-11",83.230003,83.5,81.559998,81.620003,2134100,80.817535
"2021-10-12",81.809998,82.184998,81.279999,81.940002,2368900,81.134384
"2021-10-13",82.239998,82.290001,81.080002,81.279999,1519300,80.480873
"2021-10-14",81.959999,83.489998,81.949997,83.410004,2166500,82.589935
"2021-10-15",83.919998,84.690002,83.489998,84.099998,1681400,83.273148
"2021-10-18",83.660004,83.869003,82.973,83.32,1452300,82.500816
"2021-10-19",84,84.739998,83.769997,84.419998,1388000,83.590004
"2021-10-20",84.629997,86.459999,84.230003,85.459999,2339900,84.619774
"2021-10-21",84.18,85.389999,83.489998,85.349998,1917700,84.510857
"2021-10-22",85.860001,86.709999,85.410004,85.629997,2678500,84.788101
"2021-10-25",81.089996,83.949997,81.089996,81.860001,3623700,81.055176
"2021-10-26",82.334999,82.599998,79.760002,80.269997,3657600,79.480797
"2021-10-27",80.669998,80.830002,79.489998,79.720001,2896600,78.936218
"2021-10-28",79.599998,80.160004,78.599998,79.919998,2435300,79.134247
"2021-10-29",79.559998,81.480003,79.540001,80.309998,2870500,79.520409
"2021-11-01",80.459999,81.160004,80.129997,80.919998,1846100,80.124405
"2021-11-02",81.330002,81.449997,80.150002,81.110001,1465500,80.312553
"2021-11-03",81.279999,81.82,79.614998,80.610001,2306700,79.817459
"2021-11-04",80.940002,81.860001,80.790001,81.839996,1943200,81.03537
"2021-11-05",82.129997,82.709999,81.559998,81.709999,1500900,80.906647
"2021-11-08",82.110001,82.389,81.392998,82.239998,2422400,81.431427
"2021-11-09",82.400002,83.669998,82.07,83.540001,3078900,82.718651
"2021-11-10",83.949997,84.449997,83.190002,83.360001,2986300,82.540421
"2021-11-11",83.449997,83.699997,82.769997,83.400002,1743500,82.580032
"2021-11-12",83.940002,85.650002,83.309998,85.629997,1737600,84.788101
"2021-11-15",85.5,85.589996,83.936996,84.160004,1319100,83.332565
"2021-11-16",84.559998,84.989998,84.220001,84.519997,1532800,83.689018
