"","DGX.Open","DGX.High","DGX.Low","DGX.Close","DGX.Volume","DGX.Adjusted"
"2021-09-23",152.410004,154.639999,152.070007,153.520004,892000,150.711929
"2021-09-24",153.529999,154.309998,152.369995,153.089996,658600,150.289795
"2021-09-27",152.479996,153.050003,149.639999,149.880005,1083500,147.138504
"2021-09-28",148.940002,148.940002,144.929993,146.050003,1902200,143.378571
"2021-09-29",146.270004,148.509995,146.160004,147.679993,1014300,144.978745
"2021-09-30",148.460007,148.860001,145.25,145.309998,953900,142.652084
"2021-10-01",145.229996,145.619995,141.910004,143.300003,1357500,140.678864
"2021-10-04",143.050003,143.779999,140.179993,141.240005,1319300,139.259064
"2021-10-05",141.25,142.820007,141.039993,141.169998,1220800,139.190033
"2021-10-06",140.610001,142.449997,139.679993,142.330002,1777900,140.333755
"2021-10-07",143.160004,145.199997,143.160004,143.5,1217400,141.487366
"2021-10-08",143.520004,144.259995,141.529999,141.929993,832300,139.939377
"2021-10-11",142,142.339996,139.669998,140.360001,1250200,138.391403
"2021-10-12",140.529999,142.050003,140.009995,140.479996,1204500,138.50972
"2021-10-13",140.970001,141.369995,139.610001,140.949997,1425800,138.973129
"2021-10-14",142.160004,142.860001,140.75,142.410004,1785600,140.412659
"2021-10-15",142.889999,143.669998,142.080002,142.5,3432200,140.501373
"2021-10-18",142.240005,143.850006,141.460007,143.720001,1095000,141.704269
"2021-10-19",144.5,146.240005,144.5,145.710007,1359700,143.666367
"2021-10-20",146.75,147.789993,146.539993,146.850006,1293600,144.79039
"2021-10-21",147.539993,149.149994,140.550003,145.360001,2854600,143.321259
"2021-10-22",145,146.570007,143.979996,146.490005,1252600,144.435425
"2021-10-25",146.259995,146.259995,143.559998,145.009995,1321100,142.976181
"2021-10-26",145.839996,146.130005,144.25,145.5,867400,143.45932
"2021-10-27",145.580002,145.940002,143.889999,143.940002,1025600,141.921204
"2021-10-28",144.479996,146.839996,144.259995,145.830002,759000,143.784683
"2021-10-29",145.800003,147.089996,145.429993,146.779999,920900,144.721359
"2021-11-01",146.699997,148.470001,145.600006,147.309998,1128500,145.243912
"2021-11-02",148.070007,148.270004,144.050003,144.229996,1322000,142.207123
"2021-11-03",143.669998,145.220001,142.589996,145.029999,1309200,142.995895
"2021-11-04",145.029999,145.919998,142.979996,143.809998,1079900,141.793015
"2021-11-05",142.139999,142.919998,139,140.550003,1570300,138.57872
"2021-11-08",140.639999,142.399994,139.300003,142.220001,1461300,140.225311
"2021-11-09",141.5,142.380005,140.429993,142.029999,1432200,140.037979
"2021-11-10",142.070007,144.839996,142.070007,144.779999,963100,142.749405
"2021-11-11",144.179993,148.330002,143.580002,148.240005,1237200,146.160889
