"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"2021-08-30",136.300003,136.960007,136.089996,136.740005,860500,132.124664
"2021-08-31",136.990005,137.899994,136.339996,137.809998,1875600,133.158539
"2021-09-01",137.809998,140.059998,137.779999,139.679993,2108900,134.965424
"2021-09-02",140,140.820007,139.779999,140.449997,1750100,135.709412
"2021-09-03",140.360001,141.139999,140.100006,140.75,1426800,135.999329
"2021-09-07",140.339996,140.630005,138.770004,139.860001,2707000,135.139343
"2021-09-08",139.449997,141.830002,139.399994,141.490005,2390700,136.714325
"2021-09-09",139.770004,140.199997,137.410004,137.800003,2923800,134.230392
"2021-09-10",137.539993,137.889999,136.009995,137.050003,2133400,133.499817
"2021-09-13",137.330002,139.339996,137.199997,138.179993,2278300,134.600555
"2021-09-14",138.460007,139.199997,137.630005,138.119995,2165300,134.542099
"2021-09-15",138.059998,138.369995,136.770004,137.020004,1374300,133.470612
"2021-09-16",136.729996,137.470001,135.479996,135.940002,1859000,132.418579
"2021-09-17",135.970001,137.289993,135.149994,135.179993,5852300,131.678253
"2021-09-20",135.029999,135.75,133.440002,134.509995,2115400,131.02562
"2021-09-21",134.619995,136,133.860001,134.5,2083300,131.015884
"2021-09-22",135.169998,135.330002,133.25,133.440002,1406500,129.983337
"2021-09-23",133.059998,134.110001,132.860001,133.580002,1015200,130.119705
"2021-09-24",133.770004,134.139999,132.839996,132.990005,920000,129.544998
"2021-09-27",132.860001,133.580002,132.259995,132.429993,972600,128.999496
"2021-09-28",132.149994,134.009995,132.039993,133.5,1951300,130.041779
"2021-09-29",133.509995,136.449997,133.339996,135.779999,1652800,132.262711
"2021-09-30",136.179993,136.320007,132.339996,132.440002,1850200,129.009247
"2021-10-01",132.589996,132.990005,131.160004,132.179993,1709300,128.755966
"2021-10-04",132.179993,133.449997,131.399994,132.149994,1758000,128.726746
"2021-10-05",131.600006,132.429993,131.160004,131.929993,1744200,128.512451
"2021-10-06",131.679993,133.259995,131.110001,133.050003,1530900,129.603455
"2021-10-07",133.699997,134.720001,133.389999,133.699997,1709500,130.236588
"2021-10-08",133.979996,134,132,132.869995,1038400,129.428085
"2021-10-11",132.990005,133.110001,132.369995,132.550003,845600,129.116409
"2021-10-12",132.080002,133.630005,132.080002,132.580002,940100,129.145615
"2021-10-13",132.559998,133.160004,131.449997,132.550003,1051900,129.116409
"2021-10-14",132.779999,133.669998,132.5,133.300003,1074000,129.84697
"2021-10-15",133.330002,134.089996,132.639999,133.330002,1210400,129.87619
"2021-10-18",133.059998,133.270004,131.509995,131.529999,1278400,128.122818
"2021-10-19",130.360001,130.660004,128.149994,129.770004,3702600,126.408401
