"","STX.Open","STX.High","STX.Low","STX.Close","STX.Volume","STX.Adjusted"
"2021-09-07",90.650002,90.800003,87.970001,88.059998,1810500,85.281189
"2021-09-08",86.400002,86.43,83.370003,84.330002,3542800,81.6689
"2021-09-09",84.440002,88.599998,84.360001,87.339996,4818400,84.583908
"2021-09-10",87.230003,88,83.610001,83.919998,3662700,81.271835
"2021-09-13",83.870003,84.790001,83.169998,83.940002,1856000,81.291206
"2021-09-14",83.68,84.980003,82.07,82.730003,2100000,80.119385
"2021-09-15",82.980003,84.389999,82.75,84.349998,1867000,81.688263
"2021-09-16",84.150002,86.010002,84.129997,84.82,1782600,82.143433
"2021-09-17",84.239998,85.18,83.519997,83.739998,4437200,81.097511
"2021-09-20",82.309998,83.040001,81.32,82.949997,2267000,80.332428
"2021-09-21",83.080002,83.150002,81.290001,81.57,1697600,79.639236
"2021-09-22",82.550003,83.919998,82.150002,82.940002,1504700,80.976814
"2021-09-23",83.470001,85.75,83.300003,85.040001,1564500,83.027107
"2021-09-24",85.089996,86.260002,84.349998,86.080002,1247600,84.042496
"2021-09-27",85.989998,88.239998,85.690002,86.910004,1250200,84.852859
"2021-09-28",86.260002,87.010002,83.889999,84.199997,2114400,82.206985
"2021-09-29",83.940002,84.489998,82.480003,83.099998,1578800,81.133026
"2021-09-30",83.529999,83.730003,82.480003,82.519997,1228400,80.56675
"2021-10-01",83.669998,85.019997,81.339996,84.410004,1655500,82.412025
"2021-10-04",84.230003,85.709999,83.580002,84.139999,2131600,82.148407
"2021-10-05",84.43,85.779999,82.830002,85.150002,2085000,83.134506
"2021-10-06",81.169998,81.949997,79.360001,80.610001,4414100,78.701965
"2021-10-07",81.360001,82.629997,80.669998,81.779999,2111200,79.844269
"2021-10-08",82.230003,82.550003,79.839996,79.93,1985700,78.038055
"2021-10-11",79.849998,82.220001,79.699997,81.629997,2514400,79.697823
"2021-10-12",81.949997,82.099998,78.199997,79.010002,2558100,77.139839
"2021-10-13",79.230003,80.300003,78.760002,79.57,1357400,77.686584
"2021-10-14",80.5,83.489998,80.32,82.5,2102600,80.547226
"2021-10-15",82.459999,83.300003,81.720001,81.989998,1733200,80.049309
"2021-10-18",81.389999,82.209999,80.790001,81.239998,1911800,79.317047
"2021-10-19",81.25,81.510002,79.839996,81.120003,2425500,79.199898
"2021-10-20",81.230003,82.190002,80.480003,80.529999,1983200,78.623856
"2021-10-21",80.150002,82.25,79.839996,82.239998,2606300,80.293381
"2021-10-22",86.5,88.970001,85.099998,87.230003,5172600,85.165268
"2021-10-25",88.589996,89.870003,87.580002,89.160004,3979600,87.049591
"2021-10-26",87.760002,89,85.940002,88.07,3877500,85.98539
"2021-10-27",88.669998,89,87.540001,88.029999,2154400,85.946327
"2021-10-28",88.489998,89.989998,88.489998,89.550003,1766100,87.430367
"2021-10-29",88.25,89.540001,87.760002,89.07,2702300,86.961708
"2021-11-01",89.550003,93.25,89.459999,91.900002,2293400,89.724739
"2021-11-02",92.129997,92.139999,90.489998,91.82,1754500,89.646622
"2021-11-03",92.199997,94.82,91.910004,93.459999,2722000,91.24781
"2021-11-04",94,95.330002,93.629997,95.300003,1375900,93.044258
"2021-11-05",95.699997,97.360001,95.529999,96.75,1636900,94.459938
"2021-11-08",97.120003,98.139999,97,97.720001,1275200,95.406975
"2021-11-09",97.690002,99.5,96.889999,99.290001,2631900,96.939812
"2021-11-10",99.18,100.669998,98.18,99.019997,1876500,96.676201
"2021-11-11",99.150002,106.68,99.099998,105.260002,5507400,102.768509
"2021-11-12",105.940002,116.93,105.599998,108.120003,7778500,105.560806
"2021-11-15",108.190002,108.300003,105.209999,105.660004,3037300,103.159035
"2021-11-16",106.089996,106.449997,103.330002,103.660004,2918100,101.206383
"2021-11-17",103.669998,104.5,100.360001,100.889999,3194800,98.50193
"2021-11-18",101.43,101.940002,100.25,101.25,2736700,98.853416
"2021-11-19",101.879997,102.82,100.650002,100.779999,1831300,98.394539
"2021-11-22",101.099998,103.690002,100.639999,101.620003,2405400,99.214661
"2021-11-23",101.93,103.470001,100.010002,101.580002,2040700,99.175613
"2021-11-24",101.18,101.739998,100.5,101.040001,1644700,98.648392
"2021-11-26",99.220001,100.360001,98.07,98.620003,1345400,96.285683
"2021-11-29",100.769997,104.43,100.690002,104.059998,2425400,101.596901
"2021-11-30",102.949997,104.730003,101.639999,102.669998,4115800,100.239807
"2021-12-01",104.160004,108.449997,103.709999,103.839996,3057500,101.382111
"2021-12-02",103.290001,106.110001,102.620003,105.110001,2016200,102.622055
"2021-12-03",103.769997,106.32,103.089996,105.410004,3038400,102.914963
"2021-12-06",104.739998,105.370003,101.599998,103.589996,1937800,101.138023
"2021-12-07",105.110001,109.389999,104.290001,108.519997,2593200,105.951332
"2021-12-08",108.839996,109,104.459999,105.699997,2301000,103.19809
"2021-12-09",105.360001,106.18,102.830002,102.93,1519800,100.493652
"2021-12-10",103.510002,103.980003,101.650002,103.910004,1214000,101.450462
"2021-12-13",103.68,103.779999,100.75,101.68,1458900,99.273239
"2021-12-14",101.050003,102.620003,100.07,102.440002,1824100,100.015259
"2021-12-15",102.720001,104.699997,100.599998,104.529999,1610900,102.055786
"2021-12-16",105.43,106.739998,103.989998,104.610001,2084000,102.133888
"2021-12-17",103.940002,105.309998,102.540001,104.510002,4205400,102.036255
"2021-12-20",103.889999,105.989998,103.150002,105.129997,1986700,102.641571
"2021-12-21",107.540001,109.279999,105.790001,109.220001,2088600,107.349548
"2021-12-22",108.360001,110.349998,107.25,110.309998,1583800,108.420883
"2021-12-23",110.650002,112.190002,110.5,111.419998,1105300,109.511871
"2021-12-27",111.580002,113.949997,111.510002,113.610001,849200,111.664368
"2021-12-28",114,114.290001,113,113.839996,753200,111.890427
"2021-12-29",114.099998,116.349998,114.099998,115,1456000,113.030563
"2021-12-30",114.989998,115.879997,113.68,113.779999,1446700,111.831459
"2021-12-31",113.690002,115.129997,112.75,112.980003,1060200,111.045166
"2022-01-03",113.029999,114.410004,111.580002,113.160004,1421700,111.222084
"2022-01-04",113.68,116.5,113.300003,116.019997,1590000,114.033096
"2022-01-05",115.970001,117.669998,114.300003,114.709999,2276300,112.745529
"2022-01-06",114.669998,115.5,112.019997,112.379997,1644000,110.455429
"2022-01-07",112,112.650002,110.029999,110.959999,1501500,109.059753
"2022-01-10",110,114.580002,109.330002,114.419998,2566100,112.460495
"2022-01-11",114.25,115,108.629997,111.720001,2403500,109.806732
"2022-01-12",112.690002,114.449997,111.959999,113.230003,1286200,111.290886
"2022-01-13",114,114.220001,110.43,110.839996,1195100,108.941803
"2022-01-14",110.129997,111.419998,108.150002,109.199997,1288000,107.329887
"2022-01-18",108.139999,108.330002,105.019997,105.459999,1579200,103.653938
