"","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume","ALB.Adjusted"
"2021-03-09",143.919998,148.330002,142.300003,145.770004,1218900,144.070786
"2021-03-10",150,156.309998,149.139999,152.300003,1937200,150.524673
"2021-03-11",156.300003,162,154.240005,161.270004,1589700,159.799332
"2021-03-12",160.059998,161.929993,155.850006,157.279999,984800,155.845703
"2021-03-15",156.080002,159.740005,156.080002,158.830002,704300,157.381577
"2021-03-16",159.929993,159.929993,154.309998,155.360001,957600,153.943222
"2021-03-17",153.270004,156.839996,151.580002,155.910004,1014400,154.48819
"2021-03-18",155.470001,158.550003,152.410004,152.520004,1326800,151.12912
"2021-03-19",152.690002,153.410004,148.639999,151.5,1670700,150.118423
"2021-03-22",151.600006,153,148.75,152.149994,740300,150.762482
"2021-03-23",150.820007,152.039993,145.429993,146.470001,765200,145.134277
"2021-03-24",148.029999,151.100006,146.559998,146.630005,1039800,145.292831
"2021-03-25",145.429993,149.300003,141.940002,148.929993,964200,147.571854
"2021-03-26",151,151,146.639999,150.399994,722500,149.028427
"2021-03-29",149.619995,149.619995,145.399994,146.410004,758800,145.074829
"2021-03-30",146.199997,146.570007,143.820007,145.389999,1348000,144.064133
"2021-03-31",147.130005,148.470001,145.699997,146.110001,1990000,144.777573
"2021-04-01",148.190002,151.820007,147.539993,150.740005,1126200,149.365356
"2021-04-05",153.470001,153.839996,149,150.220001,776000,148.850098
"2021-04-06",149.509995,153.699997,149.050003,152.889999,888000,151.495743
"2021-04-07",152.589996,152.889999,143.259995,143.699997,1292200,142.389542
"2021-04-08",144.940002,146.850006,144.270004,146.169998,852600,144.837021
"2021-04-09",146.199997,147.5,144.820007,147.320007,638900,145.976532
"2021-04-12",147.350006,148.330002,145.639999,147.710007,793000,146.362976
"2021-04-13",148.029999,149.270004,145.940002,148.580002,1061900,147.225037
"2021-04-14",148.729996,154.479996,148.229996,152.929993,1104600,151.53537
"2021-04-15",154.029999,154.320007,149.110001,150.509995,1036700,149.137436
"2021-04-16",151.839996,153,150.899994,152.029999,727900,150.64357
"2021-04-19",155.440002,159.759995,154.789993,157.5,1259300,156.063705
"2021-04-20",156.050003,156.330002,146.779999,148.520004,1072200,147.165604
"2021-04-21",147.860001,153.139999,146.520004,153.050003,690300,151.654282
"2021-04-22",156,159.869995,153.630005,155.800003,1417900,154.379196
"2021-04-23",156.050003,167.860001,154.669998,161.229996,1576800,159.759674
"2021-04-26",162.75,171.960007,162,170.570007,1351300,169.014511
"2021-04-27",169,171.600006,167.460007,169.75,948800,168.201981
"2021-04-28",168.75,170.649994,167.179993,169.399994,594000,167.855179
"2021-04-29",171.029999,171.869995,164.369995,167.619995,771700,166.091385
"2021-04-30",165.399994,169.050003,165.199997,168.169998,1372300,166.636398
"2021-05-03",169.509995,169.990005,165.470001,165.990005,652000,164.476288
"2021-05-04",163.509995,163.919998,158.539993,162.110001,949100,160.631668
"2021-05-05",165.979996,168.580002,163.589996,167.149994,991400,165.625671
"2021-05-06",157.740005,159.130005,150,152.850006,2553600,151.456116
"2021-05-07",154.460007,163.130005,154,162.720001,1115900,161.236099
"2021-05-10",163.389999,165.139999,159.190002,159.479996,1127000,158.025635
"2021-05-11",155.649994,160.899994,153.679993,160.5,600900,159.036346
"2021-05-12",158.5,159.5,154.089996,154.600006,1022300,153.190155
"2021-05-13",158.050003,160.720001,155.25,157.690002,681900,156.251968
"2021-05-14",159.130005,164.990005,158.860001,163.809998,820200,162.316147
"2021-05-17",162.5,163.809998,155.490005,157.789993,1032500,156.351044
"2021-05-18",158.949997,161.899994,156.919998,159.350006,904900,157.896851
"2021-05-19",155,157.75,152.580002,156.979996,735800,155.548416
"2021-05-20",156.660004,158.300003,154.440002,157.990005,721700,156.549225
"2021-05-21",159.440002,162.270004,158.850006,159.580002,1082800,158.124741
"2021-05-24",160.550003,160.800003,154.229996,159.589996,553500,158.134644
"2021-05-25",160.440002,161.770004,157.479996,158.020004,801200,156.578964
"2021-05-26",158.020004,162.240005,157.979996,162.199997,573900,160.72084
"2021-05-27",164.020004,169.699997,162.369995,168.559998,2357400,167.022827
"2021-05-28",168.490005,169.160004,165.220001,167.080002,749800,165.556335
"2021-06-01",170,173.789993,169.5,171.429993,1281300,169.866669
"2021-06-02",171.039993,172.240005,168.740005,170.360001,649900,168.806427
"2021-06-03",168.949997,170,165.779999,168.169998,537600,166.636398
"2021-06-04",169.059998,173.839996,168.899994,173.539993,634100,171.957397
"2021-06-07",174,174.210007,168.529999,170.779999,758600,169.222595
"2021-06-08",171.300003,177.580002,170.649994,176.009995,819800,174.404892
"2021-06-09",175.369995,176.070007,173.470001,174.369995,914300,172.779846
"2021-06-10",174.289993,174.289993,167.339996,167.779999,786300,166.62262
"2021-06-11",168.919998,170.389999,167.559998,170.179993,680800,169.006058
"2021-06-14",169.630005,170.389999,167.210007,168.339996,473600,167.178757
"2021-06-15",168.5,168.729996,162.949997,166.029999,998100,164.884689
"2021-06-16",165.089996,166.410004,162.759995,165.279999,706100,164.139862
"2021-06-17",164.149994,164.910004,159.169998,163.869995,1231700,162.739594
"2021-06-18",160.460007,162.649994,157.820007,157.970001,1348200,156.88028
"2021-06-21",159.929993,162.520004,159.449997,161.410004,1026900,160.296555
"2021-06-22",161.399994,162.419998,158.919998,161.580002,803500,160.465393
"2021-06-23",162.679993,165.850006,162.679993,163.669998,701100,162.540985
"2021-06-24",166.289993,166.289993,163.009995,165.970001,840600,164.825104
"2021-06-25",167.940002,169.860001,166.100006,166.770004,1648700,165.619598
"2021-06-28",167.830002,170.949997,165.970001,169.050003,670700,167.883865
"2021-06-29",170,170.529999,166.850006,167.539993,606000,166.384262
"2021-06-30",166.660004,168.600006,166.369995,168.460007,589300,167.297928
"2021-07-01",170,172.240005,169.369995,172.029999,677000,170.843307
"2021-07-02",172.139999,172.520004,169.889999,170.649994,501300,169.472809
"2021-07-06",171,171.160004,166.570007,168.559998,665800,167.397232
"2021-07-07",168,171.600006,166.789993,170.039993,741100,168.867035
"2021-07-08",165.690002,168.449997,163.199997,167.910004,731500,166.751724
"2021-07-09",170.5,176.320007,169.5,175.509995,1314100,174.299301
"2021-07-12",176.710007,192.770004,176.009995,187.490005,3652500,186.196671
"2021-07-13",185.899994,188.990005,184.050003,184.860001,1098900,183.584793
"2021-07-14",185.5,190.529999,181.339996,182.520004,1126600,181.260956
"2021-07-15",182.649994,190.320007,182.649994,185.830002,1478700,184.548111
"2021-07-16",187,188.940002,179.460007,180.660004,978100,179.413788
"2021-07-19",174.199997,179.649994,170.240005,178.080002,1756500,176.851578
"2021-07-20",179,188.710007,178.570007,187.25,1268200,185.958298
"2021-07-21",194,198.330002,189.229996,190.220001,1826100,188.907806
"2021-07-22",191.940002,194.330002,189.289993,192.759995,811300,191.430298
"2021-07-23",192.070007,193.679993,186.25,190.350006,905500,189.036926
"2021-07-26",191,194.919998,190.520004,194.839996,1038200,193.495956
"2021-07-27",191.570007,191.990005,184.949997,188.990005,1197000,187.68631
"2021-07-28",190.009995,195.5,189.380005,194.539993,774900,193.198029
"2021-07-29",197.190002,211,195.809998,202.820007,2550000,201.420898
"2021-07-30",202.820007,207.589996,201.509995,206.039993,1556400,204.618683
"2021-08-02",208.360001,208.960007,204.630005,206.899994,1109900,205.472748
