"","PYPL.Open","PYPL.High","PYPL.Low","PYPL.Close","PYPL.Volume","PYPL.Adjusted"
"2021-08-06",280,282.369995,276.869995,279.540009,6086300,279.540009
"2021-08-09",280.220001,281.100006,277.459991,278.149994,3823000,278.149994
"2021-08-10",278.940002,280.48999,272.5,274.369995,6264100,274.369995
"2021-08-11",277.441986,278.234985,273.130005,276.410004,5785900,276.410004
"2021-08-12",274.25,276.804993,273.059998,274.589996,4509100,274.589996
"2021-08-13",276.170013,276.809998,274.609985,274.910004,4097200,274.910004
"2021-08-16",273.730011,279.190002,273.559998,278.279999,5283700,278.279999
"2021-08-17",275.25,275.545013,269.079987,271.100006,7966100,271.100006
"2021-08-18",271.01001,272.769989,268.480011,268.839996,4830900,268.839996
"2021-08-19",267.190002,272.01001,266.602997,270.579987,5119900,270.579987
"2021-08-20",269.540009,273.934998,269.540009,272.959991,4179500,272.959991
"2021-08-23",275.75,278.290009,273.019989,276.980011,5507500,276.980011
"2021-08-24",278.929993,279.579987,276.509003,279.51001,3542600,279.51001
"2021-08-25",279.81601,279.829987,276.769989,277.690002,4392600,277.690002
"2021-08-26",277.890015,278.679993,273.519989,273.619995,3626400,273.619995
"2021-08-27",274.029999,278.890015,273.670013,278.329987,3917000,278.329987
"2021-08-30",279.609985,290.406006,279.079987,288.470001,14631000,288.470001
"2021-08-31",290.929993,292.649994,284.339996,288.660004,8911800,288.660004
"2021-09-01",290.100006,290.899994,286.359985,286.75,5568300,286.75
"2021-09-02",288.899994,288.899994,285.25,285.529999,4645500,285.529999
"2021-09-03",285.029999,290.380005,284.399994,289.130005,5285700,289.130005
"2021-09-07",290.410004,293.679993,288.040009,293.26001,6787500,293.26001
"2021-09-08",296.549988,296.700012,283.329987,285.230011,11039300,285.230011
"2021-09-09",287.450012,289.369995,285.079987,286.880005,4170000,286.880005
"2021-09-10",288.600006,289,284.109985,284.320007,3816600,284.320007
"2021-09-13",286.720001,287.190002,277.799988,280.48999,4836500,280.48999
"2021-09-14",281.843994,283.170013,279.709991,282.23999,4216700,282.23999
"2021-09-15",284.209991,285.75,279.5,282.429993,4056800,282.429993
"2021-09-16",281.040009,283.690002,280.390015,282.970001,3606700,282.970001
"2021-09-17",282.179993,282.5,275.920013,276.339996,8117200,276.339996
"2021-09-20",271.549988,273,265.679993,269.910004,7728300,269.910004
"2021-09-21",271.75,272.299011,267.799988,269.48999,4326100,269.48999
"2021-09-22",270.459991,273.470001,266.5,272.339996,5574100,272.339996
"2021-09-23",274.450012,279.950012,273.779999,279.100006,5409600,279.100006
"2021-09-24",276.019989,278.329987,274.690002,278.109985,3985800,278.109985
