"","XEL.Open","XEL.High","XEL.Low","XEL.Close","XEL.Volume","XEL.Adjusted"
"2021-08-16",69.300003,70.330002,69.18,69.769997,2358000,67.855865
"2021-08-17",69.639999,70.099998,69.449997,69.949997,2026200,68.030937
"2021-08-18",69.769997,70.080002,69.059998,69.330002,2562400,67.427948
"2021-08-19",69.550003,70.459999,69.419998,70.120003,3657600,68.196274
"2021-08-20",69.690002,71.080002,69.57,70.610001,3409800,68.672829
"2021-08-23",70.260002,70.360001,68.989998,68.989998,2809400,67.097275
"2021-08-24",69,69.169998,67.580002,68.290001,2463200,66.416481
"2021-08-25",68.169998,68.849998,67.519997,68.309998,2212300,66.435928
"2021-08-26",68.059998,68.440002,67.580002,68.300003,1637700,66.426208
"2021-08-27",69.139999,69.139999,68.07,68.699997,3288500,66.815224
"2021-08-30",68.529999,69.339996,68.279999,69.029999,1642600,67.136177
"2021-08-31",69.059998,69.410004,68.330002,68.75,2696100,66.863853
"2021-09-01",69.019997,69.959999,68.830002,69.75,1804500,67.836426
"2021-09-02",69.809998,70.360001,69.760002,70.32,1489400,68.390785
"2021-09-03",70.110001,70.419998,69.510002,69.800003,1698000,67.885056
"2021-09-07",69.389999,69.389999,67.900002,67.900002,2292400,66.037178
"2021-09-08",67.760002,69.379997,67.620003,69.309998,2069700,67.408485
"2021-09-09",69.050003,69.550003,68.790001,69.269997,2791300,67.369598
"2021-09-10",69.230003,69.230003,67.709999,67.760002,2307700,65.901016
"2021-09-13",68.209999,68.5,67.029999,67.080002,2438300,65.239677
"2021-09-14",66.93,67.07,66.029999,66.110001,2567000,64.738297
"2021-09-15",65.610001,66.25,65.300003,65.449997,3058100,64.091988
"2021-09-16",65.349998,65.940002,64.910004,65,3098700,63.651329
"2021-09-17",64.82,65.080002,63.799999,64,6977400,62.672077
"2021-09-20",64.349998,64.419998,62.970001,63.439999,5245300,62.123695
"2021-09-21",63.580002,64.099998,63.200001,63.290001,3125200,61.97681
"2021-09-22",63.259998,63.790001,62.98,63.189999,3422200,61.878887
"2021-09-23",63.029999,63.689999,62.84,62.900002,2489000,61.594906
"2021-09-24",62.939999,63.509998,62.720001,63.32,3806300,62.006184
"2021-09-27",63.220001,63.709999,62.18,62.25,3321400,60.958389
"2021-09-28",62.279999,62.43,61.16,61.419998,4454500,60.145607
"2021-09-29",61.490002,63.049999,61.200001,62.669998,3013500,61.369675
"2021-09-30",62.619999,63.02,62.240002,62.5,3965800,61.203205
"2021-10-01",63.700001,63.720001,62.41,62.490002,4275100,61.193409
"2021-10-04",62.389999,64.139999,62.279999,63.900002,4925400,62.574154
"2021-10-05",64,64.080002,63.150002,63.299999,3376400,61.986603
"2021-10-06",63.060001,64.389999,62.82,64.330002,2996300,62.995232
"2021-10-07",64.5,65.110001,63.919998,63.970001,2877600,62.642704
"2021-10-08",63.990002,64.099998,63.099998,63.200001,2034300,61.888676
"2021-10-11",62.470001,63.029999,61.610001,62.439999,5239600,61.144444
"2021-10-12",62.389999,63.09,62.16,63,4038300,61.692829
"2021-10-13",63.889999,64.489998,63.09,64.389999,4936300,63.053986
"2021-10-14",64.559998,65.82,64.269997,65.43,4858700,64.072403
"2021-10-15",65.480003,66,65.190002,65.93,15991200,64.562035
"2021-10-18",65.419998,65.489998,64.360001,64.68,3150500,63.337971
"2021-10-19",65.370003,65.370003,64.620003,64.93,2631800,63.582787
"2021-10-20",65.169998,65.900002,65.139999,65.57,2486500,64.209503
"2021-10-21",65.650002,65.900002,65.290001,65.610001,2344300,64.248672
"2021-10-22",65.800003,65.989998,65.480003,65.550003,1978800,64.189919
"2021-10-25",65.489998,65.489998,64.559998,64.660004,2402800,63.318386
"2021-10-26",64.720001,65.059998,64.440002,64.480003,3925600,63.142128
"2021-10-27",64.650002,64.93,63.130001,63.389999,3546000,62.074734
"2021-10-28",63.080002,64.589996,62.330002,64.330002,3178400,62.995232
"2021-10-29",65.519997,65.599998,64.089996,64.589996,4082900,63.249836
"2021-11-01",64.410004,64.779999,64.110001,64.5,2502400,63.161705
"2021-11-02",64.870003,65.050003,64.080002,64.709999,2395400,63.367348
"2021-11-03",64.349998,64.830002,62.959999,63.5,2397000,62.182453
"2021-11-04",63.419998,63.810001,62.689999,63.07,5254700,61.761375
"2021-11-05",63.41,64.139999,63.27,63.799999,4477200,62.476231
"2021-11-08",63.84,63.990002,62.360001,62.740002,2656200,61.438225
"2021-11-09",62.810001,63.810001,62.689999,63.599998,6245000,62.280376
"2021-11-10",63.830002,64.5,63.610001,64.389999,2254900,63.053986
"2021-11-11",64.300003,64.300003,63.040001,63.5,1899400,62.182453
"2021-11-12",63.43,63.619999,62.799999,63.130001,3844200,61.820133
"2021-11-15",63.27,64.349998,63.169998,64.309998,2180300,62.975639
"2021-11-16",64.349998,64.75,64.07,64.110001,2891200,62.779797
"2021-11-17",63.959999,65.050003,63.68,64.970001,3527700,63.621952
"2021-11-18",64.769997,64.769997,64.010002,64.330002,2432600,62.995232
"2021-11-19",64.309998,65.239998,64.120003,65.099998,2924400,63.749252
"2021-11-22",65.339996,67.029999,64.959999,66.309998,5212500,64.934143
"2021-11-23",66.120003,66.5,65.529999,65.839996,1922300,64.4739
"2021-11-24",65.879997,65.940002,65.300003,65.550003,2055500,64.189919
"2021-11-26",65.519997,66.080002,64.620003,64.760002,2144000,63.416309
"2021-11-29",64.720001,65.779999,64.199997,65.589996,2630200,64.229088
"2021-11-30",65.379997,65.379997,63.5,63.73,4298600,62.407681
"2021-12-01",64.419998,65.57,63.849998,64.209999,3568300,62.87772
"2021-12-02",64.400002,65.25,64.260002,64.650002,2978700,63.308594
"2021-12-03",65.050003,65.580002,64.160004,65.169998,3328200,63.817806
"2021-12-06",65.699997,66.389999,65.139999,65.18,3772100,63.827595
"2021-12-07",65.099998,66.059998,64.849998,66.040001,4990400,64.669754
"2021-12-08",66.099998,67.32,65.919998,67.110001,3039800,65.717552
"2021-12-09",67.050003,67.220001,66.480003,66.800003,3222600,65.413986
"2021-12-10",67.260002,67.449997,66.400002,66.510002,2844000,65.130005
"2021-12-13",66.449997,67.849998,66.449997,67.459999,2500200,66.060287
"2021-12-14",67.32,67.669998,66.720001,67.389999,3102400,65.991745
"2021-12-15",67.660004,68.879997,67.599998,68.82,3457200,67.392075
"2021-12-16",68.580002,69.57,68.309998,68.949997,3774600,67.519371
"2021-12-17",68.339996,68.870003,66.839996,67,5062800,65.609833
"2021-12-20",66.419998,67.239998,65.68,67.120003,2373900,65.727348
"2021-12-21",67.040001,67.260002,66.099998,66.339996,2901100,65.409851
"2021-12-22",65.75,66.940002,65.75,66.730003,2247100,65.794395
"2021-12-23",66.800003,67.029999,66.480003,66.610001,2442400,65.676071
"2021-12-27",66.82,66.940002,66.379997,66.82,1211500,65.883125
"2021-12-28",66.82,67.629997,66.82,67.620003,1213900,66.671913
"2021-12-29",67.720001,68.080002,67.470001,67.959999,1502600,67.007149
"2021-12-30",68.220001,68.290001,67.790001,68.230003,1744500,67.273361
"2021-12-31",67.440002,67.980003,66.419998,67.699997,5704600,66.750786
