"","TAP.Open","TAP.High","TAP.Low","TAP.Close","TAP.Volume","TAP.Adjusted"
"2021-07-22",50.5,50.540001,49.549999,50.450001,1784700,48.987144
"2021-07-23",50.389999,50.43,49.200001,49.700001,3023600,48.258892
"2021-07-26",49.73,50.59,49.509998,50.490002,1832400,49.025986
"2021-07-27",50.299999,50.560001,49.790001,50.009998,1413700,48.559906
"2021-07-28",49.689999,49.889999,49.119999,49.529999,2032900,48.093822
"2021-07-29",50,50.490002,48.419998,49.41,3191800,47.977306
"2021-07-30",49.700001,50.150002,48.799999,48.889999,1704500,47.472382
"2021-08-02",48.889999,50.57,48.889999,49.25,1934500,47.821941
"2021-08-03",49.450001,49.450001,48.400002,49.130001,2020500,47.705421
"2021-08-04",48.740002,49.200001,48,48.02,1531100,46.627609
"2021-08-05",48.290001,48.599998,48.130001,48.299999,1220100,46.899483
"2021-08-06",48.650002,49.580002,48.450001,49.099998,1351800,47.676289
"2021-08-09",49,49.650002,48.889999,49.34,1045700,47.909332
"2021-08-10",49.419998,51.360001,49.41,51.200001,2366000,49.715397
"2021-08-11",51.43,52.150002,51.150002,52.049999,2334800,50.540752
"2021-08-12",52.16,52.16,50.349998,50.369999,1300100,48.909466
"2021-08-13",50.549999,51.189999,50.34,50.540001,1110500,49.074535
"2021-08-16",50.560001,51.02,49.869999,50.380001,945500,48.919178
"2021-08-17",50.07,50.549999,49.389999,49.66,1065300,48.220055
"2021-08-18",49.689999,49.810001,48.849998,48.880001,1097700,47.462673
"2021-08-19",48.84,49.080002,47.869999,48.049999,1309700,46.656734
"2021-08-20",47.91,48.130001,47.610001,47.790001,1531600,46.404274
"2021-08-23",48,48.59,47.630001,48.029999,1252500,46.637314
"2021-08-24",48.18,48.650002,48.040001,48.450001,1019000,47.045135
"2021-08-25",48.369999,48.369999,47.73,47.91,1078400,46.520798
"2021-08-26",47.560001,47.810001,46.860001,47.169998,1757500,45.802254
"2021-08-27",46.98,47.810001,46.77,47.509998,940800,46.467331
"2021-08-30",47.5,47.689999,46.700001,46.740002,1230100,45.714233
"2021-08-31",46.759998,47.810001,46.549999,47.529999,2218400,46.486893
"2021-09-01",47.73,47.830002,47.02,47.27,981700,46.232601
"2021-09-02",47.34,47.66,46.82,47.09,781500,46.056549
"2021-09-03",47.130001,47.23,46.68,46.98,842600,45.948963
"2021-09-07",46.759998,46.849998,45.77,45.82,1730700,44.814423
"2021-09-08",45.84,46.48,45.419998,46.279999,1348000,45.264324
"2021-09-09",45.639999,46.220001,45.02,46.049999,2282900,45.039371
"2021-09-10",46.560001,46.799999,45.540001,45.57,1530900,44.569908
"2021-09-13",45.98,47.59,45.830002,46.939999,1531300,45.90984
"2021-09-14",46.849998,46.900002,46.169998,46.580002,1485800,45.557743
"2021-09-15",46.52,46.73,45.950001,46.57,1391500,45.547958
"2021-09-16",46.470001,46.75,46.209999,46.380001,1360600,45.362133
"2021-09-17",46.200001,46.360001,45.419998,45.799999,3053100,44.794861
"2021-09-20",45.040001,45.400002,44.490002,45.099998,1821100,44.110222
"2021-09-21",45.279999,45.77,44.619999,44.799999,1586500,43.816803
"2021-09-22",45.209999,46.07,44.990002,45.630001,1668200,44.62859
"2021-09-23",45.790001,46.57,45.759998,46.360001,1509000,45.342567
"2021-09-24",46.400002,46.740002,46.240002,46.509998,1073500,45.489277
"2021-09-27",47,49.509998,46.900002,48.799999,2615600,47.729019
"2021-09-28",48.68,48.919998,47.439999,47.490002,1970000,46.447769
"2021-09-29",47.34,47.82,47.110001,47.32,1362000,46.281498
"2021-09-30",47.43,47.529999,46.200001,46.380001,1826000,45.362133
"2021-10-01",46.650002,47.200001,46.209999,47.130001,1192500,46.095673
"2021-10-04",47.220001,48.220001,47.060001,47.610001,1523000,46.565136
"2021-10-05",47.689999,48.43,47.34,48.25,1141200,47.191093
"2021-10-06",47.68,47.959999,46.279999,47.32,2261200,46.281498
"2021-10-07",47.73,48.279999,47.02,47.189999,1535100,46.154354
"2021-10-08",47.259998,47.259998,46.639999,46.77,1415400,45.743572
"2021-10-11",46.549999,46.939999,45.77,45.849998,1574100,44.843761
"2021-10-12",45.869999,46.599998,45.709999,45.77,1073700,44.765518
"2021-10-13",45.759998,46.029999,45.049999,45.790001,1080200,44.78508
"2021-10-14",46.119999,46.59,45.939999,46.330002,977700,45.313229
"2021-10-15",46.299999,46.610001,45.299999,45.619999,1823100,44.618809
"2021-10-18",44.860001,45.310001,44.18,44.970001,1687000,43.983078
"2021-10-19",44.959999,45.049999,44.259998,44.959999,1608900,43.973293
"2021-10-20",45.23,45.830002,45.200001,45.34,1302000,44.344955
"2021-10-21",45.09,45.310001,44.02,44.450001,1634900,43.474491
"2021-10-22",44.27,44.560001,43.970001,44.439999,1216700,43.464706
"2021-10-25",44.380001,44.75,43.52,43.759998,1915200,42.799629
"2021-10-26",43.759998,44.049999,43.119999,43.549999,1576700,42.594242
"2021-10-27",43.720001,43.91,42.880001,43.619999,3033300,42.662701
"2021-10-28",43.98,44.060001,42.459999,43.860001,3524800,42.897434
"2021-10-29",43.689999,45,43.689999,44.09,3058800,43.122387
"2021-11-01",44.110001,45.330002,43.860001,45.18,1574900,44.188465
"2021-11-02",45.049999,45.779999,44.68,45.610001,1605300,44.609032
"2021-11-03",45.610001,47.779999,45.240002,46.849998,2855200,45.821815
"2021-11-04",46.66,46.91,45.330002,46.209999,1646200,45.195858
"2021-11-05",46.610001,47.049999,46.18,46.610001,1360400,45.587082
"2021-11-08",46.669998,46.860001,45.799999,46.09,1209600,45.078495
"2021-11-09",45.98,46.259998,45.380001,45.689999,774400,44.687275
"2021-11-10",45.959999,46.43,45.57,46.040001,1106000,45.029591
"2021-11-11",46,47.52,45.880001,47.34,1166400,46.301064
"2021-11-12",47.34,47.900002,46.77,47.599998,1249800,46.555355
"2021-11-15",47.880001,49.34,47.650002,49.209999,1714400,48.130024
"2021-11-16",49.5,49.650002,48.220001,48.23,1379300,47.171532
"2021-11-17",47.990002,48.099998,47.400002,47.720001,1032200,46.672726
"2021-11-18",47.529999,47.580002,46.439999,46.52,1565700,45.499062
"2021-11-19",46.290001,46.470001,45.549999,45.91,1069200,44.902447
"2021-11-22",46.09,47.52,45.549999,47.470001,1764700,46.428207
"2021-11-23",47.959999,48.16,47.220001,47.73,1371200,46.682499
"2021-11-24",47.59,47.900002,47.040001,47.259998,658000,46.222816
"2021-11-26",45.939999,46.09,45.009998,45.599998,913000,44.599247
"2021-11-29",45.889999,46.099998,44.720001,45.330002,1394400,44.335175
"2021-11-30",44.669998,45.049999,44.080002,44.439999,3047500,43.464706
"2021-12-01",45.299999,45.950001,43.970001,43.98,1541300,43.014801
"2021-12-02",44.310001,45.630001,43.650002,45.380001,2111600,44.729877
"2021-12-03",45.5,45.900002,45.310001,45.75,1509100,45.094574
"2021-12-06",46.389999,48.16,46.330002,46.84,1747500,46.168961
"2021-12-07",46.709999,47.209999,46.240002,46.689999,1177100,46.021107
"2021-12-08",46.490002,46.970001,45.950001,46.110001,1234300,45.449417
"2021-12-09",45.91,46.099998,45.310001,45.57,1293700,44.917149
"2021-12-10",46,46.439999,45.93,46.23,1217400,45.567696
"2021-12-13",46.16,46.549999,45.209999,46.02,1192100,45.360706
"2021-12-14",46.23,46.77,45.779999,45.869999,1158700,45.212852
"2021-12-15",45.75,45.84,44.310001,44.919998,1735200,44.276463
"2021-12-16",45.27,46.029999,44.93,45,2716800,44.355316
"2021-12-17",44.68,45.299999,44.330002,44.740002,4029500,44.099045
"2021-12-20",44.27,44.310001,42.599998,43.380001,2467200,42.758526
"2021-12-21",43.73,44.59,43.619999,44.540001,2167200,43.901909
"2021-12-22",44.540001,45.330002,44.540001,44.66,2069800,44.020191
"2021-12-23",44.889999,45.650002,44.889999,45.59,2374300,44.936863
"2021-12-27",45.540001,45.77,45.209999,45.68,984200,45.025578
"2021-12-28",45.419998,46.110001,45.419998,45.77,815400,45.114288
"2021-12-29",45.59,46.02,45.580002,45.950001,1082100,45.29171
"2021-12-30",46.200001,46.369999,45.84,45.900002,942800,45.242424
"2021-12-31",45.779999,46.509998,45.639999,46.349998,1070000,45.685978
"2022-01-03",46.540001,47.380001,46.470001,47.349998,1262500,46.67165
"2022-01-04",47.799999,49.169998,47.599998,48.900002,1882300,48.199444
"2022-01-05",49.080002,50.040001,49.009998,49.41,2497600,48.702141
"2022-01-06",50.080002,50.540001,49.310001,49.779999,2975800,49.066837
"2022-01-07",49.869999,50.98,49.849998,50.639999,2939500,49.914516
