"","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume","EFX.Adjusted"
"2021-06-09",230.070007,232.270004,228.160004,228.639999,453000,227.132431
"2021-06-10",229.350006,229.740005,227.070007,229.009995,276200,227.5
"2021-06-11",229.410004,231.059998,228.529999,230.960007,398700,229.437149
"2021-06-14",229.949997,231.529999,227.679993,228.850006,802900,227.341049
"2021-06-15",229.369995,232.119995,227.470001,231.429993,333500,229.904022
"2021-06-16",231.630005,231.970001,229.729996,230.899994,493300,229.377518
"2021-06-17",230.679993,234.880005,229.259995,234.25,477800,232.705429
"2021-06-18",233.320007,234.050003,231.550003,232.800003,746100,231.265015
"2021-06-21",233.860001,239,232.360001,238.720001,483800,237.145966
"2021-06-22",239,239.660004,236.509995,238.110001,692500,236.539993
"2021-06-23",237.860001,237.860001,233.940002,234.729996,787300,233.182266
"2021-06-24",236.570007,239.259995,235.080002,239.179993,406500,237.602936
"2021-06-25",239.559998,242.789993,238.830002,238.990005,2090400,237.4142
"2021-06-28",239.130005,239.330002,236.809998,237.449997,552000,235.884323
"2021-06-29",235.949997,239.779999,235.029999,239.309998,521700,237.732071
"2021-06-30",239.270004,240.470001,237.779999,239.509995,523500,237.930756
"2021-07-01",240.520004,242.929993,239.179993,241.169998,676500,239.579803
"2021-07-02",241.139999,244.289993,241.139999,242.339996,614500,240.742096
"2021-07-06",242.949997,246.550003,241.190002,245.889999,671100,244.268692
"2021-07-07",246.080002,248.850006,245.5,248.220001,741400,246.583328
"2021-07-08",244.600006,247.479996,242.809998,244.940002,460300,243.324951
"2021-07-09",246.039993,248.669998,245.449997,248.539993,483900,246.901215
"2021-07-12",248.729996,248.729996,245.520004,247.25,486900,245.619736
"2021-07-13",247.009995,248.029999,244.570007,245.059998,326800,243.444153
"2021-07-14",245.830002,248.580002,245.199997,247.300003,541900,245.669388
"2021-07-15",245.729996,251.130005,245.389999,250.699997,531600,249.046982
"2021-07-16",250.699997,254.949997,250.699997,254.630005,677600,252.951065
"2021-07-19",252.729996,253.509995,246.619995,248.729996,665000,247.089935
"2021-07-20",249.940002,257.649994,249.550003,256.579987,701300,254.888184
"2021-07-21",255.929993,257.890015,253.759995,255.039993,631400,253.358353
"2021-07-22",257.100006,257.100006,245.5,249.720001,961800,248.073441
"2021-07-23",251.119995,253.770004,250.360001,253.070007,1231800,251.401352
"2021-07-26",252.419998,255.190002,251.759995,255.110001,402000,253.427902
"2021-07-27",254.869995,258.350006,254.039993,258.290009,619600,256.586945
"2021-07-28",258.890015,259.450012,254.979996,258.910004,601900,257.202881
"2021-07-29",259.450012,261.359985,258.839996,260.609985,459200,258.891632
"2021-07-30",260.079987,261.540009,258.829987,260.600006,378100,258.881714
"2021-08-02",261.670013,264.290009,258.059998,258.48999,459600,256.785614
"2021-08-03",259.809998,259.950012,255.839996,259.690002,304000,257.977692
"2021-08-04",259.769989,261.160004,255.309998,256.089996,637700,254.401428
"2021-08-05",257.440002,258.170013,253.429993,255.809998,569700,254.123291
"2021-08-06",255,256.359985,252.169998,253.830002,591000,252.156357
"2021-08-09",254,255.240005,252.559998,253.240005,694300,251.570236
"2021-08-10",255.649994,261.790009,253.899994,259.170013,505300,257.461151
"2021-08-11",260.570007,263.320007,259.519989,261.320007,566400,259.596954
"2021-08-12",261.390015,261.660004,258.190002,259.459991,442000,257.749176
"2021-08-13",259.929993,260.859985,259.25,260.100006,360700,258.38501
"2021-08-16",260.119995,260.910004,257.570007,260.709991,352100,258.990936
"2021-08-17",260.660004,262.079987,259.309998,261.920013,474500,260.192993
"2021-08-18",260.019989,261.869995,254.369995,254.470001,351600,252.792114
"2021-08-19",252.639999,259.5,251.550003,258.779999,621600,257.0737
"2021-08-20",258.5,258.920013,255.559998,258.51001,424100,256.805511
"2021-08-23",258.429993,260.75,257.320007,259.859985,347800,258.146545
"2021-08-24",259.859985,260.799988,258.040009,259.109985,373200,257.40152
"2021-08-25",258.929993,265.880005,258.799988,264.910004,487400,263.1633
"2021-08-26",264.679993,264.679993,261.850006,262.98999,623900,261.255951
"2021-08-27",264.600006,269.320007,263.059998,266.859985,474700,265.100403
"2021-08-30",266.940002,268.130005,266.200012,267.200012,297200,265.438202
"2021-08-31",267.190002,273.279999,266.579987,272.26001,659700,270.464844
"2021-09-01",272.410004,273.880005,269.290009,273.709991,486600,271.905243
"2021-09-02",274.950012,278.100006,274.519989,277.920013,374600,276.087524
"2021-09-03",276.049988,279.589996,274.179993,278.279999,301300,276.833588
"2021-09-07",278.269989,278.269989,274.019989,274.190002,502800,272.764862
"2021-09-08",275,278.549988,274.390015,275.570007,627000,274.137665
"2021-09-09",275.059998,276.829987,273.820007,275.890015,878600,274.456055
"2021-09-10",277.940002,278,272.570007,272.869995,714200,271.451721
"2021-09-13",275.429993,276.609985,271.410004,273.850006,649200,272.426636
"2021-09-14",274.609985,278.350006,272.459991,273.859985,680000,272.436554
"2021-09-15",273.970001,274.730011,269.75,273.109985,982500,271.690491
"2021-09-16",272.980011,275.850006,270.619995,274,886400,272.575836
"2021-09-17",273.869995,273.869995,267.809998,268.48999,1725900,267.094452
"2021-09-20",265.529999,266.950012,260.980011,263.220001,672900,261.851868
"2021-09-21",265.230011,265.320007,258.920013,259.380005,1211300,258.03183
"2021-09-22",261.829987,266.170013,261.179993,262.679993,1125500,261.314667
"2021-09-23",263.98999,266.589996,262.619995,265.119995,829300,263.741974
"2021-09-24",263.600006,266.200012,263.040009,265.5,376300,264.120026
"2021-09-27",264.440002,265.140015,260.350006,262.480011,643300,261.115723
"2021-09-28",260.869995,260.869995,254.330002,256.5,540000,255.166794
"2021-09-29",257.869995,259.600006,255.440002,256.549988,521400,255.216537
"2021-09-30",258.149994,258.519989,253.369995,253.419998,656700,252.102814
"2021-10-01",255.589996,257.23999,252.009995,256.309998,561500,254.977798
"2021-10-04",255.509995,257.709991,249.029999,253.399994,447000,252.082901
"2021-10-05",254.630005,259.100006,253.839996,258.5,474800,257.156372
"2021-10-06",255.949997,257.119995,252.5,257.019989,470000,255.684113
"2021-10-07",259.149994,262.579987,258.76001,259.359985,539100,258.011902
"2021-10-08",259.730011,260.519989,257.519989,258.679993,285300,257.335449
"2021-10-11",257.589996,261.450012,257.23999,257.609985,324900,256.271027
"2021-10-12",259.519989,259.609985,254.800003,255.630005,467200,254.301331
"2021-10-13",256.429993,256.429993,251.669998,254.940002,474300,253.614914
"2021-10-14",257.679993,261.570007,257.220001,261.049988,394000,259.693146
"2021-10-15",262.630005,264.26001,262.390015,263.950012,338900,262.578094
"2021-10-18",263.170013,269.149994,262.450012,268.920013,522300,267.522278
"2021-10-19",269.25,273.829987,267.890015,273.179993,601500,271.760071
"2021-10-20",273.980011,276.230011,268.070007,269.73999,715100,268.338013
"2021-10-21",245,262.950012,240.110001,255.470001,2238100,254.142166
"2021-10-22",255.509995,270.910004,255.5,268.279999,1068200,266.88559
"2021-10-25",268.279999,276.5,267.26001,274.779999,881000,273.351807
"2021-10-26",276.410004,277.910004,267.720001,270.970001,663800,269.561615
"2021-10-27",270.480011,270.970001,266,267.339996,531000,265.950439
"2021-10-28",267.320007,275.549988,267.320007,275.540009,498800,274.107819
"2021-10-29",275.23999,279.290009,274.609985,277.429993,589700,275.988007
"2021-11-01",278.75,279.459991,275.220001,277.549988,420500,276.107361
