"","PKI.Open","PKI.High","PKI.Low","PKI.Close","PKI.Volume","PKI.Adjusted"
"2021-10-01",173.240005,174.309998,169.169998,173.600006,545300,173.301804
"2021-10-04",173,174.259995,169.839996,171.089996,572100,170.796112
"2021-10-05",171.850006,174.419998,170.039993,170.059998,1088200,169.767883
"2021-10-06",168.440002,170.759995,168.169998,170.25,523200,169.95755
"2021-10-07",171.539993,174.199997,170.5,171,491400,170.706268
"2021-10-08",171.539993,172.899994,169.160004,169.970001,472000,169.67804
"2021-10-11",169.050003,170.589996,168.449997,168.520004,869500,168.230545
"2021-10-12",169.830002,170.059998,165.899994,166.660004,860200,166.373734
"2021-10-13",168.190002,169.029999,166.270004,168,567800,167.711426
"2021-10-14",170.119995,172.559998,169.330002,169.679993,472500,169.388535
"2021-10-15",170.339996,172.229996,169.440002,169.820007,470600,169.528305
"2021-10-18",169.820007,170.759995,169.289993,170.389999,530700,170.097321
"2021-10-19",171.619995,173.570007,171.119995,171.619995,514000,171.325195
"2021-10-20",173.270004,177.070007,173.270004,176.580002,597500,176.276688
"2021-10-21",177,177.009995,173.699997,176.5,375700,176.266693
"2021-10-22",176.820007,178.059998,175.089996,176.380005,300400,176.146851
"2021-10-25",176.850006,179.050003,175.360001,177.190002,444400,176.955795
"2021-10-26",178.279999,178.940002,175.699997,176.979996,281800,176.746063
"2021-10-27",176.850006,177.059998,173.789993,173.789993,439200,173.560287
"2021-10-28",174.279999,177.369995,174.179993,177.330002,594500,177.095612
"2021-10-29",177.169998,178.240005,175.490005,176.889999,580200,176.656174
"2021-11-01",176.899994,177.759995,174.559998,176.360001,533400,176.126892
"2021-11-02",176.800003,177.779999,175.190002,176.309998,764400,176.076935
"2021-11-03",182.889999,182.889999,170,174.089996,1340600,173.859879
"2021-11-04",174,174.130005,168.669998,171.990005,611000,171.762665
"2021-11-05",170.089996,171.029999,162.649994,168.839996,1014600,168.616821
"2021-11-08",169.619995,174.240005,169.619995,173.190002,596900,172.961075
"2021-11-09",173.190002,176.770004,173.190002,174.550003,800100,174.31929
"2021-11-10",174.309998,176.369995,173.630005,175.880005,755800,175.647507
"2021-11-11",176.729996,179.059998,176.419998,179.020004,694400,178.783386
"2021-11-12",179.720001,183.690002,177.869995,183.589996,1153000,183.347321
"2021-11-15",184.039993,186.389999,182.479996,183.360001,867800,183.11763
"2021-11-16",182.300003,187.809998,182,187.509995,924600,187.262146
"2021-11-17",188,189.509995,184.460007,187.389999,702000,187.142303
"2021-11-18",187.399994,188.850006,184.570007,187.300003,485700,187.052429
"2021-11-19",189.070007,191.910004,188.119995,188.820007,819700,188.570419
"2021-11-22",188.25,189.589996,181.360001,181.759995,922800,181.519745
"2021-11-23",180.600006,183.050003,176.580002,179.619995,712300,179.382568
"2021-11-24",178.960007,180.899994,176.5,176.949997,1015200,176.71611
"2021-11-26",178.449997,187.050003,178.009995,183.089996,633300,182.847977
"2021-11-29",182.720001,186.630005,180.990005,185.220001,1182500,184.975174
"2021-11-30",185.270004,188.369995,181.710007,182.160004,1383700,181.91922
"2021-12-01",181.639999,187.309998,179.020004,185.139999,1027600,184.895279
"2021-12-02",183.869995,187.800003,178.639999,179.990005,1157700,179.752106
"2021-12-03",181.309998,184.399994,176.729996,183.169998,1182800,182.927887
"2021-12-06",181.429993,183.149994,174.669998,181.479996,1352300,181.240112
"2021-12-07",183.889999,187.850006,183.570007,185.570007,779900,185.324722
"2021-12-08",186.190002,191.039993,185.149994,190.320007,849900,190.068436
"2021-12-09",190.029999,192.630005,187.009995,187.429993,837200,187.182251
"2021-12-10",187.25,188.850006,185.679993,187.779999,917300,187.531799
"2021-12-13",188.5,189.279999,187.089996,187.419998,863300,187.172256
"2021-12-14",185.690002,186.580002,181.809998,182.190002,1378100,181.949188
"2021-12-15",183,190.889999,183,190.559998,1688000,190.308121
"2021-12-16",192.5,192.850006,186.880005,187.770004,1524300,187.521805
"2021-12-17",185.940002,191.779999,184.600006,187.589996,5121800,187.342041
"2021-12-20",185.639999,188.690002,184.820007,188.220001,1471600,187.971207
"2021-12-21",188.360001,190.419998,187.009995,189.039993,1562500,188.790115
"2021-12-22",189.559998,191.899994,189.559998,191.509995,819700,191.256851
"2021-12-23",191.699997,194.419998,191.139999,193.770004,622300,193.51387
"2021-12-27",196,198.740005,194.270004,197.979996,714200,197.718292
"2021-12-28",198.639999,199.149994,194.740005,195.360001,520600,195.101761
"2021-12-29",195.699997,198.009995,195.259995,197.479996,417900,197.218964
"2021-12-30",197.619995,201.029999,197.539993,199.559998,493300,199.296219
"2021-12-31",199.110001,203.160004,199.089996,201.059998,759100,200.79422
"2022-01-03",199.429993,201.050003,189.919998,192.199997,1124500,191.945953
"2022-01-04",190.470001,190.470001,180.369995,183.449997,2186700,183.207504
