"","VTR.Open","VTR.High","VTR.Low","VTR.Close","VTR.Volume","VTR.Adjusted"
"2021-03-12",56.360001,56.990002,55.93,56.549999,3133200,53.855125
"2021-03-15",56.619999,57.110001,55.990002,56.740002,2328600,54.036072
"2021-03-16",56.740002,56.759998,55.009998,55.889999,2081000,53.226574
"2021-03-17",56.02,57.16,55.779999,57.139999,2243600,54.417007
"2021-03-18",56.700001,56.919998,54.900002,55.040001,1813800,52.417088
"2021-03-19",54.869999,56.02,54.25,54.48,3492500,51.88377
"2021-03-22",54.48,54.610001,53.259998,53.810001,2029300,51.245697
"2021-03-23",53.610001,54.200001,53.240002,53.759998,2967700,51.198078
"2021-03-24",53.68,54.950001,53.41,53.619999,1982800,51.064751
"2021-03-25",53.490002,53.810001,51.970001,53.580002,2469700,51.026661
"2021-03-26",53.939999,54.93,53.43,54.869999,1873100,52.25518
"2021-03-29",54.529999,54.68,53.25,54.150002,1516800,51.5695
"2021-03-30",54.02,55.52,54.02,54.720001,1960900,52.112335
"2021-03-31",54.049999,54.27,53.279999,53.34,2560100,51.219307
"2021-04-01",53.34,54.689999,53.049999,54.400002,2634300,52.237167
"2021-04-05",54.75,54.93,53.009998,53.689999,2619200,51.555393
"2021-04-06",53.689999,54.73,53.52,54.560001,3053500,52.390808
"2021-04-07",54.779999,54.91,53.939999,54.5,2871600,52.333187
"2021-04-08",54.84,55.18,54.240002,54.91,3091600,52.726887
"2021-04-09",54.990002,55.34,54.41,54.740002,2472000,52.563652
"2021-04-12",54.860001,55.130001,54.099998,55.09,2739300,52.899734
"2021-04-13",55.169998,55.5,54.799999,55.200001,1859100,53.00536
"2021-04-14",55.32,55.689999,54.52,54.540001,2345200,52.371601
"2021-04-15",54.830002,55.73,54.509998,55.639999,1404000,53.427864
"2021-04-16",55.959999,56.18,55.389999,55.41,2247500,53.207012
"2021-04-19",55.369999,55.419998,54.68,54.799999,1778700,52.621262
"2021-04-20",54.57,55.599998,54.57,55.48,2148000,53.274227
"2021-04-21",55.509998,55.950001,55.060001,55.709999,1592900,53.495087
"2021-04-22",55.950001,56.240002,55.259998,55.290001,1784400,53.091778
"2021-04-23",55.330002,55.330002,54.450001,54.77,2668500,52.592457
"2021-04-26",55.200001,56.09,55.09,55.610001,1397400,53.399055
"2021-04-27",55.669998,56.07,55.369999,55.650002,1609600,53.437473
"2021-04-28",55.650002,56.080002,55.110001,55.259998,1848700,53.062973
"2021-04-29",55.75,56.720001,55.450001,55.799999,1627300,53.581501
"2021-04-30",55.57,55.84,55.279999,55.459999,1946200,53.255024
"2021-05-03",55.68,56.470001,55.360001,55.939999,1931000,53.715939
"2021-05-04",56,56.41,54.970001,55.360001,2286100,53.158997
"2021-05-05",55.130001,55.139999,52.91,53.310001,2389800,51.190502
"2021-05-06",53.68,54.169998,53.220001,54.009998,2576700,51.862667
"2021-05-07",53.259998,55.200001,53.259998,54.77,2397400,52.592457
"2021-05-10",54.970001,56.59,54.66,54.93,2555900,52.746094
"2021-05-11",54.41,54.41,52.889999,53.610001,2303900,51.478577
"2021-05-12",53.650002,53.82,52.040001,52.18,2409200,50.105427
"2021-05-13",52.52,54.23,52.5,53.630001,3026200,51.49778
"2021-05-14",53.709999,54.77,53.709999,54.639999,1975600,52.467621
"2021-05-17",54.490002,55.029999,54.040001,54.27,2055500,52.112335
"2021-05-18",54.029999,54.970001,53.639999,54.02,1342600,51.872272
"2021-05-19",53.459999,54.150002,52.689999,54.130001,1861300,51.977901
"2021-05-20",54.029999,54.599998,53.740002,54.369999,1416800,52.208355
"2021-05-21",54.380001,54.740002,53.939999,54.150002,1476200,51.997112
"2021-05-24",54.630001,55.419998,54.470001,55.169998,1427300,52.976547
"2021-05-25",55.080002,55.59,54.810001,55.400002,1797700,53.197411
"2021-05-26",55.619999,56.310001,55.040001,55.630001,1359300,53.418262
"2021-05-27",55.91,56.009998,55.150002,55.150002,1771900,52.957352
"2021-05-28",55.740002,55.779999,54.880001,55.450001,1662300,53.245422
"2021-06-01",55.77,57.189999,55.529999,57.099998,1558700,54.829819
"2021-06-02",57.310001,58.43,56.970001,58.299999,2238100,55.982105
"2021-06-03",58.299999,58.299999,56.73,56.889999,1715200,54.628162
"2021-06-04",57.060001,57.060001,55.849998,56.759998,1478900,54.503334
"2021-06-07",56.889999,57.639999,56.650002,57.139999,1265200,54.868225
"2021-06-08",57.16,57.450001,56.950001,57.360001,1850900,55.079483
"2021-06-09",57.57,58.380001,57.34,57.700001,1296600,55.405968
"2021-06-10",57.950001,57.98,57.130001,57.689999,1618900,55.396362
"2021-06-11",58.09,58.27,57.450001,58.09,1531800,55.780457
"2021-06-14",58.330002,58.959999,58.209999,58.959999,1023500,56.615868
"2021-06-15",59.650002,59.75,58.369999,58.439999,1548000,56.116539
"2021-06-16",58.459999,59.029999,57.700001,57.77,1622600,55.473179
"2021-06-17",57.619999,58.040001,57.07,57.810001,1749400,55.511589
"2021-06-18",57.529999,58.119999,56.540001,56.57,4291800,54.320892
"2021-06-21",57,57.82,56.68,57.619999,1506300,55.329147
"2021-06-22",57.669998,58.939999,57.549999,58.540001,2153200,56.212574
"2021-06-23",58.540001,59.52,58.23,59.240002,2537600,56.884739
"2021-06-24",59.130001,59.16,57.650002,57.959999,1662500,55.655628
"2021-06-25",57.889999,58.349998,57.639999,58.310001,2089400,55.991711
"2021-06-28",57.25,58.169998,56.48,58.009998,4456600,55.703636
"2021-06-29",58.02,58.169998,57.259998,57.869999,3429100,55.569202
"2021-06-30",57.630001,58.099998,56.880001,57.099998,4281600,55.259518
"2021-07-01",56.759998,57.849998,56.43,57.209999,3659300,55.365974
"2021-07-02",57.439999,57.700001,56.540001,57.27,3042000,55.424042
"2021-07-06",57.310001,57.860001,56.119999,57.740002,2722200,55.878891
"2021-07-07",57.330002,57.759998,57.099998,57.549999,4165400,55.695015
"2021-07-08",57.130001,58.099998,56.799999,57.57,3174900,55.714367
"2021-07-09",58.060001,58.669998,57.529999,58.639999,4319900,56.749878
"2021-07-12",58.470001,59.610001,58.259998,59.450001,3417700,57.533772
"2021-07-13",59.240002,59.599998,58.779999,58.950001,6530400,57.049889
"2021-07-14",58.75,59.790001,58.630001,59.669998,3663800,57.746677
"2021-07-15",59.450001,59.700001,58.919998,59.310001,1969400,57.398285
"2021-07-16",59.59,59.939999,59.459999,59.619999,1903800,57.698288
"2021-07-19",58.869999,58.990002,56.990002,57.549999,2875900,55.695015
"2021-07-20",57.869999,60.380001,57.810001,60.080002,2874300,58.143467
"2021-07-21",60.400002,61.09,60.27,60.400002,1664100,58.453152
"2021-07-22",60.150002,60.150002,59.290001,60.130001,1423100,58.191856
"2021-07-23",60.419998,60.759998,59.68,59.849998,1178600,57.920879
"2021-07-26",59.77,60.27,59.18,59.75,1319400,57.8241
"2021-07-27",59.669998,60.400002,59.130001,60.040001,1483400,58.104752
"2021-07-28",60.290001,60.360001,59.27,59.540001,1215200,57.620872
"2021-07-29",59.66,60.59,59.580002,59.639999,1178100,57.717644
"2021-07-30",59.810001,60.950001,59.610001,59.779999,1747100,57.853134
"2021-08-02",60.02,61.02,59.200001,59.279999,1523700,57.369251
"2021-08-03",59.43,59.57,58.619999,59.48,1589200,57.562805
"2021-08-04",59.459999,59.630001,58.549999,58.720001,1527700,56.827301
"2021-08-05",59.130001,60,58.59,59.98,1330000,58.046688
"2021-08-06",59.5,60.779999,58.009998,58.299999,2507700,56.420837
"2021-08-09",58,58.189999,57.009998,57.419998,2474200,55.569199
"2021-08-10",57.330002,57.740002,56.790001,56.830002,4103900,54.998219
"2021-08-11",57.240002,57.419998,56.52,56.91,2145600,55.075645
"2021-08-12",56.950001,57.18,56.220001,56.560001,1488300,54.736923
"2021-08-13",56.84,57.130001,56.290001,57.09,1900600,55.24984
"2021-08-16",56.790001,57.279999,56.16,56.560001,1565000,54.736923
"2021-08-17",56.16,56.41,55.200001,56.220001,2115400,54.407887
"2021-08-18",56.049999,56.099998,55.049999,55.32,1966100,53.536888
"2021-08-19",55.02,55.48,53.93,54.57,2144700,52.811066
"2021-08-20",54.349998,55.049999,53.57,54.59,2794200,52.830421
"2021-08-23",54.759998,55.040001,53.880001,54.23,1278600,52.482029
"2021-08-24",54.240002,54.689999,53.77,54.529999,1803600,52.772358
"2021-08-25",54.490002,55.75,54.130001,55.130001,2386200,53.35302
"2021-08-26",55.43,55.48,54.5,54.540001,1264500,52.782032
"2021-08-27",54.799999,56.040001,54.650002,55.290001,1267500,53.507858
"2021-08-30",55.209999,55.59,54.799999,55.43,1862100,53.643345
"2021-08-31",55.23,56.07,55.049999,55.939999,2377500,54.136906
"2021-09-01",56.279999,57.09,56.040001,56.540001,2204600,54.717567
"2021-09-02",56.790001,56.860001,56.139999,56.68,1979900,54.853054
"2021-09-03",56.5,56.5,55.77,56.310001,1776900,54.494984
"2021-09-07",57.209999,57.209999,55.029999,55.810001,1974900,54.011105
"2021-09-08",55.509998,56.560001,55.23,56.310001,1767500,54.494984
"2021-09-09",56.07,57.060001,55.830002,56.200001,1823800,54.388527
"2021-09-10",56.259998,56.610001,55.599998,56.189999,1403400,54.378849
"2021-09-13",56.720001,58.209999,56.470001,57.650002,2426300,55.79179
"2021-09-14",58.040001,58.18,56.779999,57.389999,1804800,55.540169
"2021-09-15",57.330002,57.849998,57.099998,57.119999,2207000,55.278873
"2021-09-16",57.060001,58.299999,56.98,57.68,2294200,55.820824
"2021-09-17",57.560001,57.779999,56.950001,57.099998,5101500,55.259518
"2021-09-20",56.41,57.689999,55.700001,56.5,7364400,54.678856
"2021-09-21",56.82,57.599998,56.349998,56.360001,2525900,54.543369
"2021-09-22",56.84,57.060001,56.080002,56.209999,2229300,54.398201
"2021-09-23",56.75,57.150002,56.450001,56.48,3054300,54.659504
"2021-09-24",56.220001,56.630001,55.009998,55.380001,2968300,53.594959
"2021-09-27",55.630001,56.700001,55.41,55.619999,2622100,53.827217
"2021-09-28",55.360001,55.830002,54.919998,55.360001,2321400,53.575603
"2021-09-29",55.450001,56.419998,55.389999,56.41,2489200,54.591759
"2021-09-30",56.119999,56.119999,55.009998,55.209999,2748500,53.860096
"2021-10-01",55.639999,56.400002,54.990002,56.080002,1502800,54.708824
"2021-10-04",55.98,56.650002,55.900002,56.290001,1988100,54.913692
"2021-10-05",56.150002,56.290001,53.880001,54.200001,4049900,52.87479
"2021-10-06",53.740002,54.52,52.779999,54.459999,2185400,53.128433
"2021-10-07",54.540001,55.27,54.439999,54.709999,1373800,53.372322
"2021-10-08",54.630001,55.040001,54.5,54.580002,739200,53.245502
"2021-10-11",54.490002,54.860001,54.060001,54.630001,998800,53.294277
"2021-10-12",54.5,55.540001,54.369999,54.900002,1772200,53.557678
"2021-10-13",54.689999,55.139999,54.25,55.099998,1346700,53.752785
"2021-10-14",55.57,56.360001,55.360001,55.93,1058100,54.562492
"2021-10-15",56.369999,56.560001,55.77,55.970001,2974600,54.601517
"2021-10-18",55.619999,55.919998,55.32,55.73,1466100,54.367382
"2021-10-19",55.939999,56.189999,55.470001,55.900002,1084400,54.533226
"2021-10-20",55.900002,56.939999,55.32,56.900002,1243300,55.508774
"2021-10-21",56.950001,57,55.939999,56.18,804500,54.806377
"2021-10-22",56.029999,56.450001,54.98,55.049999,1105700,53.704006
"2021-10-25",55.060001,55.060001,54.240002,54.52,1641100,53.18697
"2021-10-26",54.759998,54.849998,54.18,54.43,1303700,53.099167
"2021-10-27",54.610001,55.25,54.209999,54.919998,1359500,53.577183
