"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"2021-06-11",116.239998,116.360001,114.870003,115.419998,4471400,109.655495
"2021-06-14",115.07,115.480003,114.190002,115.400002,4427600,109.636497
"2021-06-15",115.360001,115.940002,114.519997,115.830002,3590500,110.045021
"2021-06-16",116.220001,116.529999,115.169998,115.529999,6670200,109.760002
"2021-06-17",114.980003,115.889999,114.029999,114.900002,4172300,109.161469
"2021-06-18",113.639999,114.199997,113.050003,113.120003,7415400,107.470367
"2021-06-21",113.690002,115.25,112.769997,114.730003,4666100,108.999954
"2021-06-22",114.489998,115.279999,113.879997,114.699997,4359900,108.971458
"2021-06-23",114.550003,115.029999,113.949997,114,3837300,108.306419
"2021-06-24",114.419998,116.190002,114.260002,114.739998,7712300,109.009453
"2021-06-25",112.900002,113.589996,112.139999,112.980003,11709400,107.337372
"2021-06-28",113.260002,114.110001,112.839996,113,5141800,107.356361
"2021-06-29",112.650002,112.75,111.610001,112.300003,5795100,106.691322
"2021-06-30",112.209999,112.919998,111.629997,112.639999,5042600,107.014336
"2021-07-01",112.949997,114.550003,112.889999,114.260002,5306900,108.553436
"2021-07-02",114.519997,115.489998,113.889999,115.169998,5719500,109.417976
"2021-07-06",115.169998,115.900002,114.769997,115.730003,7172100,109.95002
"2021-07-07",115.910004,116.970001,115.309998,116.75,6695100,110.919075
"2021-07-08",115.760002,116.809998,115.68,116.349998,3948800,110.539055
"2021-07-09",116.300003,117.330002,116.110001,116.580002,4823400,110.757568
"2021-07-12",116.800003,118.349998,116.620003,117.629997,8148400,111.755119
"2021-07-13",117.589996,118.089996,116.690002,117.910004,6540300,112.021141
"2021-07-14",116.870003,117.550003,116.389999,117.360001,6543400,112.741631
"2021-07-15",116.809998,117.489998,115.75,117.18,4544600,112.56871
"2021-07-16",117.910004,118.330002,116.919998,117.5,6826100,112.876114
"2021-07-19",116.669998,117,113.739998,115.419998,6762000,110.877968
"2021-07-20",115.550003,117.730003,115.459999,116.050003,5581400,111.483185
"2021-07-21",116.639999,117.07,115.790001,116.989998,4133800,112.386192
"2021-07-22",116.639999,117.910004,116.389999,117.540001,6257000,112.914543
"2021-07-23",117.980003,118.669998,117.57,118.190002,4411100,113.538963
"2021-07-26",118.129997,118.470001,117.269997,117.790001,3730100,113.154709
"2021-07-27",117.790001,118.300003,116.760002,117.959999,3773100,113.318008
"2021-07-28",117.629997,118.93,117.300003,118.550003,5650400,113.884796
"2021-07-29",119.029999,119.129997,118.150002,118.870003,4632200,114.1922
"2021-07-30",119,119.150002,116.120003,116.300003,9017200,111.723343
"2021-08-02",116.889999,117.239998,115.410004,115.449997,9245500,110.906792
"2021-08-03",115.669998,116.309998,114.889999,116.25,5902700,111.675308
"2021-08-04",115.779999,116.519997,114.910004,115.080002,4602000,110.551353
"2021-08-05",115.129997,115.559998,114.449997,115.120003,5132400,110.589783
"2021-08-06",115.260002,115.550003,114.43,114.449997,5340400,109.946136
"2021-08-09",114.580002,115.190002,113.739998,114.059998,5277900,109.571487
"2021-08-10",114.199997,115.029999,112.919998,114.82,5120800,110.301582
"2021-08-11",115.160004,115.339996,113.550003,113.720001,6840400,109.244873
"2021-08-12",113.959999,115.730003,113.910004,115.639999,4863600,111.08931
"2021-08-13",115.82,116.760002,115.699997,116.480003,4416400,111.896263
"2021-08-16",117,118.620003,116.709999,118.410004,8180500,113.750298
"2021-08-17",118.080002,119.739998,118,119.660004,6551700,114.951118
"2021-08-18",119.169998,119.919998,117.18,117.290001,5586900,112.674385
"2021-08-19",116.209999,118.959999,116.209999,117.93,6145200,113.289185
"2021-08-20",118.099998,119.470001,117.650002,118.82,4112500,114.144165
"2021-08-23",119.800003,120.449997,119.220001,119.360001,4748300,114.662918
