"","GIS.Open","GIS.High","GIS.Low","GIS.Close","GIS.Volume","GIS.Adjusted"
"2021-02-09",57.939999,58.099998,57.349998,57.669998,1744100,55.022739
"2021-02-10",58.009998,58.18,57.450001,58.09,2704900,55.423462
"2021-02-11",58.150002,58.169998,56.700001,56.91,2893100,54.29763
"2021-02-12",56.82,57.150002,56.380001,57.119999,3422700,54.497986
"2021-02-16",56.790001,56.900002,55.869999,56.290001,4162300,53.706085
"2021-02-17",56.040001,56.860001,55.869999,56.810001,3022700,54.202217
"2021-02-18",56.779999,58.400002,56.639999,58.02,3027600,55.35667
"2021-02-19",58.02,58.130001,56.48,56.5,3381600,53.906448
"2021-02-22",56.529999,56.619999,55.57,56.169998,3878900,53.591595
"2021-02-23",56.310001,57.060001,55.950001,56.82,3249700,54.211758
"2021-02-24",56.790001,56.91,56.16,56.200001,3648400,53.620216
"2021-02-25",56.279999,56.84,55.580002,55.84,3846800,53.276741
"2021-02-26",55.93,56.130001,54.869999,55.009998,5642500,52.484844
"2021-03-01",55.139999,55.52,54.630001,54.740002,5634800,52.227234
"2021-03-02",54.880001,55.310001,54.310001,55.07,4198600,52.542084
"2021-03-03",54.869999,55.330002,54.610001,54.889999,3459500,52.370354
"2021-03-04",54.990002,56.32,54.900002,55.290001,5633900,52.751995
"2021-03-05",55.57,57.060001,55.279999,56.779999,6444300,54.173599
"2021-03-08",57.009998,58.299999,56.59,57.759998,3993600,55.108608
"2021-03-09",57.68,58.41,57.27,57.400002,3634800,54.765133
"2021-03-10",57.57,59.259998,56.91,58.560001,6827700,55.871891
"2021-03-11",58.310001,58.880001,58.119999,58.130001,4993000,55.461628
"2021-03-12",58.09,58.830002,57.98,58.75,4302300,56.053165
"2021-03-15",59.16,59.259998,58.59,59.02,4426300,56.310772
"2021-03-16",59,59.720001,58.849998,59.380001,3880900,56.654247
"2021-03-17",59.540001,59.880001,59.16,59.389999,3536800,56.663788
"2021-03-18",59.18,60.200001,59.18,59.900002,4229700,57.150372
"2021-03-19",59.849998,60.43,59.630001,60.07,8212200,57.312572
"2021-03-22",59.919998,61.630001,59.560001,61.450001,6493600,58.629227
"2021-03-23",61.700001,62.02,61,61.189999,5231700,58.381157
"2021-03-24",58.52,59.48,57.810001,58.619999,10643100,55.929131
"2021-03-25",58.48,60.27,58.150002,59.529999,6369200,56.797356
"2021-03-26",59.59,61.150002,58.73,60.970001,5314600,58.171265
"2021-03-29",61.07,62.599998,61,62.490002,6452900,59.621487
"2021-03-30",62.66,62.700001,61.669998,61.790001,4835700,58.953617
"2021-03-31",61.52,62.240002,61.16,61.32,5734500,58.505184
"2021-04-01",61.209999,61.48,60.18,60.919998,7171200,58.123554
"2021-04-05",61.07,62.009998,61.009998,61.529999,4473200,58.705555
"2021-04-06",61.360001,62.060001,61.130001,61.740002,4969600,58.905914
"2021-04-07",61.860001,62.099998,61.169998,61.389999,3846300,58.571976
