"","MS.Open","MS.High","MS.Low","MS.Close","MS.Volume","MS.Adjusted"
"2021-01-15",75.07,75.57,74.150002,75.239998,12882600,71.677269
"2021-01-19",76.519997,76.599998,74.690002,74.989998,14897700,71.439102
"2021-01-20",76.510002,77.760002,74.300003,74.839996,16133000,71.296204
"2021-01-21",75,75.889999,73.739998,74.699997,13591300,71.162834
"2021-01-22",72.550003,74.699997,72.410004,74.129997,15460000,70.61982
"2021-01-25",73.519997,74.019997,71.919998,72.379997,15933100,68.952698
"2021-01-26",72.739998,73.32,71.139999,71.209999,10899700,67.838097
"2021-01-27",69.730003,70.260002,67.849998,68.419998,17002600,65.180206
"2021-01-28",69.440002,70.769997,68.650002,69.32,14986200,66.377144
"2021-01-29",69.010002,70.059998,66.849998,67.050003,17566100,64.203514
"2021-02-01",67.879997,68.120003,67.269997,67.669998,11961600,64.797188
"2021-02-02",69.120003,71.370003,69.019997,70.949997,13893900,67.937943
"2021-02-03",70.870003,71.330002,70.309998,70.599998,8014300,67.602806
"2021-02-04",70.93,72.32,70.769997,72.290001,8889400,69.221046
"2021-02-05",73.099998,73.720001,72.550003,73.220001,8832200,70.11158
"2021-02-08",73.639999,74.290001,73.400002,74.230003,9018100,71.078697
"2021-02-09",73.900002,74.68,73.370003,74.239998,7429900,71.088272
"2021-02-10",74.599998,74.860001,73.550003,74.330002,7465900,71.174454
"2021-02-11",74.330002,74.769997,72.779999,73.720001,6972900,70.590347
"2021-02-12",73.879997,75.019997,73.879997,74.610001,7281200,71.442566
"2021-02-16",76.25,76.419998,75.279999,76.050003,8550600,72.821442
"2021-02-17",75,75.900002,74.709999,75.449997,7807200,72.246902
"2021-02-18",75.150002,75.550003,74.169998,74.830002,7155800,71.653221
"2021-02-19",75.449997,76.360001,75.43,76,7685300,72.773552
"2021-02-22",75.699997,77.989998,75.580002,77.400002,11193700,74.114128
"2021-02-23",77.260002,77.860001,76.260002,77.5,12174600,74.209877
"2021-02-24",77.68,80.099998,77.650002,79.879997,12681500,76.488838
"2021-02-25",80.5,81.400002,78.110001,78.43,11674600,75.10038
"2021-02-26",78.040001,78.849998,76.330002,76.870003,30392200,73.606613
"2021-03-01",78.050003,79.540001,78.040001,79.160004,11450000,75.799408
"2021-03-02",79.809998,81.550003,79.599998,80.790001,11955500,77.360207
"2021-03-03",81.160004,82.940002,81.160004,82.059998,13053000,78.576286
"2021-03-04",82.139999,83.480003,79.809998,81.110001,15809900,77.666611
"2021-03-05",82.410004,82.559998,78.379997,80.870003,16362500,77.436806
"2021-03-08",81.93,82.959999,80.790001,81.099998,10151900,77.657043
"2021-03-09",80.199997,82.330002,79.43,80.849998,11588700,77.417664
"2021-03-10",81.739998,83.419998,81.419998,83.089996,10775800,79.562561
"2021-03-11",82.550003,83.809998,82.489998,83.25,8951500,79.715775
"2021-03-12",84.550003,85.080002,83.790001,84.339996,8691300,80.759499
"2021-03-15",84.900002,85.080002,82.970001,83.860001,9018400,80.299866
"2021-03-16",83.510002,83.699997,81.839996,82.540001,9472000,79.035904
"2021-03-17",83.599998,84.139999,82.449997,83.860001,8049300,80.299866
"2021-03-18",84.730003,86.639999,83.730003,83.940002,10227400,80.37648
"2021-03-19",82.610001,83.610001,81.400002,82.940002,11557600,79.418938
"2021-03-22",82.470001,82.57,81.489998,81.919998,7169900,78.44223
"2021-03-23",81.139999,81.919998,78.849998,79.120003,10235500,75.761108
"2021-03-24",80.099998,81.440002,79.290001,79.330002,8459000,75.962189
"2021-03-25",79.290001,80.379997,78.309998,80.129997,11363800,76.728218
"2021-03-26",81.629997,81.739998,79.050003,79.980003,11107400,76.584595
