"","XRAY.Open","XRAY.High","XRAY.Low","XRAY.Close","XRAY.Volume","XRAY.Adjusted"
"2021-05-19",66.68,67.730003,66.440002,67.629997,1342900,66.852814
"2021-05-20",67.720001,68.370003,67.43,67.949997,1282900,67.169136
"2021-05-21",68.010002,68.82,67.370003,67.480003,1099700,66.704544
"2021-05-24",67.620003,67.989998,67.029999,67.650002,1308300,66.872581
"2021-05-25",67.699997,68.019997,67.019997,67.099998,1440100,66.328903
"2021-05-26",67.110001,67.440002,66.370003,66.900002,1227300,66.131203
"2021-05-27",67.099998,67.18,66.25,66.480003,2399400,65.716026
"2021-05-28",67.540001,67.540001,66.68,66.919998,1293000,66.15097
"2021-06-01",67.269997,67.690002,66.900002,67.360001,1331400,66.585922
"2021-06-02",67.139999,67.449997,65.779999,65.839996,1623000,65.083374
"2021-06-03",65.459999,66.68,64.919998,66.57,831400,65.804993
"2021-06-04",67.099998,67.099998,66.059998,66.279999,955500,65.518326
"2021-06-07",66.660004,66.699997,65.470001,65.519997,1252600,64.767059
"2021-06-08",65.349998,65.93,64.839996,65.720001,946300,64.964767
"2021-06-09",65.849998,66.059998,65.400002,65.690002,590900,64.935104
"2021-06-10",65.93,66.269997,65.650002,66.07,951900,65.310738
"2021-06-11",66.089996,66.279999,65.129997,65.57,1063500,64.81649
"2021-06-14",65.599998,65.599998,64.099998,64.669998,886100,63.92683
"2021-06-15",64.919998,66,64.519997,65.889999,1145300,65.132813
"2021-06-16",65.739998,65.910004,65,65.519997,718800,64.767059
"2021-06-17",65.519997,66.110001,64.489998,65.110001,933900,64.361778
"2021-06-18",64.540001,64.919998,62.959999,63.18,1939300,62.453953
"2021-06-21",63.779999,65.269997,63.150002,64.989998,990900,64.243149
"2021-06-22",65.010002,65.080002,64.120003,64.360001,1126200,63.620396
"2021-06-23",63.689999,64.860001,63.099998,64.07,1708800,63.333725
"2021-06-24",64.050003,64.290001,63.459999,63.77,1208400,63.145584
"2021-06-25",63.939999,64.410004,63.869999,64.18,1251700,63.551571
"2021-06-28",64.279999,64.279999,62.639999,63.220001,1339100,62.600971
"2021-06-29",63.57,63.799999,63.080002,63.25,850500,62.630676
"2021-06-30",63.25,63.490002,62.59,63.259998,910400,62.640572
"2021-07-01",63.709999,64.379997,63.490002,64.029999,1139800,63.403034
"2021-07-02",64.040001,64.089996,63.259998,63.889999,913200,63.264408
"2021-07-06",63.849998,63.98,62.52,63.09,1202000,62.47224
"2021-07-07",62.860001,63.709999,62.59,63.630001,923000,63.006954
"2021-07-08",62.810001,63.610001,61.650002,61.91,1300000,61.303799
"2021-07-09",62.549999,62.740002,62.119999,62.419998,1024000,61.808804
"2021-07-12",62,62.959999,61.759998,62.709999,730500,62.095966
"2021-07-13",62.5,62.68,61.779999,62,763800,61.392918
"2021-07-14",62.049999,62.59,61.889999,62.16,922000,61.55135
"2021-07-15",61.610001,62.48,61.599998,61.799999,1104700,61.194878
"2021-07-16",61.799999,61.799999,60.700001,61.16,1217700,60.561138
"2021-07-19",60.509998,60.82,59.77,60.689999,2316300,60.095745
"2021-07-20",60.959999,63.25,60.810001,62.580002,1690100,61.967239
"2021-07-21",62.93,63.970001,62.93,63.759998,1239000,63.135677
"2021-07-22",63.639999,63.849998,62.830002,63.299999,846500,62.680187
"2021-07-23",63.650002,63.720001,63.040001,63.59,658000,62.967346
"2021-07-26",63.66,63.889999,63.080002,63.630001,750700,63.006954
"2021-07-27",63.689999,65.129997,63.48,64.800003,1332700,64.165504
"2021-07-28",64.599998,65.209999,64.459999,65.160004,1330300,64.52198
"2021-07-29",65.57,65.800003,64.93,65.400002,886100,64.759628
"2021-07-30",65.25,66.540001,65.150002,66.040001,1255100,65.393356
"2021-08-02",66.209999,66.980003,66.050003,66.709999,1247800,66.056801
"2021-08-03",66.879997,66.879997,64.93,65.339996,1915100,64.700211
"2021-08-04",65.059998,65.190002,63.580002,64.300003,2339800,63.670395
"2021-08-05",61.57,62.07,58.169998,59.75,5220000,59.164948
"2021-08-06",59.950001,61.029999,59.200001,60.290001,1743000,59.699661
"2021-08-09",59.950001,60.5,59.349998,59.529999,1845200,58.947102
"2021-08-10",59.209999,59.560001,57.619999,58.25,1640000,57.67963
"2021-08-11",58.830002,58.93,58.189999,58.900002,735400,58.323269
"2021-08-12",58.990002,59.290001,58.639999,59,603800,58.422291
"2021-08-13",58.830002,59.599998,58.349998,58.689999,939700,58.115326
"2021-08-16",58.82,60.560001,58.310001,60.549999,1294100,59.957115
"2021-08-17",60.380001,61.139999,60.060001,61.130001,1237700,60.531433
"2021-08-18",61,61.209999,60.209999,60.23,843400,59.640247
"2021-08-19",59.830002,60.560001,59.639999,59.880001,872100,59.293674
"2021-08-20",59.700001,60.18,59.419998,59.860001,843500,59.273869
"2021-08-23",60.040001,60.23,59.369999,60.009998,833000,59.422398
"2021-08-24",60.060001,61.040001,60.060001,60.57,831400,59.976913
"2021-08-25",60.490002,60.689999,60.029999,60.610001,684000,60.016521
"2021-08-26",60.580002,60.639999,60.130001,60.389999,794300,59.798679
"2021-08-27",60.66,62.110001,60.41,62.09,1137200,61.482037
"2021-08-30",62.369999,62.790001,61.16,61.279999,1314400,60.679966
"2021-08-31",61.27,61.889999,60.93,61.700001,1591600,61.095852
"2021-09-01",62.060001,62.23,60.720001,61.43,965500,60.828495
"2021-09-02",61.700001,62.650002,61.700001,62.330002,926000,61.719688
"2021-09-03",62.41,62.610001,61.779999,62.43,860800,61.818707
"2021-09-07",62.43,62.52,61.099998,62.169998,828800,61.561249
"2021-09-08",61.919998,62.380001,61.669998,62.310001,691400,61.699883
"2021-09-09",62.23,63,62.220001,62.459999,683600,61.848408
"2021-09-10",62.599998,62.799999,60.779999,60.889999,1002200,60.293781
"2021-09-13",61.220001,61.919998,60.48,61.810001,1106000,61.204777
"2021-09-14",62.240002,62.709999,61.77,61.830002,1144800,61.224579
"2021-09-15",61.849998,62.57,61.41,62.290001,1986400,61.680077
"2021-09-16",62.549999,63.099998,61.959999,62.209999,1081500,61.600861
