"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"2021-12-07",204.330002,205.889999,203.380005,205.389999,2250600,202.173462
"2021-12-08",206.020004,207.490005,203.389999,204.720001,1615500,201.513962
"2021-12-09",204.050003,207.889999,203.759995,206.539993,1931500,203.30545
"2021-12-10",208,209.860001,207.339996,209.110001,1887900,205.83522
"2021-12-13",206.949997,209.320007,205.619995,206.309998,1909700,203.079056
"2021-12-14",205.199997,207.149994,203.080002,203.740005,1930500,200.549316
"2021-12-15",206.649994,208.440002,204.520004,205.770004,3703400,202.547516
"2021-12-16",207.850006,211.830002,207.820007,207.970001,2932600,204.713058
"2021-12-17",210.800003,212.529999,206.399994,206.589996,5625800,203.354675
"2021-12-20",205.029999,205.990005,201.419998,202.429993,2936400,199.259827
"2021-12-21",204.259995,208.070007,203.710007,207.100006,2317000,203.856705
"2021-12-22",207.320007,208.570007,206.539993,208.440002,1716500,205.175705
"2021-12-23",209.210007,213.220001,209.210007,212.190002,2573900,208.866974
"2021-12-27",212.889999,215.610001,212.600006,215.110001,1807200,211.741241
