"","SYF.Open","SYF.High","SYF.Low","SYF.Close","SYF.Volume","SYF.Adjusted"
"2021-06-07",49.73,50.470001,49.73,50.450001,4000300,49.098911
"2021-06-08",50.209999,50.959999,49.73,50.799999,5298700,49.439545
"2021-06-09",50.860001,50.860001,49.84,50.07,3274700,48.729095
"2021-06-10",50.779999,50.849998,48.939999,48.990002,4166800,47.678017
"2021-06-11",49.119999,49.439999,48.875,49.369999,3816600,48.047836
"2021-06-14",49.27,49.360001,48.310001,48.639999,3238400,47.337391
"2021-06-15",48.830002,50.27,48.450001,50.049999,4763100,48.709625
"2021-06-16",49.77,50.060001,48.98,49.509998,4723100,48.18409
"2021-06-17",49.779999,49.945,46.990002,47.509998,5801300,46.237648
"2021-06-18",46.470001,46.720001,45.575001,46.139999,11434900,44.904335
"2021-06-21",46.66,48.02,46.549999,48,6317200,46.714527
"2021-06-22",47.790001,48.32,47.369999,47.900002,6250400,46.61721
"2021-06-23",48.02,48.474998,47.939999,48.32,3172800,47.025963
"2021-06-24",48.709999,49.18,48.299999,49,3764500,47.687748
"2021-06-25",49.5,50.110001,49.27,49.799999,9361800,48.466324
"2021-06-28",49.630001,49.66,48.380001,48.490002,6401000,47.19141
"2021-06-29",49,49.310001,47.689999,48,5721700,46.714527
"2021-06-30",47.860001,48.66,47.799999,48.52,3914800,47.220604
"2021-07-01",48.73,49.389999,48.610001,48.869999,5825200,47.561226
"2021-07-02",49.080002,49.450001,48.919998,49.049999,3566400,47.736404
"2021-07-06",49,49.125,47.52,47.869999,4557300,46.588013
"2021-07-07",47.5,48.355,47.200001,47.959999,4503600,46.675598
"2021-07-08",46.610001,47.57,45.720001,46.709999,6026800,45.459072
"2021-07-09",48.029999,48.860001,47.919998,48.73,4617600,47.424976
"2021-07-12",48.25,49.834999,47.900002,49.5,4425300,48.174358
"2021-07-13",49.5,49.884998,48.509998,48.639999,6309500,47.337391
"2021-07-14",48.970001,49.66,47.365002,47.5,6213700,46.227921
"2021-07-15",46.84,47.855,46.700001,47.720001,5036900,46.442028
"2021-07-16",48.189999,48.215,46.560001,46.73,4957300,45.478542
"2021-07-19",45.52,45.599998,44.349998,44.799999,7430500,43.600227
"2021-07-20",43.48,46.095001,43.080002,46,6370100,44.768093
"2021-07-21",46.43,47.73,46.32,47.139999,5606300,45.87756
"2021-07-22",47.009998,47.34,45.48,45.91,5458200,44.6805
"2021-07-23",46.119999,47.200001,46.119999,46.509998,5029900,45.264431
"2021-07-26",46.490002,47.490002,46.360001,47.139999,4081800,45.87756
"2021-07-27",46.650002,47.630001,46.220001,47.23,3923400,45.965153
"2021-07-28",47.380001,47.540001,46.330002,47.209999,4442800,45.945683
"2021-07-29",47.959999,48.389999,47.5,48.32,4016800,47.025963
