"","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume","NSC.Adjusted"
"2021-08-04",257.149994,258.089996,252.669998,253.600006,1054100,249.269699
"2021-08-05",254.789993,256.380005,252.75,254.470001,983500,250.124847
"2021-08-06",254.5,257.329987,254.050003,256.01001,1001900,252.721054
"2021-08-09",255.339996,256.540009,254.699997,255.669998,858500,252.385406
"2021-08-10",256.390015,260.420013,256.179993,259.070007,933500,255.741745
"2021-08-11",259.820007,266.23999,259.269989,265.709991,1395200,262.296417
"2021-08-12",264.850006,269.23999,264.75,269.01001,1124600,265.554047
"2021-08-13",269.059998,269.970001,267.079987,268.920013,1072900,265.46524
"2021-08-16",268.709991,270.209991,266.820007,269.730011,1084300,266.264801
"2021-08-17",268.899994,268.899994,263.570007,266.730011,912300,263.303345
"2021-08-18",265.959991,269.899994,265.23999,265.290009,862900,261.881836
"2021-08-19",262.950012,266.660004,260.450012,262.200012,1127000,258.831543
"2021-08-20",262.660004,263.809998,261.48999,262.269989,724000,258.900604
"2021-08-23",262.98999,266.600006,262.529999,263.609985,743200,260.223389
"2021-08-24",263.649994,264.23999,258.98999,259.429993,1547800,256.097107
"2021-08-25",259.399994,262.049988,258.609985,261.160004,1257300,257.804901
"2021-08-26",261.320007,263.26001,257.359985,259.559998,1066700,256.225433
"2021-08-27",260.190002,262.01001,259.649994,260.809998,772000,257.459381
"2021-08-30",260.910004,260.959991,257.679993,258.230011,1026300,254.912552
"2021-08-31",258.769989,258.950012,252.050003,253.539993,1932700,250.282776
"2021-09-01",253.380005,254.949997,250.550003,252.25,1504700,249.009354
"2021-09-02",252.649994,254.820007,252.429993,253.679993,1057700,250.420975
"2021-09-03",252.669998,253.649994,249.419998,250.399994,1317700,247.183105
"2021-09-07",250.25,251.289993,247.330002,248.149994,1284900,244.962021
"2021-09-08",248.380005,250.649994,246.889999,249.630005,1075600,246.423035
"2021-09-09",249.199997,249.809998,246.679993,247.619995,924600,244.438828
"2021-09-10",248.729996,249.619995,246.889999,247.149994,1231900,243.974869
"2021-09-13",249.330002,249.610001,243.660004,245.539993,1283100,242.385559
"2021-09-14",246,246,241.960007,244.789993,1696600,241.645187
"2021-09-15",245.149994,249.199997,245.130005,248.619995,1846100,245.42598
"2021-09-16",249.25,250.610001,247.619995,248,1092300,244.81395
"2021-09-17",246.910004,248.869995,245.149994,246.039993,2296300,242.879135
"2021-09-20",243.050003,243.630005,239.580002,241.559998,1311100,238.45668
"2021-09-21",244.25,244.25,238.619995,239.240005,1208900,236.166504
"2021-09-22",240.210007,242.880005,239.139999,239.520004,1068800,236.442902
"2021-09-23",240.889999,243.369995,240.660004,242.169998,1331500,239.058853
"2021-09-24",242.279999,246.699997,241.839996,245.070007,1178100,241.921616
"2021-09-27",245.100006,249.130005,245.089996,245.619995,1249000,242.464523
"2021-09-28",245.220001,246.509995,243.190002,245.220001,1374100,242.069687
"2021-09-29",245.279999,246.690002,243.839996,244.240005,1388400,241.102264
"2021-09-30",245.610001,245.979996,239.169998,239.25,1210200,236.176361
"2021-10-01",240.669998,244.910004,239.080002,243.539993,1033700,240.411255
"2021-10-04",245.970001,249.029999,245.5,247.880005,1620400,244.695496
"2021-10-05",248.830002,257.079987,247.789993,255.139999,1676600,251.862228
"2021-10-06",252.75,263.369995,252.610001,262.529999,1984500,259.157288
"2021-10-07",264.769989,265.880005,259.26001,259.660004,988400,256.324188
"2021-10-08",260.709991,265.25,260.290009,264.880005,1096900,261.477112
