"","WDC.Open","WDC.High","WDC.Low","WDC.Close","WDC.Volume","WDC.Adjusted"
"2021-05-18",77.220001,77.470001,73.120003,73.209999,7267300,73.209999
"2021-05-19",70.150002,71.940002,67.830002,71.260002,7162500,71.260002
"2021-05-20",73.089996,73.360001,70.879997,72.949997,5225200,72.949997
"2021-05-21",72.330002,73.75,72.010002,72.339996,4838100,72.339996
"2021-05-24",72.82,74.699997,72.470001,73.910004,3550900,73.910004
"2021-05-25",74.510002,74.510002,72.449997,73.050003,4063200,73.050003
"2021-05-26",73.610001,75.059998,73.110001,74.760002,3682800,74.760002
"2021-05-27",74.739998,76.68,74.589996,75.860001,4215600,75.860001
"2021-05-28",75.75,76.110001,74.889999,75.230003,2465200,75.230003
"2021-06-01",75.900002,76.389999,75.099998,75.550003,2031300,75.550003
"2021-06-02",76.120003,77.870003,75.660004,76.599998,3806500,76.599998
"2021-06-03",75.68,77.660004,75.669998,76.779999,2935700,76.779999
"2021-06-04",77.379997,78.190002,76.860001,77.169998,2612400,77.169998
"2021-06-07",76.940002,77.139999,75.769997,76.129997,2121300,76.129997
"2021-06-08",77.150002,77.470001,74.730003,75.699997,4136400,75.699997
"2021-06-09",75.699997,75.940002,74.25,74.860001,2229100,74.860001
"2021-06-10",75.010002,75.349998,73.43,73.559998,2787700,73.559998
"2021-06-11",75.639999,76.349998,74.309998,74.779999,3244000,74.779999
"2021-06-14",75.220001,75.510002,74.120003,74.709999,2556900,74.709999
"2021-06-15",74.709999,75.720001,74.419998,74.919998,1964100,74.919998
"2021-06-16",74.480003,74.800003,72.610001,73.269997,3334600,73.269997
"2021-06-17",72.699997,73.459999,70.209999,70.769997,4917900,70.769997
"2021-06-18",69.949997,70.07,68.379997,69.470001,4904200,69.470001
"2021-06-21",69.5,69.809998,68.370003,69.199997,3142500,69.199997
"2021-06-22",68.540001,68.830002,67.540001,68.459999,3332700,68.459999
"2021-06-23",68.589996,70.529999,68.589996,69.239998,2926400,69.239998
"2021-06-24",70.18,70.379997,68.93,69.790001,3195500,69.790001
"2021-06-25",69.959999,71.230003,69.75,70.75,2912000,70.75
"2021-06-28",71.489998,71.550003,69.309998,69.989998,2968600,69.989998
"2021-06-29",70.349998,71.290001,69.419998,70.650002,3026100,70.650002
"2021-06-30",71,72.139999,70.290001,71.169998,3052400,71.169998
"2021-07-01",71.550003,71.919998,70.599998,70.860001,2912300,70.860001
"2021-07-02",71.330002,71.330002,69.440002,70.209999,2703600,70.209999
"2021-07-06",70.209999,70.449997,68.25,69.150002,3037500,69.150002
"2021-07-07",69.510002,70.169998,68.260002,69.330002,2556100,69.330002
"2021-07-08",66.769997,68.580002,66.260002,67.82,2823600,67.82
"2021-07-09",68.239998,70.360001,68.209999,70.169998,3029800,70.169998
"2021-07-12",70.360001,71.110001,69.720001,70.889999,3027500,70.889999
"2021-07-13",70.300003,70.980003,69.489998,70.080002,2522300,70.080002
"2021-07-14",71.379997,72.150002,69.620003,70.010002,3244500,70.010002
"2021-07-15",69.709999,69.919998,66.660004,66.910004,4710100,66.910004
"2021-07-16",66.839996,67.300003,63.93,64.199997,4021400,64.199997
"2021-07-19",62.900002,63.310001,62.110001,62.990002,4076400,62.990002
"2021-07-20",62.799999,64.839996,62.360001,64.639999,3562200,64.639999
"2021-07-21",64.449997,65.18,61.5,64.449997,6670900,64.449997
"2021-07-22",64.400002,64.400002,62.27,63.049999,4228300,63.049999
"2021-07-23",63.450001,63.860001,62.48,63.75,2709800,63.75
"2021-07-26",63.720001,65.449997,63.549999,64.269997,2203800,64.269997
"2021-07-27",63.200001,63.639999,60.889999,62.360001,3926700,62.360001
"2021-07-28",62.490002,64.169998,62.490002,63.52,2674100,63.52
"2021-07-29",63.970001,65.199997,63.509998,64.459999,2611300,64.459999
"2021-07-30",63.68,65.379997,63.580002,64.93,2427500,64.93
"2021-08-02",65.610001,66.769997,64.57,64.690002,2640400,64.690002
"2021-08-03",65,66.239998,63.900002,66.139999,2947700,66.139999
"2021-08-04",65.199997,66.199997,64.839996,64.940002,5005000,64.940002
"2021-08-05",64.870003,67.279999,64.620003,67.07,6487000,67.07
"2021-08-06",67.580002,68.839996,66.839996,68.760002,4474300,68.760002
"2021-08-09",68.779999,68.790001,66.769997,67.610001,3963000,67.610001
"2021-08-10",67.330002,67.480003,65.300003,65.5,7169300,65.5
"2021-08-11",65.660004,66.910004,65.07,66.720001,5061000,66.720001
"2021-08-12",65.32,65.32,60.700001,62.380001,11756000,62.380001
"2021-08-13",62.330002,64.089996,62.27,63.150002,4964000,63.150002
"2021-08-16",62.25,63.540001,61.68,61.849998,3517100,61.849998
"2021-08-17",61.110001,62.349998,60.349998,61.139999,3689600,61.139999
"2021-08-18",61.34,62.66,60.970001,61.009998,3047700,61.009998
"2021-08-19",60.669998,60.950001,59.310001,59.57,4493000,59.57
"2021-08-20",59.799999,60.23,59.029999,60.040001,3064600,60.040001
"2021-08-23",60.73,62.509998,60.25,62.279999,2642900,62.279999
"2021-08-24",61.959999,62.09,59.25,60.759998,5939400,60.759998
"2021-08-25",61.029999,69.989998,60.869999,65.5,17780000,65.5
"2021-08-26",66.190002,66.290001,62.16,62.57,7217500,62.57
"2021-08-27",61.990002,64.160004,61.93,63.240002,3401600,63.240002
"2021-08-30",63.650002,63.82,61.77,62.07,2921400,62.07
"2021-08-31",62.279999,64.209999,61.810001,63.200001,3870300,63.200001
"2021-09-01",63.599998,63.610001,60.990002,61.040001,5223100,61.040001
"2021-09-02",61.049999,61.98,60.150002,61.639999,4388500,61.639999
"2021-09-03",62.029999,62.549999,60.810001,61.41,2635200,61.41
"2021-09-07",60.709999,61.75,60.27,60.400002,2690800,60.400002
"2021-09-08",59.93,59.93,57.32,58.080002,5273000,58.080002
"2021-09-09",57.700001,59.459999,57.23,58.740002,4804100,58.740002
"2021-09-10",59.400002,59.759998,57.860001,57.970001,2481300,57.970001
"2021-09-13",58.389999,59.16,57.970001,58.509998,2431400,58.509998
"2021-09-14",58.52,58.700001,57.330002,57.540001,2647100,57.540001
"2021-09-15",57.259998,58.82,57.259998,58.259998,3878500,58.259998
"2021-09-16",58.049999,58.799999,57.779999,58.279999,2328700,58.279999
"2021-09-17",57.869999,58.299999,57.43,57.919998,3626700,57.919998
"2021-09-20",56.419998,57.049999,55.599998,56.619999,3423100,56.619999
"2021-09-21",56.849998,57.25,55.470001,55.470001,2808000,55.470001
"2021-09-22",56.189999,57.049999,55.740002,56.580002,2208700,56.580002
"2021-09-23",56.73,57.790001,55.73,57.490002,2377800,57.490002
"2021-09-24",57.09,58.139999,56.619999,57.939999,1841100,57.939999
"2021-09-27",57.799999,59.84,57.610001,59.060001,2531200,59.060001
"2021-09-28",58.700001,59.09,57.66,58.32,2753000,58.32
"2021-09-29",58.049999,58.450001,56.599998,56.700001,3660900,56.700001
"2021-09-30",57.259998,57.5,56.41,56.439999,2795400,56.439999
"2021-10-01",57.029999,57.32,55.549999,57.09,2144800,57.09
"2021-10-04",56.919998,57.849998,56.560001,56.950001,2615700,56.950001
"2021-10-05",57.209999,57.619999,56.220001,56.959999,2324600,56.959999
"2021-10-06",55.84,56.77,55.110001,56.43,3591700,56.43
"2021-10-07",56.740002,57.93,56.740002,57.389999,1957500,57.389999
"2021-10-08",57.799999,57.880001,56.52,56.59,1594200,56.59
"2021-10-11",56.59,57.220001,56.130001,56.169998,1526200,56.169998
"2021-10-12",56.189999,56.349998,53.610001,54.200001,4553700,54.200001
"2021-10-13",54.610001,55.66,54.060001,54.209999,2943500,54.209999
"2021-10-14",54.849998,57.060001,54.52,56.549999,3437400,56.549999
"2021-10-15",55.740002,56.290001,55.150002,55.41,3398400,55.41
"2021-10-18",55.16,55.900002,54.560001,55.400002,1577600,55.400002
"2021-10-19",55.080002,55.779999,54.599998,55.650002,3881200,55.650002
"2021-10-20",54.869999,56.779999,54.560001,56.41,3630100,56.41
"2021-10-21",55.759998,56.880001,55.439999,56.799999,1968800,56.799999
"2021-10-22",57.459999,58.919998,56.549999,57.049999,3544200,57.049999
"2021-10-25",57.68,57.799999,56.630001,56.830002,2051200,56.830002
"2021-10-26",57.02,57.200001,56.299999,56.32,2007800,56.32
"2021-10-27",56.41,56.419998,54.919998,55.48,2433100,55.48
"2021-10-28",55.860001,57.34,55.84,57.279999,4112600,57.279999
"2021-10-29",49.919998,53.5,49.5,52.290001,18240600,52.290001
"2021-11-01",52.150002,54.799999,52.130001,54.18,4217700,54.18
"2021-11-02",54.389999,55.369999,53.970001,55.029999,2994600,55.029999
"2021-11-03",55.150002,55.950001,54.529999,55.77,4096000,55.77
"2021-11-04",55.990002,55.990002,54.290001,55.040001,3365200,55.040001
"2021-11-05",55.48,56.700001,55.169998,56.18,2804600,56.18
"2021-11-08",56.57,57.75,55.57,55.779999,3329200,55.779999
"2021-11-09",55.779999,56.900002,55.650002,56.25,2710200,56.25
"2021-11-10",55.98,56.52,54.880001,55.259998,3658600,55.259998
"2021-11-11",55.400002,58.939999,55.400002,58.82,5337700,58.82
"2021-11-12",59.720001,62.419998,59.16,60.560001,8580500,60.560001
"2021-11-15",60.419998,60.700001,58.740002,58.93,3263200,58.93
"2021-11-16",58.91,59.34,58.060001,58.48,2512300,58.48
"2021-11-17",58.25,58.400002,55.73,56.490002,5243100,56.490002
"2021-11-18",56.599998,56.790001,54.810001,55.700001,4059300,55.700001
"2021-11-19",55.700001,57.560001,55.040001,56.02,4454600,56.02
"2021-11-22",56.23,57.630001,55.369999,56.93,3832900,56.93
"2021-11-23",59.400002,61.220001,59.07,60.529999,8367000,60.529999
"2021-11-24",60.099998,60.400002,59.110001,59.869999,2371800,59.869999
"2021-11-26",58.200001,58.459999,56.860001,57.759998,2354500,57.759998
"2021-11-29",58.48,59.099998,57.740002,58.990002,3501200,58.990002
"2021-11-30",58.09,59.02,56.689999,57.84,4793000,57.84
"2021-12-01",58.75,60.75,57.66,57.720001,4996600,57.720001
"2021-12-02",57.580002,57.720001,56.299999,56.950001,3667300,56.950001
"2021-12-03",56.950001,58.119999,56.259998,57.52,4079900,57.52
"2021-12-06",57.810001,58.360001,55.900002,57.060001,3085300,57.060001
"2021-12-07",58.48,59.900002,57.900002,59.169998,3774900,59.169998
"2021-12-08",59.16,59.43,58.099998,59,2683300,59
"2021-12-09",58.240002,58.630001,57.02,57.330002,2432900,57.330002
"2021-12-10",56.959999,57.959999,56.830002,57.869999,2314900,57.869999
"2021-12-13",57.900002,58.220001,55.650002,55.73,4082000,55.73
"2021-12-14",55.259998,56.59,55.049999,55.630001,3133800,55.630001
"2021-12-15",55.580002,56.549999,54.400002,56.349998,3310700,56.349998
"2021-12-16",56.830002,58.169998,56.369999,56.709999,2853600,56.709999
"2021-12-17",56.580002,57.540001,55.700001,56.849998,5105700,56.849998
"2021-12-20",55.959999,56.540001,55.18,55.900002,3768900,55.900002
"2021-12-21",58.02,59.049999,57.259998,59.02,3180700,59.02
