"","WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.Adjusted"
"2021-11-02",159.419998,161.820007,159.059998,161.229996,1168900,159.323517
"2021-11-03",161.029999,161.809998,158.559998,159.720001,1107900,157.83136
"2021-11-04",159.610001,161.509995,159.610001,160.710007,1064500,158.809677
"2021-11-05",161.100006,161.679993,159.270004,159.889999,1136300,157.999359
"2021-11-08",160.679993,161.850006,159.5,160.050003,1304000,158.157471
"2021-11-09",159.610001,160.289993,159.100006,159.580002,1196600,157.693024
"2021-11-10",158.940002,162.470001,158.649994,162.080002,1777500,160.163467
"2021-11-11",161.800003,162.289993,160.660004,161.240005,972100,159.333389
"2021-11-12",162.029999,163.449997,161.399994,162.979996,2196600,161.052826
"2021-11-15",163,164.009995,162.440002,163,1240400,161.072571
"2021-11-16",163.350006,164.710007,163.229996,164.630005,1450300,162.683319
"2021-11-17",165,165.910004,164.199997,165.410004,1739000,163.454071
"2021-11-18",165.410004,166.350006,164.279999,164.490005,1684800,162.544983
"2021-11-19",164.830002,165.520004,162.589996,163.389999,1881500,161.457977
"2021-11-22",163.539993,164.25,162.710007,163.020004,1794400,161.092361
"2021-11-23",162.820007,165,162.289993,164.839996,1067600,162.890823
"2021-11-24",164.399994,165.919998,163.820007,165.720001,1194300,163.760406
"2021-11-26",164.110001,165.779999,163.089996,163.470001,1120800,161.537018
"2021-11-29",164.839996,168.039993,164.220001,166.830002,2030100,164.8573
"2021-11-30",165.5,166.550003,160.279999,160.669998,4340600,158.770142
"2021-12-01",161.979996,164.610001,160.369995,160.509995,1652300,158.61203
"2021-12-02",160.979996,164.770004,160.539993,163.740005,1332000,162.385559
"2021-12-03",164.300003,164.869995,161.679993,163.220001,1204000,161.869858
"2021-12-06",164.800003,165.740005,163.220001,163.479996,2162100,162.127701
"2021-12-07",165.100006,166.759995,163.5,164.25,1407300,162.891342
"2021-12-08",164.25,164.479996,162.179993,163.529999,1248200,162.177292
"2021-12-09",162.619995,163.710007,162.210007,162.789993,1598100,161.443405
"2021-12-10",164.130005,165.660004,163.330002,164.720001,1490600,163.357452
"2021-12-13",164.720001,165.679993,163.839996,164.229996,2328400,162.87149
"2021-12-14",163.600006,164.190002,161.139999,162.580002,1971200,161.235153
"2021-12-15",163,163.600006,161.210007,162.529999,3044800,161.185562
"2021-12-16",163.610001,166.5,163.210007,166.039993,2269000,164.666519
"2021-12-17",165.869995,166.190002,161.169998,161.309998,2603800,159.975647
"2021-12-20",160.020004,160.940002,157.610001,160.589996,1397600,159.261612
"2021-12-21",161.619995,162.490005,159,160.029999,1186900,158.706238
"2021-12-22",160.190002,161.009995,159.529999,160.660004,1495600,159.331024
"2021-12-23",160.710007,162.610001,160.669998,161.940002,1778800,160.600449
"2021-12-27",162.490005,163.889999,162.059998,163.789993,1295300,162.435135
"2021-12-28",164.050003,165.270004,163.839996,165.139999,1004000,163.773987
"2021-12-29",165.610001,166.860001,164.940002,166.380005,773100,165.003723
"2021-12-30",167,167.429993,165.440002,165.729996,822300,164.3591
"2021-12-31",165.289993,167.610001,165.289993,166.899994,844600,165.519409
