"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
"2021-02-24",91.580002,94.410004,91.559998,94.279999,2003900,90.917435
"2021-02-25",94.099998,94.790001,92.150002,92.720001,1348500,89.413086
"2021-02-26",92.839996,93.199997,90.839996,90.989998,2708900,87.744781
"2021-03-01",91.839996,94.800003,91.550003,93.720001,2027600,90.377419
"2021-03-02",94.07,94.699997,92.82,94.18,2047000,90.821007
"2021-03-03",93.660004,96.470001,93.300003,95.239998,2013000,91.843208
"2021-03-04",94.900002,96.050003,91.379997,92.400002,2251600,89.1045
"2021-03-05",93.360001,94.360001,90.150002,94.150002,1977200,90.792091
"2021-03-08",93.25,94.809998,92.410004,93.440002,1756100,90.107407
"2021-03-09",94.480003,96.940002,93.800003,95.230003,2919100,91.833557
"2021-03-10",96.230003,97.599998,95.82,96.589996,1775600,93.14505
"2021-03-11",97.25,98.260002,96.529999,97.75,1618400,94.26368
"2021-03-12",97.699997,97.800003,96.080002,96.949997,1494000,93.492218
"2021-03-15",96.910004,99.480003,96.699997,99.440002,1508300,95.893417
"2021-03-16",99,99.410004,95.419998,95.690002,1275500,92.277161
"2021-03-17",95.309998,96.809998,94.720001,96.169998,1155200,92.740044
"2021-03-18",95.589996,97.239998,94.769997,95.120003,1867300,91.727486
"2021-03-19",95.529999,95.919998,93.639999,95.059998,3139100,91.669617
"2021-03-22",94.540001,95.720001,93.440002,93.580002,1621200,90.242409
"2021-03-23",91.989998,93.120003,90.779999,91.169998,1786500,87.918365
"2021-03-24",91.089996,92.459999,90.650002,90.690002,1435700,87.45549
"2021-03-25",91.019997,92.75,89.610001,92.269997,2122600,88.979134
"2021-03-26",92.25,93.779999,91.970001,93.68,1534300,90.338844
"2021-03-29",93.699997,94.339996,92.300003,93.190002,1668400,89.866325
"2021-03-30",92.849998,93.68,92.580002,93.32,1210600,89.991684
"2021-03-31",94.050003,94.349998,92.480003,92.919998,2380200,89.605949
"2021-04-01",92.830002,93.599998,91.349998,92.029999,1622200,88.747688
"2021-04-05",92.949997,94.209999,92.620003,93.959999,1709700,90.608856
"2021-04-06",92.339996,93.940002,92.040001,92.849998,1745300,89.538445
"2021-04-07",92.639999,93.220001,92.370003,92.470001,1074100,89.171997
"2021-04-08",92.589996,92.949997,91.639999,92.839996,1012000,89.528793
"2021-04-09",92.860001,93.57,92.459999,93.360001,1221900,90.030266
"2021-04-12",93.080002,95.360001,93.080002,95.290001,1303800,91.891426
"2021-04-13",95.029999,95.300003,93.889999,94.720001,2178100,91.341759
"2021-04-14",95.43,95.68,93.449997,93.620003,1383400,90.280991
"2021-04-15",94.269997,95.089996,93.529999,95.029999,1470500,91.640694
"2021-04-16",95.040001,95.82,93.970001,94.919998,1249700,91.534622
"2021-04-19",94.57,94.75,92.739998,93.349998,1561500,90.020607
"2021-04-20",93.160004,93.730003,91.709999,92.099998,2275200,88.815201
"2021-04-21",92.279999,93.690002,91.010002,93.629997,2175500,90.290634
"2021-04-22",93.529999,93.730003,91.830002,92.209999,1815600,88.92128
"2021-04-23",93.849998,93.849998,92.360001,93.349998,1727400,90.020607
"2021-04-26",93.459999,93.830002,92.830002,93.339996,1753600,90.010971
"2021-04-27",92.68,93.410004,90.300003,91.279999,3058900,88.024445
"2021-04-28",92.550003,92.720001,90.050003,90.68,3261900,87.445847
"2021-04-29",91.150002,91.940002,90.43,91.900002,2515200,88.622337
"2021-04-30",91.07,91.470001,89.730003,89.879997,2735400,86.67437
"2021-05-03",90.800003,91.150002,90.43,90.790001,1337600,87.551918
"2021-05-04",90.580002,90.919998,89.059998,90.059998,2417900,86.847954
"2021-05-05",90.099998,91.589996,89.139999,91.230003,3232900,87.976227
"2021-05-06",91.769997,93.809998,91.559998,93.730003,1950000,90.38707
"2021-05-07",93.449997,94.660004,92.610001,94.5,1985100,91.129601
"2021-05-10",94.989998,96.709999,94.57,95.730003,2356000,92.315727
"2021-05-11",95.07,95.690002,94.18,94.760002,2020700,91.706039
"2021-05-12",94.129997,94.879997,91.68,91.849998,1457200,88.889824
"2021-05-13",91.5,95.089996,91.139999,94.230003,2446800,91.193123
"2021-05-14",94.839996,94.860001,93.669998,94.660004,1158900,91.609261
"2021-05-17",94.650002,95,93.459999,93.800003,1021400,90.776978
"2021-05-18",93.989998,93.989998,90.949997,91.040001,1578200,88.105919
"2021-05-19",89.949997,91.309998,88.68,91.269997,1969000,88.328522
"2021-05-20",91.269997,91.339996,90.510002,90.809998,1293300,87.883331
"2021-05-21",91.349998,92.290001,91.059998,92.029999,2430900,89.064018
"2021-05-24",92.730003,92.730003,91.790001,91.839996,900600,88.880135
"2021-05-25",91.849998,92.480003,90.379997,90.550003,813900,87.631714
"2021-05-26",90.540001,90.900002,90.129997,90.790001,1161800,87.863976
"2021-05-27",91.709999,91.980003,90.779999,91.370003,1752900,88.425293
"2021-05-28",91.699997,91.730003,90.809998,91.559998,1172700,88.609161
"2021-06-01",92.330002,93.07,92.080002,92.459999,1096300,89.480171
"2021-06-02",93.050003,93.050003,91.940002,92.290001,1282900,89.315643
"2021-06-03",91.589996,93.800003,91.580002,93.019997,1598600,90.022118
"2021-06-04",93.239998,95.360001,93.050003,94.93,1728200,91.870552
"2021-06-07",95.25,95.290001,92.949997,93.370003,1302400,90.36084
"2021-06-08",93.559998,93.75,92.709999,93.480003,1178900,90.467293
"2021-06-09",93.889999,93.889999,92.580002,92.589996,823100,89.605965
"2021-06-10",93.260002,93.389999,91.589996,91.709999,1322900,88.754333
"2021-06-11",92.230003,92.540001,91.5,92.370003,1292300,89.393066
"2021-06-14",92.160004,92.279999,90.540001,91.07,1603800,88.134964
"2021-06-15",92.010002,92.360001,91.029999,92.330002,1284900,89.354347
"2021-06-16",92.160004,92.230003,90.959999,91.360001,1371800,88.415619
"2021-06-17",91.150002,91.669998,88.709999,89.580002,1859700,86.692978
"2021-06-18",88.480003,88.889999,86.959999,87.040001,3158900,84.23484
"2021-06-21",87.589996,88.580002,87.360001,87.400002,1931700,84.583244
"2021-06-22",87.339996,87.779999,86.529999,87.370003,3334000,84.554207
"2021-06-23",88.57,88.57,86.809998,87.739998,2556000,84.912277
"2021-06-24",88.610001,89.230003,88.269997,88.480003,1723500,85.628433
"2021-06-25",88.790001,89.57,88.400002,88.980003,2521800,86.11232
"2021-06-28",89.25,89.370003,88.290001,88.639999,1460500,85.783272
"2021-06-29",89.059998,89.349998,87.639999,88.169998,1200300,85.328423
"2021-06-30",88.629997,89.440002,88.139999,89.25,1507500,86.373611
"2021-07-01",89.599998,90.089996,88.660004,88.790001,1223800,85.928444
"2021-07-02",89.029999,89.050003,88.040001,88.300003,1498200,85.454239
"2021-07-06",88,88.120003,85.010002,86.75,1940700,83.954178
"2021-07-07",86.790001,87.209999,85.959999,86.860001,1591200,84.060646
"2021-07-08",86.089996,86.760002,85.400002,85.660004,1547500,82.899315
"2021-07-09",86.019997,87.889999,86.019997,87.5,1315100,84.680016
"2021-07-12",87.160004,88.699997,86.309998,88.309998,1450700,85.463913
"2021-07-13",89.730003,89.730003,87.309998,87.599998,1233600,84.776794
"2021-07-14",87.599998,87.940002,87.080002,87.75,1228500,84.921959
"2021-07-15",88.010002,89.110001,87.639999,88.339996,1835100,85.492935
"2021-07-16",88.169998,89.089996,87.489998,87.610001,1865900,84.786476
"2021-07-19",86.68,87.400002,86.230003,86.709999,2599000,83.915474
"2021-07-20",86.860001,88.870003,86.540001,88.089996,1732800,85.250999
"2021-07-21",88.139999,89.330002,87.970001,88.150002,1289500,85.309067
"2021-07-22",88.010002,88.010002,86.870003,87.139999,1485700,84.331619
"2021-07-23",87.400002,87.870003,87.07,87.580002,1280600,84.757439
"2021-07-26",87.470001,88.099998,86.620003,86.910004,1352500,84.109032
"2021-07-27",86,87.300003,83.769997,84.610001,3430400,81.883156
"2021-07-28",84.120003,84.190002,82.720001,82.75,2566600,80.083092
"2021-07-29",83.540001,84.300003,82.900002,83.290001,5007100,80.605698
"2021-07-30",82.849998,83.790001,82.800003,82.989998,3777500,80.315361
"2021-08-02",83.940002,84.339996,81.980003,82.099998,2697300,79.454048
"2021-08-03",82.300003,83.239998,81.010002,81.849998,3208500,79.212105
"2021-08-04",81.599998,82.190002,80.940002,81.099998,3607600,78.486282
"2021-08-05",81.540001,81.639999,80,80.089996,3246300,77.50882
"2021-08-06",80.699997,80.989998,79.970001,80.040001,3876600,77.460434
"2021-08-09",79.919998,80.910004,79.529999,79.900002,3610200,77.324951
"2021-08-10",79.959999,80.75,79.239998,79.75,3428500,77.179787
"2021-08-11",80.360001,82.800003,79.989998,82.779999,2429700,80.112137
"2021-08-12",82.790001,83.199997,81.82,82.019997,2303000,79.376617
"2021-08-13",82.18,82.32,81,81.139999,1091600,78.524986
"2021-08-16",80.910004,81.559998,80.190002,81.160004,1162700,78.544342
"2021-08-17",80.370003,80.5,79.050003,80.139999,1867500,77.883492
"2021-08-18",79.730003,80.230003,79.620003,79.900002,1978900,77.650246
"2021-08-19",79.449997,80.669998,79.25,80.370003,4484200,78.10701
"2021-08-20",80.389999,80.68,79.620003,80.269997,1759500,78.009827
"2021-08-23",80.470001,80.910004,79.879997,80.400002,1487900,78.136169
"2021-08-24",80.760002,81.839996,80.639999,81.75,1882800,79.448166
"2021-08-25",81.360001,82.25,81.279999,81.970001,1658600,79.661964
"2021-08-26",81.800003,81.839996,81.209999,81.470001,1847300,79.176041
"2021-08-27",81.589996,82.419998,81.400002,82.25,1843400,79.934074
"2021-08-30",82.440002,82.480003,81.720001,82.050003,1237600,79.739708
"2021-08-31",82,82.129997,81.480003,81.870003,1910600,79.564781
"2021-09-01",82.389999,82.730003,81.739998,82.660004,1620500,80.332542
"2021-09-02",82.800003,84.199997,82.68,83.910004,2437100,81.54734
"2021-09-03",83.709999,85.220001,83.510002,84.43,2053400,82.052689
"2021-09-07",83.82,84.529999,82.150002,82.519997,2514600,80.19648
"2021-09-08",82.139999,82.419998,81.199997,82.300003,2058000,79.982666
"2021-09-09",82.779999,83.470001,82.32,83.209999,3577900,80.867043
"2021-09-10",83.290001,84.150002,82.980003,83.610001,2495500,81.255791
"2021-09-13",84.650002,85,83.129997,84.379997,3453200,82.004105
"2021-09-14",84.720001,84.849998,83.419998,83.93,2752800,81.566772
"2021-09-15",84.099998,85.330002,83.790001,84.580002,4153400,82.198463
"2021-09-16",84.699997,84.769997,82.349998,82.440002,3465000,80.118729
"2021-09-17",83.68,83.68,80.949997,81.550003,4615300,79.253792
"2021-09-20",80.489998,80.57,79.419998,79.870003,5872300,77.621101
"2021-09-21",79.879997,80.209999,78.720001,78.970001,3049100,76.746429
"2021-09-22",79.910004,80.620003,79.32,79.419998,3153600,77.183769
"2021-09-23",79.620003,81.529999,79.5,80.839996,2068400,78.563782
"2021-09-24",80.5,81.120003,80.260002,80.529999,1145900,78.262505
"2021-09-27",80.730003,82.18,80.690002,81.559998,1566500,79.263496
"2021-09-28",81.629997,82.129997,80.620003,80.82,1669900,78.544334
"2021-09-29",80.730003,81.639999,80.18,81.059998,1177700,78.777588
"2021-09-30",81.290001,81.440002,78.910004,78.919998,1842200,76.697845
"2021-10-01",79.169998,80.199997,78.480003,79.449997,1583500,77.212914
"2021-10-04",79.519997,80.07,78.459999,78.769997,1614100,76.552063
"2021-10-05",78.800003,82.309998,77.959999,81.809998,3766800,79.506462
"2021-10-06",80.900002,81.889999,80.239998,81.839996,1269100,79.535614
"2021-10-07",82.709999,83.449997,82.5,83.010002,2153300,80.672684
"2021-10-08",83.489998,85.18,83.099998,84.760002,2157100,82.373413
"2021-10-11",84.790001,84.940002,83.639999,83.800003,1554900,81.44043
"2021-10-12",83.779999,84.559998,83.349998,83.580002,1834300,81.226631
"2021-10-13",83.93,84.489998,82.709999,84.139999,1755800,81.770859
"2021-10-14",84.589996,86.82,84.449997,86.529999,1987900,84.093559
