"","TER.Open","TER.High","TER.Low","TER.Close","TER.Volume","TER.Adjusted"
"2021-12-10",159.5,159.940002,154.779999,159.759995,1116100,159.441803
"2021-12-13",160.529999,160.550003,155.139999,155.360001,1520100,155.050568
"2021-12-14",153.889999,156.309998,152.020004,155.940002,1076300,155.629425
"2021-12-15",158,162.259995,154.300003,161.960007,1482900,161.637436
"2021-12-16",162.619995,163.029999,156.149994,158.300003,2106900,157.984711
"2021-12-17",157.320007,160.75,154.419998,156.259995,3282900,155.948776
"2021-12-20",155.089996,158.119995,154.899994,155.710007,2367200,155.399887
"2021-12-21",157.589996,160.550003,156.020004,160.360001,1338800,160.040619
"2021-12-22",159.259995,160.990005,158.820007,160.899994,1013900,160.579529
"2021-12-23",161.119995,164.110001,161.119995,162.740005,2040000,162.415878
"2021-12-27",164,168.910004,163.5,168.559998,1019200,168.224289
"2021-12-28",168.5,168.910004,164.449997,164.610001,1107100,164.28215
"2021-12-29",164.779999,167.440002,164.779999,166.770004,569700,166.437851
"2021-12-30",166.770004,166.770004,163.339996,163.720001,932300,163.393936
"2021-12-31",164.539993,165.850006,163.300003,163.529999,1062700,163.2043
