"","L.Open","L.High","L.Low","L.Close","L.Volume","L.Adjusted"
"2021-06-14",56.040001,56.34,55.43,55.82,751100,55.582989
"2021-06-15",55.849998,56.950001,55.720001,56.509998,890700,56.270054
"2021-06-16",56.23,56.580002,55.939999,56.130001,860100,55.891674
"2021-06-17",56.400002,56.59,54.240002,54.459999,1223000,54.228756
"2021-06-18",53.450001,53.900002,52.93,53.009998,2481600,52.784908
"2021-06-21",53.57,54.619999,53.349998,54.560001,872700,54.328331
"2021-06-22",54.540001,54.759998,53.939999,54.419998,861300,54.188927
"2021-06-23",54.439999,54.849998,54.169998,54.23,790800,53.999733
"2021-06-24",54.560001,55.32,54.349998,55.119999,829700,54.885956
"2021-06-25",55.299999,55.810001,55.009998,55.619999,1143700,55.383831
"2021-06-28",55.360001,55.360001,54.389999,54.509998,1008300,54.278545
"2021-06-29",54.799999,55.040001,54.23,54.41,594600,54.178974
"2021-06-30",54.130001,54.709999,54.130001,54.650002,811900,54.41795
"2021-07-01",55.09,55.48,54.720001,55.200001,682700,54.965618
"2021-07-02",55.25,55.25,54.889999,54.990002,578400,54.756508
"2021-07-06",54.630001,54.669998,53.599998,53.91,1224100,53.681091
"2021-07-07",53.509998,54.360001,53.5,54.099998,786500,53.870289
"2021-07-08",53.240002,53.610001,52.57,52.880001,932300,52.655468
"2021-07-09",53.580002,54.810001,53.580002,54.709999,1231600,54.477695
"2021-07-12",54.240002,55.23,54.09,55.049999,786000,54.816254
"2021-07-13",55,55.119999,54.240002,54.259998,866100,54.029606
"2021-07-14",54.380001,55.130001,54.150002,54.400002,707800,54.169014
"2021-07-15",53.689999,55.09,53.689999,54.59,1038300,54.358204
"2021-07-16",54.799999,54.84,53.91,54.02,958800,53.790627
"2021-07-19",52.869999,53.09,51.5,51.759998,1163800,51.540222
"2021-07-20",51.700001,53.98,51.689999,53.330002,1293900,53.103561
"2021-07-21",53.939999,54.73,53.880001,54.110001,929800,53.880245
"2021-07-22",53.900002,54.049999,53.43,53.52,743500,53.292747
"2021-07-23",53.68,54.279999,53.360001,53.57,581300,53.342533
"2021-07-26",53.549999,54.27,53.549999,53.970001,419900,53.740841
"2021-07-27",53.380001,54.310001,53.360001,53.75,600100,53.521774
"2021-07-28",54.130001,54.130001,52.75,53.25,609600,53.023899
"2021-07-29",53.84,54.029999,53.279999,53.860001,507900,53.631306
"2021-07-30",53.66,54.099998,53.369999,53.630001,601700,53.402283
"2021-08-02",53.689999,54.599998,53.419998,53.650002,812400,53.422203
"2021-08-03",53.939999,54.07,52.779999,53.580002,2132900,53.352501
"2021-08-04",53.209999,53.669998,52.849998,53.009998,1302600,52.784908
"2021-08-05",53.43,54.220001,53.18,54.02,864800,53.790627
"2021-08-06",54.68,55.200001,54.439999,54.93,759400,54.696762
"2021-08-09",54.799999,55.529999,54.610001,55.099998,655200,54.866043
"2021-08-10",55.040001,55.91,54.849998,55.59,912800,55.353958
"2021-08-11",55.709999,56.189999,55.23,56.18,538900,55.941456
"2021-08-12",56.27,56.330002,55.759998,56.150002,535900,55.911583
"2021-08-13",56.349998,56.490002,55.619999,55.639999,436500,55.403748
"2021-08-16",55.23,55.77,54.93,55.450001,603000,55.214558
"2021-08-17",54.950001,55.619999,54.950001,55.380001,545300,55.207581
"2021-08-18",55.169998,55.48,54.639999,54.700001,530300,54.529697
"2021-08-19",54.049999,54.990002,54.049999,54.650002,809300,54.479851
"2021-08-20",54.650002,55.25,54.639999,55.02,596600,54.848701
"2021-08-23",55.459999,55.810001,55.389999,55.470001,526300,55.297302
"2021-08-24",55.700001,55.82,55.419998,55.580002,379000,55.406956
"2021-08-25",55.669998,56.549999,55.490002,56.259998,645200,56.084835
"2021-08-26",56.27,56.310001,55.57,55.599998,718800,55.426891
"2021-08-27",55.759998,56.59,55.57,56.529999,631800,56.354
"2021-08-30",56.650002,56.66,55.790001,55.830002,645600,55.656178
"2021-08-31",55.720001,56.240002,55.720001,55.869999,1648800,55.696053
"2021-09-01",55.970001,55.970001,55.299999,55.66,977600,55.48671
"2021-09-02",55.650002,55.93,55.349998,55.470001,613600,55.297302
"2021-09-03",55.360001,55.360001,54.450001,54.759998,796700,54.589508
"2021-09-07",54.759998,55.310001,54.490002,54.919998,1199100,54.749008
"2021-09-08",55,55.529999,54.709999,55.23,666900,55.058048
"2021-09-09",54.84,55.52,54.549999,54.580002,968100,54.410072
"2021-09-10",54.939999,54.939999,53.43,53.490002,1004900,53.323463
"2021-09-13",53.950001,54.360001,53.57,54.049999,993100,53.881721
"2021-09-14",54.23,54.23,53.029999,53.18,905200,53.014431
"2021-09-15",53.16,54.049999,53.02,53.970001,1088600,53.801968
"2021-09-16",54.09,54.23,53.529999,53.650002,832200,53.482967
"2021-09-17",53.52,54.150002,53,53.080002,5592500,52.914742
"2021-09-20",52.07,52.439999,51.349998,52.259998,1314800,52.09729
"2021-09-21",52.599998,52.91,51.700001,51.700001,941300,51.539036
"2021-09-22",52.389999,52.82,52.32,52.369999,692300,52.206947
"2021-09-23",52.709999,53.540001,52.610001,52.939999,694800,52.775173
"2021-09-24",52.990002,53.43,52.950001,52.959999,783500,52.795109
"2021-09-27",53.490002,54.310001,53.490002,53.919998,625600,53.752121
"2021-09-28",54.110001,54.52,53.299999,53.380001,742300,53.213802
"2021-09-29",53.439999,54.59,53.389999,54.34,813100,54.170815
"2021-09-30",54.580002,54.990002,53.91,53.93,1075900,53.762093
"2021-10-01",54.27,55.639999,54.07,55.27,838200,55.097919
"2021-10-04",55.360001,56.09,54.880001,55.029999,802800,54.858665
"2021-10-05",55.299999,56.490002,54.990002,56.279999,1081300,56.104774
"2021-10-06",55.57,56.610001,54.990002,56.580002,760300,56.403843
"2021-10-07",57.099998,57.43,56.849998,56.93,602000,56.752754
"2021-10-08",56.880001,57.450001,56.700001,57.419998,405200,57.241222
"2021-10-11",57.650002,58.150002,56.740002,56.790001,611000,56.61319
"2021-10-12",56.740002,57.299999,56.650002,56.889999,452800,56.712875
