"","MCO.Open","MCO.High","MCO.Low","MCO.Close","MCO.Volume","MCO.Adjusted"
"2021-09-29",357.459991,361.529999,355.619995,359.420013,511700,357.16391
"2021-09-30",361.459991,362.950012,354.899994,355.109985,661700,352.88092
"2021-10-01",357.5,361.880005,353.649994,359.25,415800,356.994934
"2021-10-04",357.630005,359.399994,346.880005,349.730011,637000,347.534698
"2021-10-05",351.75,359.350006,350.880005,355.380005,562300,353.149231
"2021-10-06",350.980011,358.600006,349.799988,357.950012,454700,355.703125
"2021-10-07",362.350006,367.079987,362.190002,362.98999,842200,360.711456
"2021-10-08",364.359985,364.809998,359.859985,362.269989,388400,359.996002
"2021-10-11",360.730011,366.350006,360.040009,360.049988,360800,357.789917
"2021-10-12",362.279999,365.170013,359.600006,360.929993,366100,358.664398
"2021-10-13",363.420013,363.420013,358.390015,361.470001,342200,359.201019
"2021-10-14",365.709991,370.579987,365.709991,370.48999,329000,368.164398
"2021-10-15",373.140015,373.140015,368.820007,371.179993,704900,368.850067
"2021-10-18",371.109985,374.350006,368.920013,374,577700,371.652374
"2021-10-19",374.670013,379.579987,374.670013,378.959991,399800,376.581238
"2021-10-20",380.299988,380.299988,370.959991,371.940002,525600,369.605316
"2021-10-21",370.869995,376.450012,367.519989,376.200012,384900,373.838562
"2021-10-22",377.399994,382.5,376.790009,381.660004,410100,379.264282
"2021-10-25",381.690002,386.299988,379.579987,385.100006,545500,382.682709
"2021-10-26",388,395.190002,387.570007,390.339996,595600,387.889801
"2021-10-27",390.470001,395.390015,388.950012,392.640015,746700,390.175354
"2021-10-28",396.450012,407.079987,395.320007,406.690002,714100,404.137177
"2021-10-29",407.410004,407.730011,400.299988,404.149994,774400,401.613129
"2021-11-01",406.820007,407.940002,391.299988,394.390015,551800,391.914398
"2021-11-02",394.299988,396.179993,390,390.700012,620100,388.247559
"2021-11-03",392,394.98999,382.450012,386.549988,626800,384.123566
"2021-11-04",387.570007,391.910004,387.01001,389.040009,588900,386.597961
"2021-11-05",391,393.190002,386.809998,387.109985,533100,384.680054
"2021-11-08",387.809998,390.029999,384.959991,387.269989,770000,384.839081
"2021-11-09",387.269989,393.390015,387.059998,392.299988,591600,389.837463
"2021-11-10",391.910004,394.019989,387.23999,387.690002,623400,385.256439
"2021-11-11",389.450012,390.929993,382.220001,385.450012,399500,383.030487
"2021-11-12",386.5,390.450012,384.359985,388.019989,579200,385.58432
"2021-11-15",388.149994,394.940002,387.390015,390.779999,764400,388.327026
"2021-11-16",391.040009,403.540009,391.040009,401.640015,635300,399.118866
"2021-11-17",400.799988,402.410004,386.850006,397.279999,961300,394.786255
"2021-11-18",398.279999,398.279999,392.01001,395.040009,508300,392.560272
"2021-11-19",397.200012,398.119995,386.5,387.420013,672600,384.988129
