"","PGR.Open","PGR.High","PGR.Low","PGR.Close","PGR.Volume","PGR.Adjusted"
"2021-07-01",98.519997,99.489998,97.93,98.839996,2436700,96.933533
"2021-07-02",98.970001,99.230003,98.440002,98.970001,1873600,97.06102
"2021-07-06",98.860001,98.900002,97.029999,97.860001,2659300,96.069504
"2021-07-07",97.639999,99.519997,97.459999,99.110001,2300600,97.296638
"2021-07-08",98.209999,99.449997,97.93,98.489998,3565800,96.687981
"2021-07-09",99.900002,101.370003,98.980003,99.629997,3426400,97.807121
"2021-07-12",99.5,100.349998,98.919998,99.879997,2487500,98.052544
"2021-07-13",99.550003,99.650002,97.720001,97.790001,3251000,96.000786
"2021-07-14",98,98.620003,96.639999,97.449997,2377800,95.667
"2021-07-15",90,95.5,89.599998,94.949997,7070200,93.212753
"2021-07-16",93.410004,96.309998,92.970001,96.18,4555800,94.420242
"2021-07-19",95.290001,95.699997,93.660004,94.57,3959500,92.839706
"2021-07-20",94.830002,96,94.040001,94.419998,3198100,92.692444
"2021-07-21",94.510002,95.400002,93.949997,94.010002,2576100,92.289948
"2021-07-22",93.82,93.900002,92.919998,93.400002,3876800,91.691109
"2021-07-23",93.690002,94.82,93.449997,94.730003,2095700,92.99678
"2021-07-26",94.400002,94.970001,94.279999,94.639999,1836100,92.908424
"2021-07-27",94.410004,96.25,93.980003,95.879997,2216100,94.125725
"2021-07-28",95.879997,95.949997,94.489998,94.519997,2894800,92.790619
"2021-07-29",94.970001,96.089996,94.720001,95.760002,1867200,94.007927
"2021-07-30",95.660004,96.010002,94.849998,95.160004,2355100,93.418907
"2021-08-02",95.639999,96.239998,94.940002,95.040001,1510600,93.301102
"2021-08-03",95.519997,96.790001,95.010002,96.610001,2069900,94.842377
"2021-08-04",96.349998,96.360001,95.239998,95.349998,1870900,93.605423
"2021-08-05",95.589996,95.589996,94.169998,95.419998,2403000,93.674149
"2021-08-06",95.879997,97.440002,95.400002,96.919998,3067700,95.146706
"2021-08-09",97.169998,97.589996,96.709999,97.120003,1522000,95.343056
"2021-08-10",96.949997,97.379997,96.260002,96.349998,2120500,94.587128
"2021-08-11",96.5,97.150002,95.779999,97.089996,2050700,95.313591
"2021-08-12",97.099998,97.470001,96.529999,96.940002,1803100,95.166336
"2021-08-13",97.07,97.169998,96.010002,96.120003,1413400,94.361343
"2021-08-16",95.690002,97.220001,95.230003,97.099998,3565000,95.32341
"2021-08-17",96.5,96.529999,94.559998,95.669998,3631800,93.919571
"2021-08-18",94.940002,96.269997,94.389999,95.57,3890100,93.821411
"2021-08-19",95.470001,96.970001,95.339996,96.199997,1750300,94.439873
"2021-08-20",96.370003,98.610001,95.949997,97.57,3638800,95.784813
"2021-08-23",97.370003,98.209999,97.239998,97.290001,1898500,95.509933
"2021-08-24",97.389999,97.790001,96.279999,96.629997,1601100,94.862007
"2021-08-25",96.540001,97,96.150002,96.220001,1669900,94.459511
"2021-08-26",96.160004,96.470001,95.75,96.230003,2663900,94.469337
"2021-08-27",96.550003,97.650002,96.019997,97.489998,2913300,95.706276
"2021-08-30",97.57,97.730003,96.040001,96.150002,1922700,94.3908
"2021-08-31",96.339996,97.300003,96.050003,96.339996,2547100,94.577301
"2021-09-01",96.239998,96.629997,95.190002,96.410004,1872300,94.646049
"2021-09-02",96.440002,97.050003,95.980003,96.349998,2193900,94.587128
"2021-09-03",96.169998,96.68,95.5,96.230003,1405300,94.469337
"2021-09-07",95.730003,95.900002,94.129997,94.260002,1803500,92.535378
"2021-09-08",94.260002,94.739998,94.050003,94.290001,2279800,92.564827
"2021-09-09",94.18,94.470001,93.190002,93.220001,2095800,91.514404
"2021-09-10",93.269997,93.769997,92.349998,93.120003,1943200,91.416245
"2021-09-13",93.650002,94.339996,92.970001,94,2506700,92.280128
"2021-09-14",93.910004,94.230003,92.910004,93.199997,2455900,91.494766
"2021-09-15",93.309998,93.709999,92.620003,93.309998,2546200,91.602753
"2021-09-16",93.370003,93.370003,92.540001,92.989998,1482000,91.288605
"2021-09-17",92.669998,92.959999,92.169998,92.610001,4029700,90.915573
"2021-09-20",91.940002,92.470001,91.139999,92.209999,2250400,90.522881
"2021-09-21",92.389999,93.260002,92.029999,92.07,1882100,90.385437
"2021-09-22",92.75,92.760002,91.82,92.040001,1894900,90.355995
"2021-09-23",92.269997,92.480003,91.480003,91.57,2424600,89.894592
"2021-09-24",91.93,92.290001,91.300003,91.559998,1690100,89.884766
"2021-09-27",91.459999,92.290001,90.650002,90.68,2155000,89.020889
"2021-09-28",90.650002,91,89.879997,90.349998,3803800,88.696915
