"","ZION.Open","ZION.High","ZION.Low","ZION.Close","ZION.Volume","ZION.Adjusted"
"2021-10-27",64.489998,64.739998,62.849998,62.880001,1457900,61.764248
"2021-10-28",63.07,63.84,62.369999,62.869999,1803800,61.754425
"2021-10-29",63.119999,63.790001,62.919998,62.990002,1151500,61.872295
"2021-11-01",63.549999,64.919998,63.41,64.190002,1344000,63.051006
"2021-11-02",64.010002,64.639999,63.650002,63.93,1014200,62.795616
"2021-11-03",63.549999,66.239998,63.23,65.779999,1670700,64.612785
"2021-11-04",65.779999,65.779999,63.82,64.290001,1537600,63.149227
"2021-11-05",64.459999,65.849998,64.300003,64.809998,1064800,63.659996
"2021-11-08",65.059998,66.129997,64.82,65.360001,939500,64.200233
"2021-11-09",64.32,65.309998,63.380001,65.150002,1306800,64.368202
"2021-11-10",65.18,65.790001,64.68,65.07,1288100,64.289162
"2021-11-11",65.18,66.459999,65.019997,65.889999,884200,65.099319
"2021-11-12",65.730003,66.099998,64.949997,65.480003,796900,64.694244
"2021-11-15",65.779999,66.559998,65.610001,66.349998,845600,65.553802
"2021-11-16",66.25,67.07,65.949997,66.440002,1183300,65.642731
"2021-11-17",66.800003,66.989998,65.470001,66.290001,1119400,65.494522
"2021-11-18",66.339996,66.790001,65.779999,66.220001,1130300,65.425362
"2021-11-19",64.879997,65.959999,64.099998,65.410004,1372500,64.625084
"2021-11-22",65.730003,67.559998,65.110001,66.25,972600,65.455002
"2021-11-23",66.860001,67.75,66.550003,67.610001,933200,66.798683
"2021-11-24",67.470001,68.25,67.279999,67.489998,977900,66.680122
"2021-11-26",64.730003,64.879997,62.82,64.169998,1524700,63.39996
"2021-11-29",65.360001,65.669998,63.830002,64.910004,1662400,64.131088
"2021-11-30",63.540001,64.279999,62.709999,63.080002,1722600,62.323044
"2021-12-01",64.400002,65.269997,62.349998,62.369999,2476900,61.621559
"2021-12-02",62.990002,64.459999,62.400002,64.050003,1745400,63.281406
"2021-12-03",64.400002,64.400002,61.240002,61.91,1407900,61.167084
"2021-12-06",63.119999,65.050003,62.639999,63.869999,1760000,63.103561
"2021-12-07",64.449997,65.010002,63.939999,64.440002,942000,63.666725
"2021-12-08",64.57,64.75,63.080002,63.360001,985100,62.599682
"2021-12-09",63.02,64.18,62.470001,63.009998,1246300,62.25388
"2021-12-10",63.43,63.709999,62.189999,63.209999,538200,62.451481
"2021-12-13",62.919998,63.25,61.040001,61.169998,1380700,60.435963
"2021-12-14",61.25,62.490002,61.119999,62.27,1633300,61.522762
"2021-12-15",62.43,63.16,61.52,62.759998,1389600,62.006878
"2021-12-16",63.599998,64.300003,62.779999,63.470001,1583400,62.708363
"2021-12-17",63.360001,63.360001,60.91,61.200001,3901400,60.465599
"2021-12-20",60.23,60.23,58.18,59.400002,1478800,58.687202
"2021-12-21",60.23,61.799999,60.23,61.650002,975200,60.910202
"2021-12-22",61.290001,62.060001,61.060001,61.860001,818600,61.117683
"2021-12-23",62.419998,63.09,62.209999,62.360001,572000,61.611679
"2021-12-27",62.419998,63.060001,61.720001,63.009998,495500,62.25388
"2021-12-28",62.810001,63.529999,62.630001,63.110001,497200,62.35268
"2021-12-29",63.279999,63.889999,62.740002,63.450001,691600,62.688602
"2021-12-30",63.450001,64.120003,63.07,63.130001,413100,62.37244
"2021-12-31",62.869999,63.419998,62.549999,63.16,552900,62.402081
"2022-01-03",63.880001,65.059998,63.73,64.239998,1218000,63.46912
"2022-01-04",66.110001,66.949997,65.150002,66.07,1355900,65.277168
"2022-01-05",66.470001,67.339996,66.080002,66.220001,1113800,65.425362
"2022-01-06",67.099998,69.18,66.32,68.940002,1439600,68.112724
"2022-01-07",69.18,70.389999,68.389999,70.089996,1289200,69.248917
"2022-01-10",70.68,71.209999,68.610001,69.559998,1577900,68.725273
