"","TT.Open","TT.High","TT.Low","TT.Close","TT.Volume","TT.Adjusted"
"2021-08-30",199.559998,200.940002,198.529999,200.039993,640100,196.978088
"2021-08-31",200.100006,200.330002,198.149994,198.5,1181300,195.461655
"2021-09-01",198.850006,198.850006,196.699997,197.880005,930300,194.851166
"2021-09-02",198.699997,201.070007,198.110001,201.050003,865500,198.564682
"2021-09-03",200.740005,201.320007,199.339996,199.940002,561500,197.468384
"2021-09-07",198.149994,198.830002,193.149994,193.410004,1041100,191.019119
"2021-09-08",192.649994,194.039993,191.130005,193.440002,799400,191.048752
"2021-09-09",194,194.880005,189.919998,190.169998,1054700,187.819183
"2021-09-10",191.75,192.009995,189.910004,190.070007,1041000,187.720413
"2021-09-13",191.970001,192.220001,187.820007,188.770004,902100,186.436493
"2021-09-14",188.289993,189.860001,183.25,183.740005,1369500,181.468674
"2021-09-15",182.889999,188.279999,182.639999,186.970001,1421600,184.658722
"2021-09-16",186.350006,186.830002,185.240005,185.619995,883500,183.325394
"2021-09-17",183.550003,184.960007,182.240005,183.800003,4398100,181.527908
"2021-09-20",181.160004,183.130005,180.149994,183.070007,1380900,180.806931
"2021-09-21",183.75,184.320007,180.910004,181.509995,939100,179.26622
"2021-09-22",181.300003,183.699997,181.300003,182.369995,1085800,180.115585
"2021-09-23",183.850006,187.270004,183.710007,186.089996,1492500,183.789597
"2021-09-24",185.619995,186.720001,182.990005,183.240005,957500,180.974838
"2021-09-27",182.199997,182.779999,178.259995,179.380005,1350700,177.162567
"2021-09-28",178.899994,179.229996,176.039993,176.369995,1196500,174.189743
"2021-09-29",177.130005,177.699997,176.110001,176.410004,795400,174.229263
"2021-09-30",177.690002,177.860001,172.630005,172.649994,1532500,170.515732
"2021-10-01",173.550003,175.929993,172.119995,174.740005,1217000,172.57991
"2021-10-04",174.080002,175.710007,172.240005,174.960007,1354000,172.797195
"2021-10-05",175.190002,178.820007,174.029999,177.440002,1193800,175.246536
"2021-10-06",175,177.050003,173.869995,176.910004,902000,174.723083
"2021-10-07",178.509995,179,176.610001,177.210007,1273000,175.019394
"2021-10-08",175.610001,176.389999,171.770004,172.020004,1177600,169.893539
"2021-10-11",171.330002,171.979996,169.800003,170,1159800,167.898499
"2021-10-12",170.669998,170.690002,168.619995,169.630005,1263500,167.533081
"2021-10-13",170.729996,171.809998,169.330002,170.630005,1060300,168.520721
"2021-10-14",172.050003,175.110001,171.710007,175.070007,1025900,172.905838
"2021-10-15",176.389999,176.979996,173.899994,174,922100,171.849045
"2021-10-18",172.740005,176.279999,172.380005,175.660004,850500,173.488541
"2021-10-19",177.509995,177.679993,174.949997,175.570007,937100,173.399658
"2021-10-20",176.25,177.830002,174.729996,176.509995,947500,174.328033
"2021-10-21",176.360001,181.25,175.679993,181.149994,1349800,178.910675
"2021-10-22",182,183.179993,181.130005,181.160004,1322800,178.920563
"2021-10-25",179.789993,181.970001,177.050003,180.070007,857500,177.84404
"2021-10-26",180.639999,181.119995,179.199997,180.059998,886800,177.834137
"2021-10-27",180.059998,182.110001,177.179993,177.860001,806100,175.661346
"2021-10-28",178.639999,181.830002,177.839996,181.75,697000,179.503265
"2021-10-29",180.850006,182.539993,180.160004,180.929993,994100,178.69339
"2021-11-01",181.440002,183.139999,179.630005,181.330002,1078400,179.088455
"2021-11-02",181.919998,184.100006,181.059998,183,1047900,180.737808
"2021-11-03",184.179993,184.179993,175.449997,178.330002,1807600,176.125534
"2021-11-04",179.210007,182.350006,178.880005,180.899994,1452600,178.663757
"2021-11-05",182.25,185.839996,181.970001,184.690002,1503200,182.406921
"2021-11-08",186.199997,187.589996,184.580002,187.300003,1382800,184.984634
"2021-11-09",186.880005,190.080002,186.690002,189.539993,1459300,187.19696
"2021-11-10",188.429993,190.720001,188.009995,189.449997,1230100,187.108063
"2021-11-11",190.320007,190.720001,187.660004,188.669998,837000,186.337708
"2021-11-12",190.210007,192.949997,188.649994,192.910004,1069500,190.525284
"2021-11-15",192.229996,193.479996,190.179993,191.139999,949200,188.777161
"2021-11-16",191.619995,195,191,193.630005,942600,191.23642
"2021-11-17",194.229996,194.619995,192.059998,194.020004,1124000,191.621582
"2021-11-18",195,195.350006,193.190002,193.589996,1038800,191.196884
"2021-11-19",193.429993,196.279999,192.149994,195.990005,1513600,193.56723
"2021-11-22",197.309998,198.779999,196.100006,196.100006,1337700,193.675858
"2021-11-23",195.589996,198.220001,194.380005,195.570007,1510600,193.15242
"2021-11-24",194.509995,196.020004,192.740005,195.479996,1834500,193.063538
"2021-11-26",192.899994,196.199997,192.229996,194.25,1270200,191.84874
"2021-11-29",196.5,196.5,192.029999,192.929993,1320500,190.545044
"2021-11-30",191.880005,192.910004,186,186.649994,2558400,184.342667
"2021-12-01",189.169998,193.169998,185.220001,185.440002,1691900,183.147644
"2021-12-02",186.399994,191.779999,185.710007,190.559998,1482900,188.805054
"2021-12-03",191.660004,193.610001,189.479996,193.300003,1270700,191.519821
"2021-12-06",195,196,193.169998,193.539993,1256900,191.757614
"2021-12-07",194.850006,199.600006,194.850006,198.740005,1277800,196.909729
"2021-12-08",198.669998,201.570007,198.309998,201.470001,1303700,199.614594
"2021-12-09",201.619995,202.619995,200.149994,201.649994,1101000,199.792923
"2021-12-10",201.759995,202.789993,200.179993,202.690002,1027400,200.823349
"2021-12-13",203,203.990005,201.309998,202.240005,1227800,200.377502
"2021-12-14",199.960007,202.630005,197.440002,199.800003,1576000,197.959961
"2021-12-15",200.669998,201.820007,198.520004,201.779999,1265600,199.921722
"2021-12-16",203.5,204.229996,200.720001,202.160004,938900,200.298218
"2021-12-17",201.589996,201.649994,193.589996,194.339996,2230900,192.550247
"2021-12-20",192.720001,194.300003,189.119995,191.809998,959600,190.043549
"2021-12-21",193.679993,195.389999,192.039993,194.429993,846000,192.639404
"2021-12-22",194.889999,196.839996,194.550003,196.190002,611200,194.383209
"2021-12-23",196.839996,198.740005,196.789993,197.300003,746300,195.482986
"2021-12-27",198.539993,200.259995,197.699997,200.059998,487800,198.217575
"2021-12-28",200.839996,202.020004,200.199997,201.470001,490900,199.614594
"2021-12-29",201.130005,203.339996,201.130005,202.509995,508100,200.645004
"2021-12-30",203.029999,203.270004,200.5,200.820007,657600,198.970581
"2021-12-31",200.440002,202.850006,200.270004,202.029999,521900,200.169418
"2022-01-03",200.380005,201.649994,194.220001,194.850006,1227000,193.055557
"2022-01-04",195.039993,196.360001,193.800003,195,1723400,193.204163
