"","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
"2021-04-26",239.020004,241.5,235.710007,235.990005,492200,228.948914
"2021-04-27",235.729996,239.970001,234.059998,239.699997,429800,232.548218
"2021-04-28",240,240,236.039993,237.259995,300500,230.181015
"2021-04-29",237.839996,240.580002,236.720001,240.029999,247800,232.868347
"2021-04-30",238.160004,238.899994,236.809998,237.600006,306500,230.510864
"2021-05-03",239.479996,239.779999,236.220001,238.369995,345400,231.257858
"2021-05-04",238.960007,243.899994,238.070007,243.020004,361900,235.76915
"2021-05-05",242.860001,246.380005,241.800003,245.490005,406100,238.165451
"2021-05-06",247,250.130005,245.899994,250.119995,343700,242.657318
"2021-05-07",249.110001,252.679993,246.179993,251.559998,245800,244.054337
"2021-05-10",253.149994,259.98999,252.350006,255.369995,437100,247.750656
"2021-05-11",253.330002,254.940002,248.630005,251.020004,396000,243.530457
"2021-05-12",251.440002,251.850006,245.210007,245.479996,285200,238.155762
"2021-05-13",245.009995,254.080002,245,252.979996,240400,245.431961
"2021-05-14",253.889999,256.549988,253.169998,255.190002,190200,247.576035
"2021-05-17",254.220001,256.059998,252.300003,253.089996,324800,245.538712
"2021-05-18",254.360001,254.699997,250.179993,250.25,232400,242.783417
"2021-05-19",247.089996,249.220001,243,249.119995,317400,241.687134
"2021-05-20",248.240005,250.369995,246.009995,248.139999,416600,241.930878
"2021-05-21",249.529999,251.479996,248,249.979996,271400,243.724823
"2021-05-24",251.5,254.119995,250.279999,253.380005,247100,247.03978
"2021-05-25",253.279999,254.660004,251.559998,251.710007,296700,245.41156
"2021-05-26",251.110001,253.210007,250.240005,252.149994,330500,245.84053
"2021-05-27",255.929993,256.320007,252.410004,253.690002,611900,247.341995
"2021-05-28",253.679993,255.100006,252.309998,254.619995,238300,248.248734
"2021-06-01",257.670013,257.980011,254.309998,255.639999,280200,249.243195
"2021-06-02",256.019989,256.019989,252.699997,254.289993,240000,247.926987
"2021-06-03",252.899994,253.839996,249.990005,253.570007,200500,247.225021
"2021-06-04",254.850006,254.929993,252.300003,254.339996,195200,247.975739
"2021-06-07",254.580002,254.580002,250.080002,251.089996,253400,244.807068
"2021-06-08",249.240005,249.979996,247.179993,247.949997,543500,241.745636
"2021-06-09",246.5,247.289993,243.110001,244.419998,460800,238.303955
"2021-06-10",245.649994,246.119995,240.300003,240.580002,456300,234.560059
"2021-06-11",241.699997,242.369995,238.330002,238.880005,481800,232.902588
"2021-06-14",238.190002,239.490005,233.839996,235.25,554700,229.363419
"2021-06-15",235.5,235.949997,230.720001,231.089996,844100,225.30751
"2021-06-16",230.690002,231.410004,222.419998,223.660004,1065200,218.063431
"2021-06-17",224.779999,225.350006,214.229996,215.130005,1161000,209.746902
"2021-06-18",212.970001,215.330002,211.869995,212.580002,867000,207.260681
