"","AEE.Open","AEE.High","AEE.Low","AEE.Close","AEE.Volume","AEE.Adjusted"
"2021-07-01",80.050003,81.160004,79.849998,80.699997,1020300,78.656754
"2021-07-02",80.699997,80.790001,80.199997,80.699997,833900,78.656754
"2021-07-06",80.57,81.459999,79.980003,81.400002,960400,79.339035
"2021-07-07",81.239998,82.519997,80.839996,82.32,1018100,80.235741
"2021-07-08",82.089996,82.690002,81.779999,82.059998,1069300,79.982323
"2021-07-09",82.389999,82.559998,81.470001,81.919998,1294700,79.845863
"2021-07-12",81.720001,83.150002,81.540001,82.879997,1022900,80.781563
"2021-07-13",82.82,83.410004,82.260002,82.629997,868200,80.537895
"2021-07-14",82.480003,83.639999,82.029999,83.220001,711200,81.112953
"2021-07-15",83.019997,84.269997,82.919998,84.07,1462400,81.941437
"2021-07-16",84.209999,85.459999,83.900002,85.059998,808600,82.906364
"2021-07-19",84.800003,85.540001,82.970001,83.980003,1471100,81.853714
"2021-07-20",84.089996,85.110001,83.730003,83.980003,949100,81.853714
"2021-07-21",83.940002,83.980003,82.269997,82.300003,1210400,80.216248
"2021-07-22",82.290001,82.760002,81.889999,82.489998,735200,80.401436
"2021-07-23",82.449997,83.419998,82.239998,83.389999,552000,81.278648
"2021-07-26",83.110001,83.5,82.610001,83.25,651200,81.142197
"2021-07-27",83.32,85.209999,82.809998,84.989998,742900,82.838142
"2021-07-28",84.989998,85.099998,83.629997,84.190002,737000,82.058403
"2021-07-29",84.330002,84.690002,83.800003,84.269997,717600,82.13636
"2021-07-30",84.260002,84.970001,83.809998,83.919998,939700,81.795227
"2021-08-02",84.129997,85.029999,83.900002,84.809998,746100,82.662697
"2021-08-03",85.019997,85.970001,84.239998,85.610001,795600,83.442451
"2021-08-04",85.349998,85.349998,84.080002,85.25,897400,83.09156
"2021-08-05",85.389999,86.160004,84.849998,86.129997,859300,83.94928
"2021-08-06",86.239998,87.940002,85.760002,86.860001,1396100,84.660789
"2021-08-09",86.860001,87.809998,86.860001,87.709999,1165100,85.489281
"2021-08-10",87.809998,88,87.260002,87.68,811200,85.46003
"2021-08-11",87.860001,88.459999,87.669998,88.160004,837700,85.927879
"2021-08-12",88.370003,88.370003,87.82,87.919998,910400,85.693954
"2021-08-13",88.169998,88.959999,87.839996,88.839996,726100,86.59066
"2021-08-16",89.019997,89.879997,88.839996,89.610001,699900,87.341164
"2021-08-17",89.519997,90.050003,89.120003,89.980003,708100,87.701805
"2021-08-18",89.919998,90.120003,88.949997,89.279999,624600,87.019524
"2021-08-19",89.440002,90.769997,89.309998,89.57,960000,87.30217
"2021-08-20",89.400002,90.099998,88.849998,89.589996,1589600,87.321671
"2021-08-23",89.480003,89.480003,87.480003,87.550003,1486300,85.333321
"2021-08-24",87.589996,87.68,86.599998,87.139999,1166800,84.933708
"2021-08-25",86.949997,87.720001,86.459999,87.339996,788900,85.128639
"2021-08-26",87.25,87.779999,86.730003,87.620003,908800,85.40155
"2021-08-27",87.900002,88.300003,87.540001,88.019997,911900,85.79142
"2021-08-30",88.089996,88.760002,87.809998,88.489998,741300,86.249527
"2021-08-31",88.519997,88.82,87.269997,87.720001,1640200,85.499016
"2021-09-01",87.940002,89.120003,87.629997,88.760002,1402300,86.512695
"2021-09-02",89.019997,89.209999,88.419998,88.980003,1167100,86.727119
"2021-09-03",88.849998,89.099998,88.07,88.110001,788000,85.879143
"2021-09-07",87.040001,87.230003,85.809998,86.139999,1251500,84.486404
"2021-09-08",86.25,88.699997,85.910004,88.43,1198900,86.732445
"2021-09-09",88.480003,88.580002,87.709999,87.879997,946800,86.193001
"2021-09-10",87.779999,88,86.970001,87.010002,1288400,85.339714
"2021-09-13",87.669998,87.919998,85.879997,86.089996,1167600,84.437363
"2021-09-14",86.480003,86.910004,85.75,85.93,781900,84.280434
"2021-09-15",85.589996,86.129997,85.050003,85.339996,893400,83.701759
"2021-09-16",85.599998,86.190002,84.910004,85.050003,1228900,83.417336
"2021-09-17",84.629997,85.400002,83.480003,83.599998,1764100,81.995163
"2021-09-20",83.400002,84.279999,82.720001,83.440002,1092000,81.838242
"2021-09-21",83.660004,84.239998,82.849998,82.919998,991600,81.328217
"2021-09-22",83.400002,83.870003,82.639999,83.57,1057500,81.965744
"2021-09-23",83.419998,84.220001,83.209999,83.309998,1214200,81.710732
"2021-09-24",83.32,83.879997,83.150002,83.57,823800,81.965744
"2021-09-27",83.650002,84.260002,82.089996,82.199997,1068500,80.62204
"2021-09-28",81.839996,82.260002,80.93,81.419998,1084300,79.85701
"2021-09-29",81.400002,82.889999,81.360001,82.339996,955100,80.759354
"2021-09-30",82.260002,82.330002,80.82,81,1509700,79.445076
"2021-10-01",81.5,81.510002,80.459999,80.610001,917400,79.062561
"2021-10-04",80.339996,82.279999,80.269997,81.860001,1109100,80.288567
"2021-10-05",81.75,82.389999,81.529999,81.610001,1033000,80.043365
"2021-10-06",81.540001,83.120003,81.040001,82.970001,939900,81.377258
"2021-10-07",83.230003,83.910004,82.559998,82.720001,787200,81.132057
"2021-10-08",82.589996,82.800003,82.010002,82.139999,604200,80.563194
"2021-10-11",82.199997,82.269997,81.120003,81.269997,718400,79.709892
"2021-10-12",81.290001,81.970001,81,81.610001,844100,80.043365
"2021-10-13",81.690002,82.709999,81.260002,82.599998,745500,81.014366
"2021-10-14",82.940002,83.93,82.599998,83.900002,1747600,82.289413
"2021-10-15",84.139999,84.290001,83.099998,83.18,1007600,81.583221
"2021-10-18",82.599998,83.239998,82.110001,82.68,1253900,81.092819
"2021-10-19",83.040001,83.68,82.849998,83.510002,666400,81.906891
"2021-10-20",83.839996,84.769997,83.82,84.349998,575000,82.730766
"2021-10-21",84.489998,84.769997,84.190002,84.489998,581100,82.86808
"2021-10-22",84.639999,85.480003,84.589996,85.279999,412900,83.642914
"2021-10-25",85.169998,85.339996,84.510002,84.730003,515200,83.103485
"2021-10-26",84.800003,85.809998,84.559998,85.339996,585700,83.701759
"2021-10-27",85.610001,85.690002,84.300003,84.459999,649800,82.838654
"2021-10-28",84.139999,84.940002,84.089996,84.809998,528100,83.181938
"2021-10-29",84.709999,85.290001,83.800003,84.290001,814200,82.671921
"2021-11-01",84.440002,84.580002,83.529999,84.279999,911000,82.662109
"2021-11-02",84.580002,84.860001,83.540001,84.330002,919800,82.711159
"2021-11-03",84.339996,85.050003,83.470001,84.190002,966000,82.573845
"2021-11-04",84.029999,85.010002,83.07,84.370003,1364900,82.750381
"2021-11-05",84.730003,85.860001,84.529999,85.5,730000,83.858688
"2021-11-08",85.559998,85.559998,82.150002,82.980003,1432500,81.38707
"2021-11-09",83.129997,83.940002,82.949997,83.040001,1433700,81.445915
"2021-11-10",83.449997,84.5,83.400002,84.419998,1058100,82.799431
"2021-11-11",84.120003,84.339996,83.360001,84.099998,657000,82.485565
"2021-11-12",84.290001,84.709999,83.690002,84.550003,751200,82.926933
"2021-11-15",85.029999,85.830002,84.699997,85.790001,794500,84.143127
"2021-11-16",85.900002,86.199997,85.089996,85.139999,691100,83.5056
"2021-11-17",84.879997,85.739998,84.449997,85.489998,578000,83.848892
"2021-11-18",85.389999,85.709999,84.260002,84.419998,870100,82.799431
"2021-11-19",84.839996,85.510002,84.57,85.379997,993600,83.740997
"2021-11-22",85.239998,86.760002,85.050003,86.279999,896600,84.623718
"2021-11-23",86.589996,86.589996,85.580002,85.900002,731400,84.251015
"2021-11-24",86,86.239998,85.410004,85.760002,635700,84.113701
"2021-11-26",85.110001,85.870003,84.379997,84.510002,644800,82.887695
"2021-11-29",84.879997,85.379997,84.110001,85.089996,1068000,83.456566
"2021-11-30",84.620003,84.93,81.440002,81.589996,3378200,80.023743
"2021-12-01",81.989998,84.239998,81.839996,82.220001,1372500,80.641655
"2021-12-02",82.290001,83.949997,82.290001,83.230003,1263500,81.632271
"2021-12-03",83.690002,85.040001,82.889999,85.029999,1273500,83.397705
"2021-12-06",85.900002,87.389999,85.760002,85.940002,1244600,84.290253
