"","KEYS.Open","KEYS.High","KEYS.Low","KEYS.Close","KEYS.Volume","KEYS.Adjusted"
"2021-12-15",199,204.289993,197.440002,204.009995,1082000,204.009995
"2021-12-16",203.610001,204.899994,198.035004,198.589996,1289600,198.589996
"2021-12-17",197.479996,199.580002,196.520004,197.199997,2128300,197.199997
"2021-12-20",196.059998,197.251007,192.080002,194.220001,1141400,194.220001
"2021-12-21",195.600006,197.660004,194.470001,197.580002,982200,197.580002
"2021-12-22",197.910004,200.824997,196.919998,200.610001,823500,200.610001
"2021-12-23",200.710007,203.089996,200.565002,201.429993,636800,201.429993
"2021-12-27",202.550003,208.169998,202.550003,207.929993,867900,207.929993
"2021-12-28",207.929993,208.059998,205.339005,206.889999,450800,206.889999
"2021-12-29",208.25,208.479996,206.539993,207.289993,397500,207.289993
"2021-12-30",207.639999,209.080002,206.699997,206.800003,545100,206.800003
"2021-12-31",206.570007,207.729996,206,206.509995,511800,206.509995
"2022-01-03",205.880005,207.220001,201.479996,202.660004,947100,202.660004
"2022-01-04",202.649994,202.669998,194.75,197.360001,1333500,197.360001
"2022-01-05",196.380005,197,191.960007,192.160004,1166500,192.160004
"2022-01-06",192.199997,194.828995,190.429993,192.589996,798300,192.589996
