"","POOL.Open","POOL.High","POOL.Low","POOL.Close","POOL.Volume","POOL.Adjusted"
"2021-09-16",478.809998,478.809998,464.209991,470.690002,249100,467.944458
"2021-09-17",469.100006,471.350006,461.890015,464.040009,372300,461.333282
"2021-09-20",458.970001,465.350006,452.410004,462.519989,196700,459.822144
"2021-09-21",466.070007,466.75,456.609985,459.730011,254400,457.048431
"2021-09-22",462.160004,465.839996,455,456,226400,453.340149
"2021-09-23",455.170013,469,455.059998,466.369995,220700,463.649689
"2021-09-24",466.070007,466.700012,463.019989,465.48999,157700,462.774811
"2021-09-27",463.910004,464.470001,446.75,455.76001,238900,453.101593
"2021-09-28",452.01001,452.01001,439.200012,444.079987,202300,441.489685
"2021-09-29",445.829987,449.679993,444.839996,446.829987,157100,444.223633
"2021-09-30",448.839996,449.950012,433.730011,434.410004,321900,431.876099
"2021-10-01",434.410004,440.329987,425.700012,437.399994,259100,434.848663
"2021-10-04",436.929993,438.950012,427.179993,435.920013,354000,433.377319
"2021-10-05",438.559998,445.570007,436.980011,440.410004,281700,437.841095
"2021-10-06",439.75,444.049988,436.390015,440.950012,222500,438.377991
"2021-10-07",446.089996,456.529999,443.829987,452.540009,251000,449.90036
"2021-10-08",453.640015,456.640015,444.769989,446.529999,139500,443.925385
"2021-10-11",446.98999,452.059998,445.070007,445.519989,97500,442.921295
"2021-10-12",449.019989,451.100006,439.23999,440.859985,198900,438.288452
"2021-10-13",443.230011,446.570007,439.350006,440.369995,180000,437.801331
"2021-10-14",441.929993,453.279999,439.220001,452.869995,254400,450.228455
"2021-10-15",453.690002,460.209991,452.160004,453.220001,182200,450.576385
"2021-10-18",451,461.040009,450.019989,460.459991,168100,457.774139
"2021-10-19",463.98999,467.380005,460.470001,464.51001,148200,461.800537
"2021-10-20",467.450012,469.420013,460.910004,463.839996,200700,461.13443
"2021-10-21",462.600006,500.209991,461.51001,499.329987,393000,496.417419
"2021-10-22",501.299988,514.960022,497.420013,503.079987,317500,500.145508
