"","ECL.Open","ECL.High","ECL.Low","ECL.Close","ECL.Volume","ECL.Adjusted"
"2021-09-07",225.009995,228.169998,224.770004,227.139999,1032800,224.643448
"2021-09-08",227,229.990005,226.610001,229.600006,1159200,227.076401
"2021-09-09",229.5,231.25,227.350006,227.509995,928600,225.009369
"2021-09-10",226.949997,228.899994,224.990005,225.839996,847100,223.357712
"2021-09-13",228.399994,228.399994,222.960007,224.460007,1015900,222.465729
"2021-09-14",225.830002,226,223.119995,223.559998,910400,221.5737
"2021-09-15",222.990005,224.490005,222.339996,223.830002,1068300,221.841309
"2021-09-16",223.300003,223.990005,220.970001,223.570007,908700,221.583633
"2021-09-17",221.820007,222.889999,218.009995,218.339996,2256900,216.400085
"2021-09-20",215.570007,219.210007,214.720001,217.089996,1242800,215.161194
"2021-09-21",217.919998,219.679993,216.720001,217.910004,760700,215.973923
"2021-09-22",219.520004,222.660004,218.199997,220.860001,833200,218.897705
"2021-09-23",222.059998,224.470001,222.059998,223.899994,637800,221.910675
"2021-09-24",223.759995,225.660004,223.039993,223.770004,691200,221.781845
"2021-09-27",222.520004,223.869995,217.889999,218.279999,1025500,216.340637
"2021-09-28",217.479996,217.990005,211.539993,212.820007,1136400,210.929138
"2021-09-29",213.160004,215.089996,212.179993,212.699997,1006000,210.810196
"2021-09-30",213.869995,214.740005,208.570007,208.619995,1035100,206.766449
"2021-10-01",210.289993,214.649994,209.139999,213.649994,1439800,211.751755
"2021-10-04",213.220001,214.910004,211.220001,212.369995,1265900,210.483124
"2021-10-05",212.190002,215.860001,211.399994,214.380005,926100,212.475281
"2021-10-06",212.169998,216.740005,212.039993,216.619995,966600,214.695374
"2021-10-07",218.690002,220.119995,216,216.470001,700600,214.546707
"2021-10-08",215.979996,217.020004,214.889999,215.059998,619000,213.149231
"2021-10-11",215.449997,215.740005,212.119995,212.169998,846300,210.284912
"2021-10-12",212.460007,213.039993,211.289993,212.130005,1129200,210.245285
"2021-10-13",212.740005,214.029999,211.429993,213.270004,1180300,211.375153
"2021-10-14",215.059998,219.559998,214.009995,219.350006,1027000,217.401123
"2021-10-15",220.910004,222.220001,219.369995,220.210007,2269200,218.253479
"2021-10-18",218.100006,219.539993,217.279999,218.690002,885000,216.746994
"2021-10-19",219.820007,220.110001,217.729996,219.529999,686800,217.579514
"2021-10-20",220.070007,221.110001,218.649994,220.639999,517200,218.679657
"2021-10-21",221.119995,222.360001,219.970001,222.300003,576800,220.324905
"2021-10-22",222.350006,223.169998,221.130005,221.449997,699100,219.482452
"2021-10-25",221.970001,224.25,220.660004,221.559998,1137000,219.591476
"2021-10-26",224.100006,230.889999,220.570007,230.279999,1367000,228.233994
"2021-10-27",225.809998,226.559998,220.940002,221.100006,1279800,219.135574
"2021-10-28",221.809998,223.660004,220.649994,221,780700,219.036453
"2021-10-29",219.820007,223.199997,219.119995,222.220001,920400,220.245621
"2021-11-01",223.360001,226.270004,221.679993,222.520004,957800,220.542953
"2021-11-02",223.399994,227.660004,222.360001,226.910004,1074200,224.893951
"2021-11-03",226.990005,229.070007,223.369995,228.139999,1385300,226.113022
"2021-11-04",228,229.990005,227.160004,228.100006,945100,226.07338
"2021-11-05",228.75,230.75,228.490005,230.679993,902500,228.630447
"2021-11-08",231,231.550003,229.520004,230.860001,737000,228.808868
"2021-11-09",230.699997,231.669998,228.600006,230.949997,691300,228.898056
"2021-11-10",231.5,234.240005,228.690002,233.380005,1057400,231.306458
"2021-11-11",233.75,234.089996,231.520004,232.470001,727400,230.404541
"2021-11-12",233.470001,235.899994,233.119995,235.669998,839300,233.576111
"2021-11-15",236,236.770004,234.809998,235.460007,743900,233.367981
"2021-11-16",236,236.75,233.259995,233.429993,663700,231.356018
"2021-11-17",233.570007,234.169998,231.630005,232.389999,608700,230.325272
"2021-11-18",232.119995,232.649994,230,230.880005,638300,228.82869
"2021-11-19",230.899994,236.559998,230.199997,234.860001,709600,232.773315
"2021-11-22",235.369995,238.929993,234.449997,234.539993,769700,232.456146
"2021-11-23",234.360001,235,231.669998,233.429993,585800,231.356018
"2021-11-24",232.550003,233.270004,230.130005,231.350006,616900,229.294495
"2021-11-26",228,230.899994,226,226.229996,730600,224.219986
"2021-11-29",228,228.660004,224.649994,227.149994,1134800,225.131805
"2021-11-30",226.220001,227.940002,220.690002,221.470001,2057400,219.502289
"2021-12-01",224.179993,227.389999,220.169998,220.300003,1049900,218.342682
"2021-12-02",221.259995,226.179993,220.690002,224.649994,931200,222.654022
"2021-12-03",225.25,225.949997,217.940002,220.830002,1784400,218.867981
"2021-12-06",223.369995,231.589996,223.369995,229.589996,1324100,227.550125
"2021-12-07",232.860001,233.910004,229.509995,230.759995,1158800,228.709747
"2021-12-08",231,232.949997,229.929993,232.300003,849000,230.236053
"2021-12-09",230.949997,231.529999,228.559998,230.350006,747700,228.303391
"2021-12-10",232.369995,232.690002,230.759995,232.009995,764100,229.948639
"2021-12-13",231.169998,232.899994,228.570007,231.440002,923100,229.889038
"2021-12-14",231.419998,231.669998,228,228.880005,1023600,227.346191
"2021-12-15",228.800003,229.619995,226.309998,229.179993,959200,227.644165
"2021-12-16",228.899994,231.610001,227.320007,229.850006,1394600,228.309708
"2021-12-17",230.309998,230.309998,225.220001,225.449997,2552500,223.939163
"2021-12-20",222.990005,224.25,220.229996,224.020004,703700,222.518768
"2021-12-21",225.339996,226.490005,224.259995,225.490005,695000,223.978912
"2021-12-22",225.059998,227.399994,225.059998,226.830002,620100,225.309937
"2021-12-23",227.479996,230.100006,227.479996,228.240005,489400,226.71048
"2021-12-27",229.630005,231.929993,228.970001,231.669998,510100,230.117493
"2021-12-28",232,234.440002,231.899994,234.130005,724300,232.561005
"2021-12-29",234.539993,236.210007,233.75,235.639999,460200,234.060898
"2021-12-30",235.690002,236.889999,233.910004,234.009995,478400,232.441803
"2021-12-31",233.080002,235.479996,233.080002,234.589996,500200,233.017929
"2022-01-03",234.679993,235.240005,228.619995,229.830002,715000,228.289825
"2022-01-04",230.740005,234.440002,230.300003,233.509995,960800,231.94516
"2022-01-05",234.139999,237.380005,232.970001,233.229996,688400,231.667038
"2022-01-06",233.800003,234.320007,228.949997,230.460007,907900,228.915619
