"","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"2021-04-08",77.699997,78.550003,77,77.639999,2292600,77.065842
"2021-04-09",78.370003,79.660004,78.190002,79.519997,1597200,78.931938
"2021-04-12",79.970001,80.900002,79.470001,80.809998,1079200,80.212395
"2021-04-13",80.790001,80.800003,78.809998,79.099998,1142300,78.515045
"2021-04-14",78.989998,81.089996,78.989998,80.830002,1301900,80.232254
"2021-04-15",80.620003,80.870003,79.779999,80.68,1032600,80.083374
"2021-04-16",81.190002,81.660004,80.440002,80.610001,1241000,80.013885
"2021-04-19",80.769997,81.550003,79.940002,81.199997,1026100,80.599518
"2021-04-20",81.010002,81.330002,79.559998,80.610001,1461600,80.013885
"2021-04-21",80.389999,83.139999,79.849998,83,1364200,82.386208
"2021-04-22",83.279999,84.959999,82.370003,83.739998,1546500,83.120743
"2021-04-23",84.190002,85.75,84.010002,85.410004,1433200,84.778389
"2021-04-26",85.190002,85.68,84.32,84.470001,1304800,83.845337
"2021-04-27",84.540001,85.239998,84.129997,85,862200,84.371422
"2021-04-28",85.099998,86.169998,84.540001,85.550003,1559600,84.917358
"2021-04-29",86.809998,86.809998,82.410004,83.709999,2715400,83.09095
"2021-04-30",83.75,84.639999,81.360001,82.07,2107400,81.463089
"2021-05-03",83.059998,83.900002,80.900002,80.980003,1968500,80.381142
"2021-05-04",80.68,81.529999,79.839996,81.309998,2049800,80.70871
"2021-05-05",81.459999,81.559998,80.599998,81.150002,1728700,80.549896
"2021-05-06",81.209999,81.879997,80.82,81.639999,1048700,81.156273
"2021-05-07",81.019997,82.129997,80.519997,81.870003,1083100,81.384918
"2021-05-10",82.419998,82.57,80.82,80.860001,1178000,80.38089
"2021-05-11",79.709999,81,78.669998,79.370003,894500,78.899719
"2021-05-12",79.660004,79.919998,77.480003,77.720001,1054100,77.259499
"2021-05-13",77.57,79.470001,77.57,78.900002,677700,78.432503
"2021-05-14",79.709999,81.190002,79.360001,80.529999,931200,80.052849
"2021-05-17",79.790001,80.870003,79.660004,80.400002,1074600,79.92363
"2021-05-18",80.269997,80.959999,79.059998,79.110001,1097600,78.641273
"2021-05-19",78,78.410004,77,77.989998,836700,77.527901
"2021-05-20",77.959999,78.589996,76.93,78.309998,836900,77.846001
"2021-05-21",79,80.040001,78.529999,79.959999,1557700,79.486221
"2021-05-24",80.540001,81.059998,79.75,80.900002,1608100,80.420654
"2021-05-25",81.150002,82.290001,80.849998,81.120003,2639500,80.639359
"2021-05-26",80.779999,81.440002,80.279999,81.410004,1260700,80.927635
"2021-05-27",82.790001,83.370003,82.099998,82.540001,946000,82.050949
"2021-05-28",82.5,82.769997,81.559998,82.760002,2295900,82.269638
"2021-06-01",83.489998,84.32,82.980003,84.190002,1179000,83.69117
"2021-06-02",84.629997,84.699997,83.550003,83.949997,854200,83.452576
"2021-06-03",83.580002,83.900002,82.379997,82.669998,688200,82.180176
"2021-06-04",82.949997,83.150002,82.370003,82.82,856800,82.329277
"2021-06-07",82.940002,83.25,82.110001,82.389999,682600,81.901833
"2021-06-08",82.400002,82.690002,81.639999,82.419998,677300,81.931648
"2021-06-09",82.43,82.510002,81.379997,81.389999,839800,80.907761
"2021-06-10",82.400002,82.400002,81.220001,81.230003,699800,80.748711
"2021-06-11",81.830002,82.029999,80.870003,81.589996,727300,81.106567
"2021-06-14",81.470001,81.5,79.980003,80.629997,1223400,80.15226
"2021-06-15",81.110001,81.279999,79.459999,80.43,1379100,79.953445
"2021-06-16",80.169998,80.989998,79.699997,80.010002,716600,79.535934
"2021-06-17",80.18,80.400002,76.580002,77.830002,1247800,77.368858
"2021-06-18",76.480003,78.120003,76.300003,77.629997,2116700,77.170036
"2021-06-21",78.43,79.720001,78.18,79.480003,1370300,79.009079
"2021-06-22",79.43,81.309998,79.07,80.919998,1741300,80.440544
"2021-06-23",80.989998,82.379997,80.980003,81.139999,1359400,80.659233
"2021-06-24",81.720001,83.760002,81.379997,83.470001,1055100,82.975433
"2021-06-25",83.870003,84.300003,82.790001,82.910004,1220600,82.418755
"2021-06-28",82.910004,83.129997,81.849998,82.089996,973600,81.6036
"2021-06-29",82.330002,82.709999,81.169998,81.339996,746800,80.858047
"2021-06-30",81.309998,82.379997,81.07,82.300003,1988500,81.812363
"2021-07-01",83.029999,83.660004,81.790001,81.830002,1099400,81.345146
"2021-07-02",81.839996,81.910004,80.839996,81.559998,674500,81.076744
"2021-07-06",81.089996,81.349998,79,80.300003,1224500,79.824211
"2021-07-07",79.699997,81.349998,79.230003,81.18,967700,80.698997
"2021-07-08",79.860001,80.720001,78.709999,80.129997,924200,79.655212
"2021-07-09",81.440002,82.989998,81.300003,82.849998,773700,82.3591
"2021-07-12",82.360001,83.470001,81.720001,82.959999,647100,82.468452
"2021-07-13",82.800003,83.400002,82.699997,82.830002,802100,82.339226
"2021-07-14",83.050003,83.790001,81.919998,82.470001,694800,81.981361
"2021-07-15",81.639999,83.690002,81.480003,82.360001,1019200,81.872009
"2021-07-16",82.910004,83.099998,81.379997,81.610001,1002400,81.12645
"2021-07-19",79.93,80,77.610001,78.139999,1349900,77.67701
"2021-07-20",78.379997,82.25,78.209999,81.739998,1284500,81.255684
"2021-07-21",82.339996,82.809998,81.790001,82.639999,817200,82.150345
"2021-07-22",82.669998,82.669998,81.129997,81.660004,879900,81.176155
"2021-07-23",81.839996,82.419998,81.120003,81.809998,614800,81.325272
"2021-07-26",81.809998,82.480003,81.279999,82.099998,991400,81.613548
"2021-07-27",81.230003,82.599998,80.849998,82.010002,909300,81.524086
"2021-07-28",81.989998,83.690002,81.910004,83.260002,1266900,82.766678
"2021-07-29",84.5,85.529999,82.589996,85.010002,1312700,84.50631
"2021-07-30",84.970001,85.019997,83.459999,84.870003,894200,84.367142
"2021-08-02",85.730003,87.309998,83.400002,83.580002,943700,83.084785
"2021-08-03",84.07,85.830002,82.919998,85.550003,762500,85.043114
"2021-08-04",84.370003,86.18,84.370003,84.830002,934700,84.32737
"2021-08-05",85.650002,86.519997,85.360001,86.099998,818100,85.589851
"2021-08-06",86.830002,87.040001,85.75,86.129997,916200,85.619667
"2021-08-09",85.739998,87.029999,85.129997,86.75,867600,86.235992
"2021-08-10",86.900002,88.129997,86.120003,87.739998,833200,87.220123
"2021-08-11",87.82,89.550003,87.5,89.489998,1174700,88.959763
"2021-08-12",89.489998,89.489998,88.059998,89,603500,88.591461
"2021-08-13",89.019997,89.139999,88.089996,88.910004,597200,88.501877
"2021-08-16",88.400002,89.519997,87.709999,88.949997,952700,88.541687
"2021-08-17",88.169998,89.080002,87.389999,88.489998,751400,88.083801
"2021-08-18",87.900002,88.769997,87.610001,87.93,914200,87.526375
"2021-08-19",87.260002,88.32,85.339996,85.489998,1560700,85.097565
"2021-08-20",85.43,86.239998,85.129997,85.739998,1709700,85.346428
"2021-08-23",86.309998,87.690002,86.309998,87.419998,1776000,87.018707
"2021-08-24",87.699997,88.410004,87.040001,87.139999,1835100,86.73999
"2021-08-25",87.099998,87.900002,86.989998,87.639999,2201900,87.237709
"2021-08-26",88.040001,88.730003,87.269997,88,2011800,87.596054
"2021-08-27",88.82,90.669998,88.449997,90.110001,1013800,89.696365
"2021-08-30",90.300003,90.459999,89.580002,89.629997,1106600,89.218567
"2021-08-31",89.660004,89.940002,88.790001,89.790001,1204100,89.377838
"2021-09-01",89.93,90.279999,87.980003,88.690002,1042200,88.28289
"2021-09-02",88.949997,90.900002,88.919998,90.620003,742300,90.204025
"2021-09-03",90.730003,91.120003,89.959999,90.230003,592900,89.815811
"2021-09-07",90.099998,90.360001,88.209999,88.690002,811000,88.28289
"2021-09-08",88.330002,89.209999,87.589996,89.139999,560500,88.730812
"2021-09-09",89,90.080002,88.879997,89.300003,800300,88.890083
"2021-09-10",90,90.239998,89.07,89.389999,1183500,88.979668
"2021-09-13",90.489998,90.830002,89.529999,90.330002,1543100,89.915359
"2021-09-14",90.839996,90.889999,89.040001,89.400002,956400,88.989632
"2021-09-15",89.440002,90.959999,89.440002,90.589996,787600,90.174156
"2021-09-16",91,91,88.580002,88.620003,827900,88.213203
"2021-09-17",88.099998,88.32,86.760002,87.480003,3474900,87.078438
"2021-09-20",85.540001,86.559998,84.589996,86.360001,1080800,85.963577
"2021-09-21",86.699997,86.860001,85,85.779999,1000600,85.386238
"2021-09-22",86.849998,87.940002,86.389999,86.860001,608100,86.461288
"2021-09-23",87.510002,89.970001,87.419998,89.389999,988900,88.979668
"2021-09-24",89.07,89.75,88.709999,89.410004,626000,88.99958
"2021-09-27",89.510002,90.82,89.470001,90.110001,860100,89.696365
"2021-09-28",89.879997,90.360001,88.410004,88.489998,1480200,88.083801
"2021-09-29",88.589996,88.849998,87.580002,88.139999,705200,87.735405
"2021-09-30",88.540001,88.550003,85.959999,86.209999,1260900,85.814262
"2021-10-01",87.080002,89.089996,86.389999,88.599998,867000,88.193298
"2021-10-04",88.82,89.629997,88.050003,88.980003,873400,88.571556
"2021-10-05",89.419998,90.410004,88.43,89.550003,946800,89.138939
"2021-10-06",88.379997,89.209999,86.949997,88.82,764600,88.412285
"2021-10-07",89.879997,90.720001,89.470001,90.330002,655500,89.915359
"2021-10-08",90.129997,90.5,89.510002,89.669998,638100,89.258377
"2021-10-11",89.68,90.379997,89.25,89.300003,758900,88.890083
"2021-10-12",89.139999,90.129997,89.139999,89.900002,711000,89.487335
"2021-10-13",90.040001,90.300003,88.720001,89.449997,661900,89.039398
"2021-10-14",90.449997,91.480003,89.730003,91.080002,748100,90.661911
"2021-10-15",91.889999,92.419998,91.419998,92,579100,91.577682
"2021-10-18",91.379997,91.730003,90.839996,91.18,557700,90.761459
"2021-10-19",91.800003,92.160004,91.099998,91.910004,547200,91.488113
"2021-10-20",92.080002,93.970001,91.660004,93.349998,655200,92.921494
"2021-10-21",93.169998,93.5,92.599998,93,549400,92.573097
"2021-10-22",93.300003,93.419998,91.980003,92.400002,765200,91.975845
"2021-10-25",92.400002,92.949997,92,92.910004,945600,92.483521
"2021-10-26",92.989998,93.459999,91.589996,91.68,1513200,91.259155
"2021-10-27",90.169998,91.5,88.519997,88.910004,1271000,88.501877
"2021-10-28",88.690002,90.970001,88.690002,90.879997,764600,90.462822
"2021-10-29",90.5,91.800003,90.150002,90.730003,1211200,90.31353
"2021-11-01",91.150002,91.75,90.510002,90.519997,790300,90.104485
"2021-11-02",90.839996,91.290001,90,91.209999,618900,90.791313
"2021-11-03",90.779999,93.269997,90.779999,92.580002,972300,92.155029
"2021-11-04",92.730003,93.230003,91.660004,91.970001,556800,91.547829
"2021-11-05",93.029999,94.75,92.940002,94.209999,992500,93.777542
"2021-11-08",96.050003,97.660004,95.989998,97.120003,1490000,96.674187
"2021-11-09",96.940002,97.300003,95.650002,96.519997,754900,96.076935
"2021-11-10",96.389999,97.709999,96.050003,96.360001,958700,95.917679
"2021-11-11",96.510002,97.449997,96.389999,97.059998,929800,96.614464
"2021-11-12",97.360001,97.389999,96.260002,97.110001,497600,96.78389
"2021-11-15",97.370003,97.370003,95.57,95.910004,611400,95.587929
"2021-11-16",95.900002,96.839996,95.5,95.709999,887500,95.388596
"2021-11-17",95.580002,95.580002,94.300003,95.160004,472700,94.840439
"2021-11-18",95.370003,95.449997,93.82,94.57,769400,94.252419
"2021-11-19",94.150002,95.730003,93.839996,95.360001,897800,95.039764
"2021-11-22",96.040001,97.120003,95.459999,95.919998,1348200,95.597878
"2021-11-23",96.010002,96.449997,95.150002,96.050003,1581600,95.727448
"2021-11-24",95.440002,96.68,95.279999,96.18,819500,95.857018
"2021-11-26",92.360001,94.040001,90.139999,93.019997,1134800,92.707619
"2021-11-29",94.050003,94.18,91.209999,92.470001,833900,92.15947
"2021-11-30",91.540001,91.830002,88.400002,88.769997,1718100,88.471893
"2021-12-01",90.830002,91.230003,87.080002,87.080002,859500,86.787567
"2021-12-02",87.769997,90.879997,87.610001,90.489998,757800,90.186119
"2021-12-03",90.940002,91,87.839996,88.449997,984600,88.152969
"2021-12-06",89.669998,90.690002,88.779999,89.68,1217800,89.378838
"2021-12-07",90.629997,92.080002,90.43,91.480003,677000,91.172798
"2021-12-08",91.699997,92.32,90.989998,91.349998,557300,91.043228
"2021-12-09",90.860001,92.589996,90.190002,91.580002,1005900,91.272461
"2021-12-10",92.169998,92.169998,90.419998,90.940002,713200,90.634605
"2021-12-13",90.940002,91.43,88.989998,89.519997,738900,89.219376
"2021-12-14",89.290001,90.150002,88.190002,88.790001,731300,88.491829
"2021-12-15",89,89.379997,87.739998,89.029999,631400,88.731018
"2021-12-16",89.870003,90.230003,88.93,89.410004,753400,89.109749
"2021-12-17",89.150002,89.959999,87.190002,88.959999,1742300,88.661255
"2021-12-20",87.739998,87.739998,85.110001,86.809998,734500,86.518471
"2021-12-21",87.699997,89.389999,87.519997,89.230003,754800,88.930351
