"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2021-07-16",347.619995,348.459991,342,342.48999,1153900,338.330017
"2021-07-19",335,337.339996,328.929993,334.950012,1848600,330.881592
"2021-07-20",337.440002,349.290009,335,348.029999,2053900,343.802704
"2021-07-21",352,354.600006,350.910004,353,1478900,348.712372
"2021-07-22",352.589996,354.25,351.089996,351.329987,810600,347.062653
"2021-07-23",352.299988,355.670013,351.549988,354.700012,796800,350.391724
"2021-07-26",355.640015,356.890015,351.059998,355.459991,865500,351.142456
"2021-07-27",352.399994,357.649994,350.540009,353.519989,986900,349.226044
"2021-07-28",354.309998,356.880005,351.109985,353.559998,1250400,349.265533
"2021-07-29",358.529999,362.109985,356.140015,359.799988,1392600,355.429718
"2021-07-30",359.709991,361.809998,357.130005,361.589996,1053900,357.197998
"2021-08-02",363.899994,367.410004,355.25,355.950012,1148300,351.626526
"2021-08-03",357.579987,366.850006,354.359985,365.859985,991500,361.416138
"2021-08-04",364.329987,366.600006,360.549988,360.670013,825500,356.289215
"2021-08-05",363.850006,365,361.329987,364.320007,794400,359.894836
"2021-08-06",367,368.690002,365.570007,366.880005,665400,362.423767
"2021-08-09",364.910004,370.920013,363.269989,369.320007,923300,364.834137
"2021-08-10",371,377.420013,369.519989,376.619995,1184000,372.045471
"2021-08-11",377.399994,386.309998,375.459991,386.079987,1651500,381.390533
"2021-08-12",386.070007,388.519989,383.679993,385.619995,1314000,380.936127
"2021-08-13",386.149994,387.23999,382.640015,384,814300,379.335785
"2021-08-16",381,383.350006,378.609985,383.029999,910400,378.377594
"2021-08-17",381.5,382.609985,374.109985,376.329987,1206300,371.758942
"2021-08-18",374.25,376.01001,371.420013,371.609985,1374500,367.096313
"2021-08-19",368.559998,368.559998,354.880005,358.980011,2281000,354.619751
"2021-08-20",363,367.170013,344.76001,351.429993,3498300,347.161407
"2021-08-23",354.149994,363.23999,352.25,362.799988,1946800,358.393341
"2021-08-24",365,373,364.98999,367.980011,1638700,363.510406
"2021-08-25",369,379.309998,367.769989,376.369995,1657500,371.798462
"2021-08-26",375.290009,382.970001,375.070007,379.809998,1490400,375.196716
"2021-08-27",380.079987,382.890015,378.109985,379.48999,1115600,374.880585
"2021-08-30",381,383.640015,376.75,381,1378500,376.372253
"2021-08-31",381,381.5,373.799988,378.029999,1589800,373.438293
"2021-09-01",378.200012,379.670013,369.190002,376.709991,1895400,372.134338
"2021-09-02",379.089996,384.98999,377.799988,384.950012,1333700,380.274261
"2021-09-03",384.730011,393,384,389.339996,1902000,384.610962
"2021-09-07",385.459991,387.190002,370.26001,371.73999,3627000,367.224731
"2021-09-08",371.48999,372.410004,362.100006,370.230011,2427100,365.733063
"2021-09-09",368.820007,371.23999,363.029999,364.839996,1725300,360.408539
"2021-09-10",367.529999,368.459991,362.799988,363.070007,1235500,358.660034
"2021-09-13",366,366.709991,356.98999,361.519989,1832900,357.128845
"2021-09-14",362.519989,362.529999,355.019989,355.980011,1410800,351.656189
"2021-09-15",355.079987,360.829987,354.019989,359.769989,1403500,355.400085
"2021-09-16",360.579987,361.309998,353.190002,355.329987,1681800,351.014038
"2021-09-17",351.51001,354.329987,347.970001,349.089996,7677100,344.849854
"2021-09-20",340.640015,342.5,334.670013,339.730011,2410000,335.603516
"2021-09-21",342.75,344.920013,333.730011,336.950012,1503800,332.8573
"2021-09-22",341.649994,345.529999,339.910004,340.839996,1336800,336.700043
"2021-09-23",345,352.309998,344.959991,351.5,1497600,347.23056
"2021-09-24",349.859985,353.369995,348.519989,349.25,1193200,345.007904
"2021-09-27",348.779999,355.799988,348.779999,352.420013,1291500,348.139435
"2021-09-28",350.730011,356.559998,350.470001,353.940002,2018700,349.64093
"2021-09-29",354.809998,355.649994,350.799988,350.869995,1320600,347.639526
"2021-09-30",352.450012,352.450012,334.940002,335.070007,2079500,331.984985
"2021-10-01",338.100006,344.660004,333.649994,342.200012,1740800,339.049347
"2021-10-04",340.73999,342.559998,336.820007,338.440002,1464500,335.323975
"2021-10-05",336.799988,341.140015,332.76001,338.290009,1401400,335.175354
"2021-10-06",333.5,338.600006,329.670013,338.399994,1534700,335.284332
