"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2021-04-01",105.029999,105.82,104.059998,105.550003,1192600,95.342598
"2021-04-05",106.550003,106.660004,103.910004,104.209999,1357200,94.132172
"2021-04-06",103.900002,106.050003,103.900002,104.790001,1672300,94.65609
"2021-04-07",105.080002,105.639999,103.300003,103.599998,1115500,93.581161
"2021-04-08",103.300003,103.5,100.5,103,1353900,93.0392
"2021-04-09",103.400002,104.540001,102.68,104.080002,1790000,94.014748
"2021-04-12",104.769997,105.879997,104.07,105.370003,1272900,95.18
"2021-04-13",104.57,104.800003,102.330002,104.57,1257100,94.457359
"2021-04-14",105,107.709999,105,106.940002,1544200,96.598167
"2021-04-15",107.230003,107.639999,105.059998,107.099998,919300,96.742691
"2021-04-16",108.220001,109.150002,106.889999,107.550003,1157100,97.149178
"2021-04-19",107.739998,108.050003,105.860001,107.199997,817900,96.833023
"2021-04-20",106.730003,107.120003,103.760002,104.639999,1012400,94.520592
"2021-04-21",104.379997,108.169998,103.949997,108.120003,883200,97.664055
"2021-04-22",107.540001,107.860001,101.919998,102,1952800,92.135902
"2021-04-23",102.470001,105.019997,101.739998,104.410004,1244800,94.312836
"2021-04-26",104.82,106.419998,104.230003,104.940002,1135900,94.791595
"2021-04-27",104.279999,105.32,103.970001,104.910004,792500,94.764488
"2021-04-28",105.470001,106.949997,105.260002,106.360001,1284900,96.074265
"2021-04-29",107.25,108.18,105.790001,107.489998,1177800,97.094986
"2021-04-30",105.519997,107.019997,103.230003,103.739998,1511400,93.707626
"2021-05-03",104.949997,109.010002,104.279999,107.870003,1875300,97.438232
"2021-05-04",107.07,109.330002,106.019997,109.309998,2590100,98.738976
"2021-05-05",110.010002,112.599998,109.580002,112.040001,1850300,101.204971
"2021-05-06",112.339996,114.330002,111.040001,114.129997,1446300,103.092842
"2021-05-07",112.620003,114.449997,112.010002,114.059998,1023300,103.02961
"2021-05-10",115.209999,116.769997,113.290001,113.440002,1670100,102.469574
"2021-05-11",111.550003,113.25,110.110001,112.529999,1169900,101.647575
"2021-05-12",112.57,113.830002,109.879997,110.059998,1042200,99.416435
"2021-05-13",109.889999,111.57,108.849998,110.540001,1060900,99.850021
"2021-05-14",111.230003,114.230003,111.169998,114.07,1277200,103.038658
"2021-05-17",113.980003,115.769997,113.169998,115.480003,1519000,104.312294
"2021-05-18",115.360001,115.57,113.199997,113.300003,1505100,102.343102
"2021-05-19",111.129997,111.5,108.82,110.370003,1534100,99.696457
"2021-05-20",110.410004,111.290001,108.489998,109.800003,1316600,99.181587
"2021-05-21",110.32,111.709999,109.860001,110.5,1145600,99.813889
"2021-05-24",111.529999,112.349998,110.239998,111.599998,942200,100.80751
"2021-05-25",111.809998,112.639999,109.870003,109.889999,1140200,99.262878
"2021-05-26",109.889999,111.559998,109.18,110.940002,1132700,100.211342
"2021-05-27",112.400002,113.639999,111.599998,113.559998,5021300,102.577965
"2021-05-28",114.370003,114.669998,112.449997,112.620003,1600900,101.728874
"2021-06-01",114.589996,116.970001,114.290001,116.870003,1415200,105.567871
"2021-06-02",116.900002,117.129997,115.150002,115.870003,1196500,104.664574
"2021-06-03",116.139999,118.019997,114.989998,117.860001,1565900,106.462135
"2021-06-04",117.330002,117.870003,115.410004,116.199997,1353400,105.978737
"2021-06-07",115.949997,116.410004,112.489998,112.660004,1557800,102.750145
"2021-06-08",113.169998,115.330002,110.629997,113.760002,2802300,103.75338
"2021-06-09",113.349998,113.900002,112.029999,112.050003,1849500,102.193794
"2021-06-10",113.209999,113.779999,110.300003,110.389999,1727400,100.679817
"2021-06-11",111.510002,111.760002,109.589996,110.07,1518100,100.387962
"2021-06-14",109.93,110.559998,107.790001,108.519997,1339400,98.974297
"2021-06-15",108.540001,109.110001,106.599998,108.800003,1752000,99.229675
"2021-06-16",108.519997,108.690002,106.339996,107,1629900,97.588005
"2021-06-17",106.75,107.330002,100.919998,102.419998,2810600,93.410873
"2021-06-18",101,102.269997,100.230003,100.349998,2362600,91.522957
"2021-06-21",102.059998,103.910004,101.800003,102.800003,1686100,93.757462
"2021-06-22",103.209999,103.419998,101.779999,102.970001,1455500,93.912498
"2021-06-23",103.739998,104.470001,103.040001,103.339996,1299000,94.249939
"2021-06-24",104.120003,104.370003,102.389999,102.470001,1688400,93.456467
"2021-06-25",103.209999,103.449997,101.699997,101.919998,2491200,92.954849
"2021-06-28",101.919998,102.290001,99.550003,101.690002,1268200,92.745087
"2021-06-29",102.349998,103.43,101.260002,102.25,1145400,93.255821
"2021-06-30",102.110001,103.400002,101.93,102.870003,1110600,93.821289
"2021-07-01",104.190002,104.790001,103.010002,103.449997,2114500,94.350266
"2021-07-02",103.099998,103.809998,101.800003,103.610001,1693600,94.496201
"2021-07-06",103,103.550003,99.110001,100.089996,2356800,91.28582
"2021-07-07",99.440002,100.900002,98.169998,100.400002,2282100,91.568565
"2021-07-08",98.32,100.290001,97.300003,99.010002,1562800,90.300827
"2021-07-09",101.120003,103.129997,100.300003,102.730003,2209200,93.693604
"2021-07-12",100.889999,103.120003,99.709999,102.25,2466500,93.255821
"2021-07-13",103.059998,103.25,101.25,102.029999,1043200,93.055176
"2021-07-14",102.400002,104.150002,101.190002,101.419998,925800,92.498833
"2021-07-15",100.440002,101.93,100.220001,101,1488400,92.115776
"2021-07-16",100.459999,101.059998,95.830002,96.139999,2617400,87.683281
"2021-07-19",93.32,94,91.629997,92.290001,3615700,84.171936
"2021-07-20",92.839996,95.940002,92.589996,95,2740600,86.643562
"2021-07-21",96.18,97.919998,96.18,97.080002,1928300,88.540588
"2021-07-22",97.510002,97.510002,94.029999,96,1698400,87.555588
"2021-07-23",97.330002,97.82,95.440002,96.589996,1106900,88.093689
"2021-07-26",96.860001,98.669998,96.489998,98.550003,1277000,89.881294
"2021-07-27",98.07,100.040001,97.209999,99.040001,1189600,90.328186
"2021-07-28",98.639999,99.669998,97.230003,98.959999,1222800,90.255219
"2021-07-29",100.519997,101.220001,99.660004,100.529999,1323200,91.687126
"2021-07-30",97.949997,101.769997,96.529999,99.330002,2249700,90.592682
"2021-08-02",99.980003,103.309998,98.839996,98.900002,1772700,90.2005
"2021-08-03",99.199997,100.239998,96.410004,100.199997,1232900,91.386139
